NPC;-PRICE;115;0;58.9635;Keyworx;Geminey;0h 0m 23s ;23.44398
NPC;-PRICE;236;0;33.52325;Biomate University;Void Starcross;0h 0m 23s ;23.44398
NPC;-PRICE;34;0;49.03026;Mass Market;Dorando Corridor;0h 0m 23s ;23.44398
NPC;-PRICE;199;0;40.41093;Mazu Starship;Enoch Estates;0h 56m 50s ;3410.242
NPC;BAL;120;0;51.57921;Astrox Security Patrol;Felishar;1h 53m 54s ;6834.967
NPC;+STOCK;2591;2355;33.34579;Biomate University;Void Starcross;2h 26m 24s ;8784.133
NPC;+STOCK;1776;1706;22.28064;Proctors Center;Void Starcross;2h 26m 24s ;8784.133
NPC;+QTY;2227;1997;29.36863;Gunstellar;Adrenal;2h 29m 20s ;8960.865
NPC;+QTY;2449;2415;49.11775;Mass Market;Dorando Corridor;2h 36m 11s ;9371.667
NPC;+STOCK;2323;2087;34.41315;Biomate University;Void Starcross;4h 12m 27s ;15147.92
NPC;+STOCK;2300;2222;24.96398;StarShepards Headquarters;Void Starcross;4h 12m 27s ;15147.92
NPC;+STOCK;2739;2353;63.08521;Starbase Corporate Center;Void Starcross;4h 12m 27s ;15147.92
NPC;+STOCK;3640;1864;21.76949;Proctors Center;Void Starcross;4h 12m 27s ;15147.92
NPC;+PRICE;148;0;33.27564;Holosynth Industries;Rats Of Mortalis;4h 16m 43s ;15403.89
NPC;-QTY;0;-386;64.34863;Starbase Corporate Center;Void Starcross;4h 19m 24s ;15564.41
NPC;BAL;1319;1319;58.55294;Starbase Corporate Center;Void Starcross;4h 40m 21s ;16821.04
NPC;+QTY;1918;1836;40.83551;Imperium Republica ;Gate of Alpharis;4h 50m 45s ;17445.84
NPC;-PRICE;383;0;64.10672;Cecil;Junia;4h 51m 22s ;17482.65
NPC;+PRICE;2227;0;32.03719;Gunstellar;Adrenal;5h 41m 50s ;20510.81
NPC;BAL;199;0;41.96352;Mazu Starship;Enoch Estates;6h 1m 51s ;21711.47
NPC;+PRICE;34;0;40.57911;Quantex;Dellis Primeria;6h 12m 48s ;22368.54
NPC;+QTY;2441;2003;50.35662;Foodmaid;Daelus;6h 44m 29s ;24269.91
NPC;+QTY;1466;1348;35.59998;Ferce;Allabentoris;7h 55m 5s ;28505.1
NPC;+STOCK;3767;1849;38.46595;Imperium Republica ;Gate of Alpharis;9h 25m 28s ;33928.45
NPC;+PRICE;3;0;38.43951;Gek Mining;Alias Outpost;9h 36m 0s ;34560.29
NPC;-QTY;55;-2268;34.35619;Biomate University;Void Starcross;9h 48m 4s ;35284.71
NPC;+PRICE;55;0;35.05858;Biomate University;Void Starcross;11h 3m 47s ;39827.63
NPC;+STOCK;2383;2263;50.03339;Astrox Security Patrol;Felishar;11h 3m 47s ;39827.63
NPC;+PRICE;2227;0;33.6103;Gunstellar;Adrenal;11h 29m 25s ;41365.69
NPC;+STOCK;1756;1701;34.04028;Biomate University;Void Starcross;12h 16m 20s ;44180.46
NPC;+STOCK;4017;1717;22.59433;StarShepards Headquarters;Void Starcross;12h 16m 20s ;44180.46
NPC;+STOCK;3408;2089;56.19836;Starbase Corporate Center;Void Starcross;12h 16m 20s ;44180.46
NPC;+STOCK;5978;2338;19.10273;Proctors Center;Void Starcross;12h 16m 20s ;44180.46
NPC;+QTY;5368;1351;22.78874;StarShepards Headquarters;Void Starcross;12h 51m 8s ;46268.94
NPC;BAL;41;0;50.55837;Communications Hub;Ele;13h 31m 19s ;48679.5
NPC;+STOCK;4058;2302;32.83968;Biomate University;Void Starcross;14h 1m 15s ;50475.31
NPC;+STOCK;7535;2167;21.18421;StarShepards Headquarters;Void Starcross;14h 1m 15s ;50475.31
NPC;+STOCK;8154;2176;17.7248;Proctors Center;Void Starcross;14h 1m 15s ;50475.31
NPC;BAL;2441;0;53.99011;Foodmaid;Daelus;14h 12m 27s ;51147.38
NPC;-QTY;5922;-1613;21.3429;StarShepards Headquarters;Void Starcross;15h 52m 52s ;57172.89
NPC;BAL;1756;0;35.92354;Biomate University;Void Starcross;20h 19m 44s ;73184.99
NPC;+QTY;1832;1817;61.68814;Quah Relay Station;Noah Fox;20h 24m 54s ;73494.4
NPC;+STOCK;4065;2309;34.92063;Biomate University;Void Starcross;23h 4m 29s ;83069.7
NPC;+STOCK;8091;2169;18.80583;StarShepards Headquarters;Void Starcross;23h 4m 29s ;83069.7
NPC;+STOCK;3241;1922;56.87948;Starbase Corporate Center;Void Starcross;23h 4m 29s ;83069.7
NPC;+PRICE;120;0;54.38034;Astrox Security Patrol;Felishar;23h 4m 30s ;83070.77
NPC;-PRICE;148;0;31.05686;Holosynth Industries;Rats Of Mortalis;23h 28m 40s ;84520.21
NPC;+STOCK;1814;1765;30.42319;Star Shepard's Temple;Lightless;24h 52m 52s ;89572.34
