NPC;+QTY;2399;2380;322.3869;Keyworx;Geminey;0h 50m 9s ;3009.769
NPC;-PRICE;1;0;635.7454;Holosynth Industries;Rats Of Mortalis;0h 56m 50s ;3410.242
NPC;BAL;344;0;652.5091;StarGypsy Warehouse;Void Starcross;1h 53m 54s ;6834.967
NPC;+STOCK;2417;2073;627.2711;StarGypsy Warehouse;Void Starcross;2h 26m 24s ;8784.133
NPC;+STOCK;1829;1928;380.2026;StarShepards Headquarters;Void Starcross;2h 26m 24s ;8784.133
NPC;+STOCK;2895;2455;420.6683;StarShepards Headquarters;Void Starcross;2h 26m 24s ;8784.133
NPC;+STOCK;2353;2259;328.0099;Starbase Corporate Center;Void Starcross;2h 26m 24s ;8784.133
NPC;+STOCK;2436;2100;709.2886;Proctors Center;Void Starcross;2h 26m 24s ;8784.133
NPC;+PRICE;258;0;329.3877;Stinkfinger;Jonisae;2h 29m 20s ;8960.865
NPC;+PRICE;185;0;759.1183;Psybermind;Ion Child;2h 29m 20s ;8960.865
NPC;+QTY;2426;2328;477.5409;Cosmic Jay's;Canndelis;2h 36m 11s ;9371.667
NPC;BAL;387;0;513.8452;ValueStar;Hunu;2h 58m 0s ;10680.39
NPC;BAL;280;0;596.9717;Kith;Kidd Overture;2h 58m 0s ;10680.39
NPC;+PRICE;258;0;345.9929;Stinkfinger;Jonisae;4h 11m 12s ;15072.39
NPC;+STOCK;4893;2476;608.2813;StarGypsy Warehouse;Void Starcross;4h 12m 27s ;15147.92
NPC;+STOCK;4191;2362;354.2538;StarShepards Headquarters;Void Starcross;4h 12m 27s ;15147.92
NPC;+STOCK;5007;2112;405.0091;StarShepards Headquarters;Void Starcross;4h 12m 27s ;15147.92
NPC;+STOCK;4304;1868;696.5707;Proctors Center;Void Starcross;4h 12m 27s ;15147.92
NPC;-QTY;0;-368;721.9382;Cecil;Junia;4h 19m 24s ;15564.41
NPC;BAL;2353;0;352.6967;Starbase Corporate Center;Void Starcross;4h 40m 21s ;16821.04
NPC;+QTY;1769;1533;334.202;Temple of the Void;Valley of Truths;4h 47m 5s ;17225.82
NPC;-PRICE;59;0;593.6592;Kinetics Manufacturing;Void Spooflarnia;4h 51m 22s ;17482.65
NPC;+STOCK;2184;2051;631.3148;Lacuna Bandits;Ballast Crow;6h 31m 26s ;23486.09
NPC;+QTY;1568;1525;591.7585;PharmaLife;Carioullis;6h 44m 29s ;24269.91
NPC;-QTY;0;-10;694.5417;Ferce;Allabentoris;7h 28m 42s ;26922.34
NPC;+QTY;2424;2424;694.5417;Ferce;Allabentoris;7h 55m 5s ;28505.1
NPC;+PRICE;167;0;453.9892;Valuestar Hub;Jelumus;9h 36m 0s ;34560.29
NPC;-QTY;0;-333;286.2438;Temple of the Void;Vindicati;9h 48m 4s ;35284.71
NPC;+QTY;6397;1504;607.1633;StarGypsy Warehouse;Void Starcross;10h 9m 19s ;36559.19
NPC;+STOCK;8069;1672;579.8913;StarGypsy Warehouse;Void Starcross;12h 16m 20s ;44180.46
NPC;+STOCK;2335;2434;383.407;StarShepards Headquarters;Void Starcross;12h 16m 20s ;44180.46
NPC;+STOCK;4576;2223;319.1481;Starbase Corporate Center;Void Starcross;12h 16m 20s ;44180.46
NPC;+QTY;2257;2144;356.2162;Quantex;Dellis Primeria;12h 33m 5s ;45185.51
NPC;-PRICE;4304;0;673.3994;Proctors Center;Void Starcross;12h 34m 48s ;45288.88
NPC;+QTY;11039;1841;381.684;StarShepards Headquarters;Void Starcross;12h 51m 8s ;46268.94
NPC;+QTY;3754;1419;381.684;StarShepards Headquarters;Void Starcross;12h 51m 8s ;46268.94
NPC;+STOCK;10352;2283;548.1771;StarGypsy Warehouse;Void Starcross;14h 1m 15s ;50475.31
NPC;+STOCK;13179;2140;351.9541;StarShepards Headquarters;Void Starcross;14h 1m 15s ;50475.31
NPC;+STOCK;6062;2308;360.9874;StarShepards Headquarters;Void Starcross;14h 1m 15s ;50475.31
NPC;+STOCK;4081;1728;317.5611;Starbase Corporate Center;Void Starcross;14h 1m 15s ;50475.31
NPC;+PRICE;1568;0;616.4389;PharmaLife;Carioullis;14h 10m 55s ;51055.01
NPC;+PRICE;2426;0;500.4605;Cosmic Jay's;Canndelis;15h 48m 23s ;56903.07
NPC;+PRICE;10352;0;569.4105;StarGypsy Warehouse;Void Starcross;15h 48m 23s ;56903.07
NPC;-QTY;4336;-1726;358.0025;StarShepards Headquarters;Void Starcross;15h 52m 52s ;57172.89
NPC;+PRICE;5;0;664.4948;Desban;Ellisar;16h 46m 45s ;60405.14
NPC;+LOCAL;2500;20411;221.1625;CoraVault;Lins;17h 30m 45s ;63045.81
NPC;BAL;123;0;574.2076;Oak Industries;Dorando Corridor;18h 20m 20s ;66020.74
NPC;+QTY;1699;1674;667.8512;Blissheads;Estura Cove;18h 20m 21s ;66021.78
