NPC;-PRICE;20;0;176039.5;Keyworx;Geminey;0h 0m 23s ;23.44398
NPC;BAL;53;-1;138444.7;StarGypsy Warehouse;Void Starcross;1h 53m 54s ;6834.967
NPC;+STOCK;55;2;132914.6;StarGypsy Warehouse;Void Starcross;2h 26m 24s ;8784.133
NPC;+STOCK;54;2;247346.9;Starbase Corporate Center;Void Starcross;2h 26m 24s ;8784.133
NPC;+STOCK;57;2;124039.4;StarGypsy Warehouse;Void Starcross;4h 12m 27s ;15147.92
NPC;-QTY;53;-1;247095;Starbase Corporate Center;Void Starcross;4h 19m 24s ;15564.41
NPC;BAL;52;-1;225782.1;Starbase Corporate Center;Void Starcross;4h 40m 21s ;16821.04
NPC;+STOCK;59;2;120569.6;StarGypsy Warehouse;Void Starcross;12h 16m 20s ;44180.46
NPC;+STOCK;61;2;109855.5;StarGypsy Warehouse;Void Starcross;14h 1m 15s ;50475.31
NPC;+STOCK;54;2;220830.3;Starbase Corporate Center;Void Starcross;14h 1m 15s ;50475.31
NPC;+STOCK;63;2;101647.3;StarGypsy Warehouse;Void Starcross;23h 4m 29s ;83069.7
