NPC;-PRICE;563;0;58.10821;Kinetics Manufacturing;Void Spooflarnia;0h 0m 23s ;23.44398
NPC;-PRICE;797;0;46.68016;Mass Market;Dorando Corridor;0h 0m 23s ;23.44398
NPC;+QTY;149;127;113.6231;Foodmaid;Daelus;0h 50m 9s ;3009.769
NPC;BAL;480;-89;108.1431;StarGypsy Warehouse;Void Starcross;1h 53m 54s ;6834.967
NPC;BAL;103;0;57.72581;Blargg's;Beacon Spita;1h 53m 54s ;6834.967
NPC;+STOCK;161;122;50.53256;Lammassu Financial;Void Starcross;2h 26m 24s ;8784.133
NPC;+STOCK;622;142;103.7148;StarGypsy Warehouse;Void Starcross;2h 26m 24s ;8784.133
NPC;+STOCK;759;107;103.0121;Starbase Corporate Center;Void Starcross;2h 26m 24s ;8784.133
NPC;+PRICE;128;0;77.20472;Stinkfinger;Jonisae;2h 29m 20s ;8960.865
NPC;+QTY;201;102;101.9287;CoraVault;Lins;2h 29m 20s ;8960.865
NPC;+PRICE;290;0;129.2682;Astrox Security Patrol;Felishar;2h 34m 4s ;9244.389
NPC;+PRICE;176;0;103.6817;Imperium Bank;Ciando;4h 11m 12s ;15072.39
NPC;+PRICE;310;0;67.91966;Janca Refinery;Canndelis;4h 11m 12s ;15072.39
NPC;+STOCK;274;113;47.15142;Lammassu Financial;Void Starcross;4h 12m 27s ;15147.92
NPC;+STOCK;729;107;99.74077;StarGypsy Warehouse;Void Starcross;4h 12m 27s ;15147.92
NPC;+STOCK;903;144;100.5422;Starbase Corporate Center;Void Starcross;4h 12m 27s ;15147.92
NPC;-QTY;670;-89;103.2281;Starbase Corporate Center;Void Starcross;4h 19m 24s ;15564.41
NPC;BAL;566;-104;110.872;Starbase Corporate Center;Void Starcross;4h 40m 21s ;16821.04
NPC;BAL;165;-108;103.4224;Terra Drone;Geminey;4h 40m 21s ;16821.04
NPC;+QTY;350;76;47.64375;Lammassu Financial;Void Starcross;4h 47m 5s ;17225.82
NPC;+QTY;561;146;93.60553;Imperium Republica ;Gate of Alpharis;4h 50m 45s ;17445.84
NPC;+PRICE;151;0;123.4691;PharmaLife;Carioullis;4h 52m 11s ;17531.62
NPC;+QTY;433;83;47.64375;Lammassu Financial;Void Starcross;6h 44m 29s ;24269.91
NPC;-QTY;37;-75;122.5033;Ferce;Allabentoris;7h 28m 42s ;26922.34
NPC;+QTY;164;127;122.5033;Ferce;Allabentoris;7h 55m 5s ;28505.1
NPC;+QTY;859;130;99.58772;StarGypsy Warehouse;Void Starcross;10h 9m 19s ;36559.19
NPC;+LOCAL;150;1;150.5321;Astrox Security Patrol;Felishar;10h 35m 10s ;38110.46
NPC;+STOCK;289;139;126.3863;Astrox Security Patrol;Felishar;11h 3m 47s ;39827.63
NPC;+LOCAL;150;16;139.453;Astrox Security Patrol;Felishar;11h 19m 44s ;40784.41
NPC;+STOCK;966;107;94.16129;StarGypsy Warehouse;Void Starcross;12h 16m 20s ;44180.46
NPC;+STOCK;667;101;109.7973;Starbase Corporate Center;Void Starcross;12h 16m 20s ;44180.46
NPC;+QTY;338;113;110.1249;Quantex;Dellis Primeria;12h 33m 5s ;45185.51
NPC;+QTY;544;148;120.5199;The Dunes;The Dunes of Caliph;12h 51m 8s ;46268.94
NPC;+STOCK;569;136;43.64375;Lammassu Financial;Void Starcross;14h 1m 15s ;50475.31
NPC;+STOCK;1097;131;90.10303;StarGypsy Warehouse;Void Starcross;14h 1m 15s ;50475.31
NPC;+PRICE;44;0;81.96856;Horizons;Gate of Alpharis;15h 8m 41s ;54521.68
NPC;+PRICE;1097;0;91.81141;StarGypsy Warehouse;Void Starcross;15h 48m 23s ;56903.07
PLAYER;-QTY;557;12;44.12822;Lammassu Financial;Void Starcross;16h 2m 16s ;57736.33
NPC;+LOCAL;84;40;77.89996;Horizons;Gate of Alpharis;17h 3m 43s ;61423.68
PLAYER;+QTY;90;6;53.89039;Horizons;Gate of Alpharis;17h 3m 54s ;61434.18
NPC;+LOCAL;150;1703;37.5375;CoraVault;Lins;17h 30m 45s ;63045.81
NPC;+QTY;249;98;123.175;PharmaLife;Carioullis;18h 20m 21s ;66021.78
