NPC;-PRICE;52;0;1792.241;Kinetics Manufacturing;Void Spooflarnia;0h 0m 23s ;23.44398
NPC;-PRICE;1;0;2379.258;Nova Labs;Noah Fox;0h 56m 50s ;3410.242
NPC;+STOCK;77;11;2396.167;Starbase Corporate Center;Void Starcross;2h 26m 24s ;8784.133
NPC;+PRICE;37;0;3853.108;Stinkfinger;Jonisae;2h 29m 20s ;8960.865
NPC;+STOCK;60;11;1613.051;Lammassu Financial;Void Starcross;4h 12m 27s ;15147.92
NPC;+STOCK;85;8;2290.71;Starbase Corporate Center;Void Starcross;4h 12m 27s ;15147.92
NPC;+PRICE;1;0;2427.248;Nova Labs;Noah Fox;4h 16m 43s ;15403.89
NPC;-QTY;70;-7;2391.724;Starbase Corporate Center;Void Starcross;4h 19m 24s ;15564.41
NPC;+QTY;67;7;1606.867;Lammassu Financial;Void Starcross;4h 47m 5s ;17225.82
NPC;+QTY;75;8;1606.867;Lammassu Financial;Void Starcross;6h 44m 29s ;24269.91
NPC;+STOCK;85;10;1431.348;Lammassu Financial;Void Starcross;12h 16m 20s ;44180.46
NPC;+STOCK;93;8;1243.7;Lammassu Financial;Void Starcross;14h 1m 15s ;50475.31
