NPC;-PRICE;663;0;131.6884;Mass Market;Dorando Corridor;0h 0m 23s ;23.44398
NPC;+QTY;209;91;97.913;Keyworx;Geminey;0h 50m 9s ;3009.769
NPC;BAL;39;0;100.9986;Blargg's;Beacon Spita;1h 53m 54s ;6834.967
NPC;+STOCK;123;112;95.7889;StarShepards Headquarters;Void Starcross;2h 26m 24s ;8784.133
NPC;+STOCK;179;134;153.129;Starbase Corporate Center;Void Starcross;2h 26m 24s ;8784.133
NPC;+STOCK;659;130;97.64803;Proctors Center;Void Starcross;2h 26m 24s ;8784.133
NPC;+QTY;195;99;54.774;CoraVault;Lins;2h 29m 20s ;8960.865
NPC;+PRICE;43;0;62.38258;Astrox Security Patrol;Felishar;2h 34m 4s ;9244.389
NPC;+STOCK;261;138;92.25034;StarShepards Headquarters;Void Starcross;4h 12m 27s ;15147.92
NPC;+STOCK;288;109;150.2089;Starbase Corporate Center;Void Starcross;4h 12m 27s ;15147.92
NPC;+STOCK;802;143;91.24192;Proctors Center;Void Starcross;4h 12m 27s ;15147.92
NPC;-QTY;101;-78;153.761;Starbase Corporate Center;Void Starcross;4h 19m 24s ;15564.41
NPC;BAL;101;0;148.1464;Starbase Corporate Center;Void Starcross;4h 40m 21s ;16821.04
NPC;BAL;39;0;102.4088;Blargg's;Beacon Spita;4h 40m 21s ;16821.04
NPC;+QTY;466;105;104.5986;Imperium Republica ;Gate of Alpharis;4h 50m 45s ;17445.84
NPC;BAL;39;0;106.9982;Blargg's;Beacon Spita;6h 1m 51s ;21711.47
NPC;+LOCAL;45;14;123.0734;Horizons;Gate of Alpharis;8h 43m 5s ;31385.79
NPC;+PRICE;213;0;75.16807;Mazu Starship;Enoch Estates;9h 36m 0s ;34560.29
NPC;+PRICE;39;0;108.5414;Blargg's;Beacon Spita;9h 36m 0s ;34560.29
NPC;+LOCAL;46;1;122.278;Horizons;Gate of Alpharis;9h 50m 43s ;35443.09
NPC;+PRICE;109;0;110.0371;Vita Assembly;Capital Void;11h 3m 47s ;39827.63
NPC;+STOCK;201;100;144.5674;Starbase Corporate Center;Void Starcross;12h 16m 20s ;44180.46
NPC;+STOCK;942;140;85.23109;Proctors Center;Void Starcross;12h 16m 20s ;44180.46
NPC;-PRICE;942;0;82.2421;Proctors Center;Void Starcross;12h 34m 48s ;45288.88
NPC;+QTY;376;115;91.77509;StarShepards Headquarters;Void Starcross;12h 51m 8s ;46268.94
NPC;+STOCK;521;145;85.71035;StarShepards Headquarters;Void Starcross;14h 1m 15s ;50475.31
NPC;+STOCK;247;146;145.5971;Starbase Corporate Center;Void Starcross;14h 1m 15s ;50475.31
NPC;+STOCK;1048;106;78.85369;Proctors Center;Void Starcross;14h 1m 15s ;50475.31
NPC;-QTY;46;-145;135.1539;Desban;Ellisar;15h 52m 52s ;57172.89
NPC;-QTY;378;-143;85.35973;StarShepards Headquarters;Void Starcross;15h 52m 52s ;57172.89
NPC;+LOCAL;150;1339;46.54;CoraVault;Lins;17h 30m 45s ;63045.81
NPC;BAL;135;135;196.8675;Rendo Labs;Entropy;18h 20m 20s ;66020.74
