NPC;-PRICE;26;0;124.1509;Biomate University;Void Starcross;0h 0m 23s ;23.44398
NPC;+QTY;973;946;208.7168;KIN AI;Xenilo Valley;0h 50m 9s ;3009.769
NPC;+STOCK;931;873;161.8632;Lammassu Financial;Void Starcross;2h 26m 24s ;8784.133
NPC;+STOCK;1041;990;101.6711;StarGypsy Warehouse;Void Starcross;2h 26m 24s ;8784.133
NPC;+STOCK;987;939;204.8978;StarShepards Headquarters;Void Starcross;2h 26m 24s ;8784.133
NPC;+STOCK;746;677;200.3744;Starbase Corporate Center;Void Starcross;2h 26m 24s ;8784.133
NPC;+STOCK;764;701;104.1913;Proctors Center;Void Starcross;2h 26m 24s ;8784.133
NPC;+QTY;847;830;81.28475;Gunstellar;Adrenal;2h 29m 20s ;8960.865
NPC;+QTY;874;852;109.1605;Mass Market;Dorando Corridor;2h 36m 11s ;9371.667
NPC;+QTY;710;677;159.9927;Lacuna Bandits;Ballast Crow;2h 36m 11s ;9371.667
NPC;BAL;26;0;97.7075;Kith;Kidd Overture;2h 58m 0s ;10680.39
