NPC;-PRICE;19;0;138098.5;Nova Labs;Noah Fox;0h 56m 50s ;3410.242
NPC;+STOCK;104;20;125972.5;StarGypsy Warehouse;Void Starcross;2h 26m 24s ;8784.133
NPC;+STOCK;49;16;85936.09;StarShepards Headquarters;Void Starcross;2h 26m 24s ;8784.133
NPC;+STOCK;154;17;69503.02;Starbase Corporate Center;Void Starcross;2h 26m 24s ;8784.133
NPC;+QTY;18;17;143325;CoraVault;Lins;2h 29m 20s ;8960.865
NPC;+PRICE;44;0;56064.18;Monarch Society;Solitudes of Frey;4h 11m 12s ;15072.39
NPC;+PRICE;153;0;92613.91;Janca Refinery;Canndelis;4h 11m 12s ;15072.39
NPC;+STOCK;80;20;96516.94;Lammassu Financial;Void Starcross;4h 12m 27s ;15147.92
NPC;+STOCK;127;23;123424.2;StarGypsy Warehouse;Void Starcross;4h 12m 27s ;15147.92
NPC;+STOCK;70;21;83618.41;StarShepards Headquarters;Void Starcross;4h 12m 27s ;15147.92
NPC;+STOCK;175;21;65032.05;Starbase Corporate Center;Void Starcross;4h 12m 27s ;15147.92
NPC;BAL;137;-17;81032.88;Starbase Corporate Center;Void Starcross;4h 40m 21s ;16821.04
NPC;+QTY;101;21;96525;Lammassu Financial;Void Starcross;4h 47m 5s ;17225.82
NPC;+STOCK;37;16;143571.7;Acrondia Hub;Temple Gates;4h 51m 20s ;17480.54
NPC;+PRICE;153;0;96018.19;Janca Refinery;Canndelis;4h 52m 11s ;17531.62
NPC;+QTY;114;13;96525;Lammassu Financial;Void Starcross;6h 44m 29s ;24269.91
NPC;+QTY;126;15;97582.47;Vo Industries;Brimstone;7h 55m 5s ;28505.1
NPC;-QTY;145;-22;87182.88;Temple of the Void;Vindicati;9h 48m 4s ;35284.71
NPC;+QTY;149;22;123790.1;StarGypsy Warehouse;Void Starcross;10h 9m 19s ;36559.19
NPC;+PRICE;126;0;102328.6;Vo Industries;Brimstone;11h 29m 25s ;41365.69
NPC;+STOCK;132;18;93417.8;Lammassu Financial;Void Starcross;12h 16m 20s ;44180.46
NPC;+STOCK;171;22;121901.1;StarGypsy Warehouse;Void Starcross;12h 16m 20s ;44180.46
NPC;+STOCK;89;19;77473.13;StarShepards Headquarters;Void Starcross;12h 16m 20s ;44180.46
NPC;+QTY;110;21;78115.38;StarShepards Headquarters;Void Starcross;12h 51m 8s ;46268.94
NPC;+STOCK;194;23;116972.2;StarGypsy Warehouse;Void Starcross;14h 1m 15s ;50475.31
NPC;+STOCK;129;19;74581.57;StarShepards Headquarters;Void Starcross;14h 1m 15s ;50475.31
NPC;+STOCK;154;17;76331.52;Starbase Corporate Center;Void Starcross;14h 1m 15s ;50475.31
NPC;+PRICE;127;0;139225.6;Legistron;Dogstar Prime;15h 48m 23s ;56903.07
NPC;+PRICE;194;0;121467.6;StarGypsy Warehouse;Void Starcross;15h 48m 23s ;56903.07
NPC;-QTY;95;-15;61891.37;Star Shepard's Temple;Lightless;15h 52m 52s ;57172.89
NPC;-QTY;117;-12;74891.38;StarShepards Headquarters;Void Starcross;15h 52m 52s ;57172.89
NPC;+PRICE;132;0;97630.13;Lammassu Financial;Void Starcross;16h 46m 45s ;60405.14
NPC;+QTY;37;23;54783.62;Tella's;Bitcola;18h 20m 21s ;66021.78
