NPC;-PRICE;55;0;0.458348;Keyworx;Geminey;0h 0m 23s ;23.44398
NPC;-PRICE;302;0;0.940817;Biomate University;Void Starcross;0h 0m 23s ;23.44398
NPC;-PRICE;201;0;0.5655115;Mass Market;Dorando Corridor;0h 0m 23s ;23.44398
NPC;+QTY;178;170;0.41745;Foodmaid;Daelus;0h 50m 9s ;3009.769
NPC;BAL;122;0;0.6962066;StarGypsy Warehouse;Void Starcross;1h 53m 54s ;6834.967
NPC;+STOCK;483;181;0.9382677;Biomate University;Void Starcross;2h 26m 24s ;8784.133
NPC;+STOCK;667;204;0.4715678;Lammassu Financial;Void Starcross;2h 26m 24s ;8784.133
NPC;+STOCK;316;194;0.6774521;StarGypsy Warehouse;Void Starcross;2h 26m 24s ;8784.133
NPC;+STOCK;1282;240;0.4459571;StarShepards Headquarters;Void Starcross;2h 26m 24s ;8784.133
NPC;+STOCK;1158;229;0.3528354;Starbase Corporate Center;Void Starcross;2h 26m 24s ;8784.133
NPC;+STOCK;459;189;0.9706565;Proctors Center;Void Starcross;2h 26m 24s ;8784.133
NPC;+PRICE;402;0;0.5961117;Stinkfinger;Jonisae;2h 29m 20s ;8960.865
NPC;+PRICE;589;0;0.7857984;Psybermind;Ion Child;2h 29m 20s ;8960.865
NPC;+QTY;242;201;0.9072925;Acrondia Corp.;Crown of Imperium;2h 29m 20s ;8960.865
NPC;+QTY;299;171;0.8947001;CoraVault;Lins;2h 29m 20s ;8960.865
NPC;+STOCK;890;223;0.4461127;Lammassu Financial;Void Starcross;4h 12m 27s ;15147.92
NPC;+STOCK;559;243;0.6443197;StarGypsy Warehouse;Void Starcross;4h 12m 27s ;15147.92
NPC;+STOCK;1516;234;0.4162082;StarShepards Headquarters;Void Starcross;4h 12m 27s ;15147.92
NPC;+STOCK;1395;237;0.3089124;Starbase Corporate Center;Void Starcross;4h 12m 27s ;15147.92
NPC;+STOCK;686;227;0.9447473;Proctors Center;Void Starcross;4h 12m 27s ;15147.92
NPC;-QTY;1013;-145;0.35305;Starbase Corporate Center;Void Starcross;4h 19m 24s ;15564.41
NPC;+QTY;1036;146;0.4439;Lammassu Financial;Void Starcross;4h 47m 5s ;17225.82
NPC;+QTY;492;241;0.9131;Biomart;Veloxi;4h 47m 5s ;17225.82
NPC;-PRICE;721;0;0.8273968;Cecil;Junia;4h 51m 22s ;17482.65
PLAYER;+QTY;927;368;0.6473638;StarGypsy Warehouse;Void Starcross;5h 28m 53s ;19733.46
NPC;+PRICE;244;0;0.419317;Xellon;Ele;5h 41m 50s ;20510.81
NPC;BAL;242;0;0.8755301;Acrondia Corp.;Crown of Imperium;6h 1m 51s ;21711.47
NPC;BAL;98;-213;0.5667104;Blargg's;Beacon Spita;6h 1m 51s ;21711.47
NPC;+PRICE;516;0;0.9343247;Gek Mining;Alias Outpost;6h 12m 48s ;22368.54
NPC;+PRICE;801;0;0.9039254;Inovex;Goru Populan;6h 12m 48s ;22368.54
NPC;+QTY;1257;221;0.4439;Lammassu Financial;Void Starcross;6h 44m 29s ;24269.91
PLAYER;+QTY;1685;672;0.35305;Starbase Corporate Center;Void Starcross;6h 56m 11s ;24971.87
NPC;-QTY;0;-64;0.6804263;Cosmic Jay's;Canndelis;7h 28m 42s ;26922.34
NPC;+QTY;1533;186;0.5249836;Vo Industries;Brimstone;7h 55m 5s ;28505.1
NPC;+QTY;431;228;0.4973836;Ferce;Allabentoris;7h 55m 5s ;28505.1
NPC;+PRICE;98;0;0.5800211;Blargg's;Beacon Spita;9h 36m 0s ;34560.29
NPC;-QTY;145;-157;0.937756;Biomate University;Void Starcross;9h 48m 4s ;35284.71
NPC;+QTY;1111;184;0.6276528;StarGypsy Warehouse;Void Starcross;10h 9m 19s ;36559.19
NPC;+QTY;603;172;0.4973865;Ferce;Allabentoris;10h 9m 19s ;36559.19
NPC;+PRICE;145;0;0.9496358;Biomate University;Void Starcross;11h 3m 47s ;39827.63
NPC;+PRICE;188;0;0.6954862;Oro Omniplex Center;Merces Academy;11h 29m 25s ;41365.69
NPC;+PRICE;123;0;0.443283;Gunstellar;Adrenal;11h 29m 25s ;41365.69
NPC;+PRICE;1533;0;0.5691558;Vo Industries;Brimstone;11h 29m 25s ;41365.69
NPC;+STOCK;370;225;0.9063515;Biomate University;Void Starcross;12h 16m 20s ;44180.46
NPC;+STOCK;1310;199;0.6033788;StarGypsy Warehouse;Void Starcross;12h 16m 20s ;44180.46
NPC;+STOCK;1696;180;0.3778327;StarShepards Headquarters;Void Starcross;12h 16m 20s ;44180.46
NPC;+STOCK;1860;175;0.2916265;Starbase Corporate Center;Void Starcross;12h 16m 20s ;44180.46
NPC;+STOCK;913;227;0.8959553;Proctors Center;Void Starcross;12h 16m 20s ;44180.46
NPC;-PRICE;625;0;0.8574967;Imperium Republica ;Gate of Alpharis;12h 34m 48s ;45288.88
NPC;-PRICE;913;0;0.8576597;Proctors Center;Void Starcross;12h 34m 48s ;45288.88
NPC;+QTY;1937;241;0.3780165;StarShepards Headquarters;Void Starcross;12h 51m 8s ;46268.94
NPC;BAL;95;0;0.7868809;Quah Relay Station;Noah Fox;13h 31m 19s ;48679.5
NPC;+STOCK;1477;220;0.427183;Lammassu Financial;Void Starcross;14h 1m 15s ;50475.31
NPC;+STOCK;1536;226;0.5537714;StarGypsy Warehouse;Void Starcross;14h 1m 15s ;50475.31
NPC;+STOCK;2111;174;0.3543213;StarShepards Headquarters;Void Starcross;14h 1m 15s ;50475.31
NPC;+STOCK;1919;234;0.3150807;Starbase Corporate Center;Void Starcross;14h 1m 15s ;50475.31
NPC;+PRICE;276;0;0.5031251;PharmaLife;Carioullis;14h 10m 55s ;51055.01
