NPC;-PRICE;17;0;1137.553;Kinetics Manufacturing;Void Spooflarnia;0h 0m 23s ;23.44398
NPC;BAL;86;0;919.6856;StarGypsy Warehouse;Void Starcross;1h 53m 54s ;6834.967
NPC;+STOCK;188;102;888.1395;StarGypsy Warehouse;Void Starcross;2h 26m 24s ;8784.133
NPC;+STOCK;324;136;816.5196;StarGypsy Warehouse;Void Starcross;4h 12m 27s ;15147.92
NPC;+STOCK;1000;114;1172.421;StarShepards Headquarters;Void Starcross;4h 12m 27s ;15147.92
NPC;+STOCK;813;119;1142.033;Starbase Corporate Center;Void Starcross;4h 12m 27s ;15147.92
NPC;-QTY;617;-77;1208.142;Starbase Corporate Center;Void Starcross;4h 19m 24s ;15564.41
NPC;BAL;477;-140;1249.86;Starbase Corporate Center;Void Starcross;4h 40m 21s ;16821.04
NPC;+QTY;743;99;709.1243;Temple of the Void;Valley of Truths;4h 47m 5s ;17225.82
NPC;+LOCAL;150;170;459.9075;StarGypsy Warehouse;Void Starcross;5h 21m 41s ;19301.13
NPC;+LOCAL;150;31;459.9075;StarGypsy Warehouse;Void Starcross;5h 41m 57s ;20517.09
NPC;+LOCAL;150;29;459.9075;StarGypsy Warehouse;Void Starcross;6h 2m 0s ;21720.92
NPC;+LOCAL;150;141;459.9075;StarGypsy Warehouse;Void Starcross;7h 37m 56s ;27476.67
NPC;+LOCAL;150;37;459.9075;StarGypsy Warehouse;Void Starcross;8h 4m 7s ;29047.16
NPC;+LOCAL;150;233;459.9075;StarGypsy Warehouse;Void Starcross;9h 36m 17s ;34577.13
NPC;+QTY;248;98;201.2715;StarGypsy Warehouse;Void Starcross;10h 9m 19s ;36559.19
NPC;+STOCK;370;122;201.2715;StarGypsy Warehouse;Void Starcross;12h 16m 20s ;44180.46
NPC;+STOCK;1145;145;1143.955;StarShepards Headquarters;Void Starcross;12h 16m 20s ;44180.46
NPC;+STOCK;578;101;1212.58;Starbase Corporate Center;Void Starcross;12h 16m 20s ;44180.46
NPC;+QTY;1271;126;1147.487;StarShepards Headquarters;Void Starcross;12h 51m 8s ;46268.94
NPC;+STOCK;499;129;200.2765;StarGypsy Warehouse;Void Starcross;14h 1m 15s ;50475.31
NPC;+STOCK;1411;140;1124.321;StarShepards Headquarters;Void Starcross;14h 1m 15s ;50475.31
NPC;+STOCK;585;108;1226.854;Starbase Corporate Center;Void Starcross;14h 1m 15s ;50475.31
