NPC;-PRICE;15;0;10604.76;Mazu Starship;Enoch Estates;0h 56m 50s ;3410.242
NPC;+STOCK;96;11;4991.153;Starbase Corporate Center;Void Starcross;2h 26m 24s ;8784.133
NPC;+QTY;15;8;10512.38;Psybermind;Ion Child;2h 36m 11s ;9371.667
NPC;+PRICE;63;0;6476.546;Janca Refinery;Canndelis;4h 11m 12s ;15072.39
NPC;+STOCK;106;10;4864.801;Starbase Corporate Center;Void Starcross;4h 12m 27s ;15147.92
NPC;+PRICE;19;0;10802.99;Holosynth Industries;Rats Of Mortalis;4h 16m 43s ;15403.89
NPC;+QTY;30;11;10761.54;Holosynth Industries;Rats Of Mortalis;4h 54m 45s ;17685.59
NPC;+LOCAL;12;11;3152.5;Starbase Corporate Center;Void Starcross;5h 56m 1s ;21361.8
NPC;+PRICE;20;0;6105.091;Quantex;Dellis Primeria;6h 12m 48s ;22368.54
NPC;+QTY;38;8;4789.375;Foodmaid;Daelus;6h 44m 29s ;24269.91
NPC;+LOCAL;12;9;3152.5;Starbase Corporate Center;Void Starcross;6h 54m 38s ;24878.25
NPC;-QTY;19;-11;5729.184;Temple of the Void;Vindicati;9h 48m 4s ;35284.71
NPC;+LOCAL;12;32;3152.5;Starbase Corporate Center;Void Starcross;10h 13m 58s ;36838.04
NPC;+PRICE;11;0;6096.355;Vita Assembly;Capital Void;11h 3m 47s ;39827.63
NPC;+PRICE;27;0;9250.582;Terra Drone;Geminey;11h 29m 25s ;41365.69
NPC;+LOCAL;12;15;3152.5;Starbase Corporate Center;Void Starcross;11h 57m 51s ;43071.76
NPC;+QTY;19;9;7937.51;PharmaLife;Carioullis;12h 33m 5s ;45185.51
NPC;+QTY;13;9;7599.586;The Dunes;The Dunes of Caliph;12h 51m 8s ;46268.94
NPC;+STOCK;23;11;1387.949;Starbase Corporate Center;Void Starcross;14h 1m 15s ;50475.31
NPC;+PRICE;19;0;8292.423;PharmaLife;Carioullis;14h 10m 55s ;51055.01
NPC;BAL;31;-7;5023.573;Foodmaid;Daelus;14h 12m 27s ;51147.38
NPC;BAL;21;-9;10610.04;Holosynth Industries;Rats Of Mortalis;20h 19m 44s ;73184.99
NPC;+QTY;28;9;8323.722;PharmaLife;Carioullis;20h 24m 54s ;73494.4
NPC;+STOCK;32;9;1390.344;Starbase Corporate Center;Void Starcross;23h 4m 29s ;83069.7
NPC;-PRICE;21;0;10425.48;Holosynth Industries;Rats Of Mortalis;23h 28m 40s ;84520.21
NPC;BAL;7;-10;8832.661;Astrox Security Patrol;Felishar;23h 46m 31s ;85591.75
