NPC;-PRICE;95;0;71.59737;Kinetics Manufacturing;Void Spooflarnia;0h 0m 23s ;23.44398
NPC;+QTY;743;80;99.06363;KIN AI;Xenilo Valley;0h 50m 9s ;3009.769
NPC;+QTY;542;98;73.88862;Gunstellar;Adrenal;2h 29m 20s ;8960.865
NPC;+QTY;254;101;111.0218;Mass Market;Dorando Corridor;2h 36m 11s ;9371.667
NPC;+QTY;257;138;110.1406;Psybermind;Ion Child;2h 36m 11s ;9371.667
NPC;+STOCK;228;137;85.35183;StarShepards Headquarters;Void Starcross;4h 12m 27s ;15147.92
NPC;+STOCK;588;130;99.94383;Starbase Corporate Center;Void Starcross;4h 12m 27s ;15147.92
NPC;+LOCAL;150;642;32.7275;Starbase Corporate Center;Void Starcross;4h 12m 42s ;15162.17
NPC;-QTY;43;-107;14.47563;Starbase Corporate Center;Void Starcross;4h 19m 24s ;15564.41
NPC;BAL;43;0;23.77535;Starbase Corporate Center;Void Starcross;4h 40m 21s ;16821.04
NPC;-PRICE;413;0;35.44744;Cecil;Junia;4h 51m 22s ;17482.65
NPC;+LOCAL;150;187;32.7275;Starbase Corporate Center;Void Starcross;5h 56m 1s ;21361.8
NPC;+LOCAL;39;8;82.71365;Lacuna Bandits;Ballast Crow;6h 44m 46s ;24286.64
NPC;+LOCAL;150;140;32.7275;Starbase Corporate Center;Void Starcross;6h 54m 38s ;24878.25
NPC;+QTY;874;110;81.63088;Vo Industries;Brimstone;7h 55m 5s ;28505.1
NPC;+LOCAL;150;371;32.7275;Starbase Corporate Center;Void Starcross;10h 13m 58s ;36838.04
NPC;+PRICE;874;0;83.54739;Vo Industries;Brimstone;11h 29m 25s ;41365.69
NPC;+LOCAL;150;228;32.7275;Starbase Corporate Center;Void Starcross;11h 57m 51s ;43071.76
NPC;+STOCK;345;117;82.21322;StarShepards Headquarters;Void Starcross;12h 16m 20s ;44180.46
NPC;+STOCK;282;132;14.44667;Starbase Corporate Center;Void Starcross;12h 16m 20s ;44180.46
NPC;+LOCAL;150;2;32.7275;Starbase Corporate Center;Void Starcross;12h 16m 28s ;44188.51
NPC;+STOCK;460;115;77.63759;StarShepards Headquarters;Void Starcross;14h 1m 15s ;50475.31
NPC;+STOCK;257;107;14.40891;Starbase Corporate Center;Void Starcross;14h 1m 15s ;50475.31
NPC;+LOCAL;150;194;32.7275;Starbase Corporate Center;Void Starcross;14h 13m 23s ;51203.44
NPC;-QTY;349;-111;77.14501;StarShepards Headquarters;Void Starcross;15h 52m 52s ;57172.89
NPC;BAL;510;-77;93.26769;Oak Industries;Dorando Corridor;18h 20m 20s ;66020.74
