NPC;-PRICE;112;0;150324.3;Kinetics Manufacturing;Void Spooflarnia;0h 0m 23s ;23.44398
NPC;-PRICE;2;0;149823;Mass Market;Dorando Corridor;0h 0m 23s ;23.44398
NPC;+QTY;186;9;135918.8;KIN AI;Xenilo Valley;0h 50m 9s ;3009.769
NPC;-PRICE;17;0;86045.83;Mazu Starship;Enoch Estates;0h 56m 50s ;3410.242
NPC;BAL;21;-11;177182.4;Blargg's;Beacon Spita;1h 53m 54s ;6834.967
NPC;+STOCK;88;10;105819.5;Lammassu Financial;Void Starcross;2h 26m 24s ;8784.133
NPC;+STOCK;21;10;146775.4;StarShepards Headquarters;Void Starcross;2h 26m 24s ;8784.133
NPC;+QTY;89;10;187068.8;Gunstellar;Adrenal;2h 29m 20s ;8960.865
NPC;+STOCK;102;14;98511.87;Lammassu Financial;Void Starcross;4h 12m 27s ;15147.92
NPC;+STOCK;31;10;144236.9;StarShepards Headquarters;Void Starcross;4h 12m 27s ;15147.92
NPC;+QTY;115;13;97762.51;Lammassu Financial;Void Starcross;4h 47m 5s ;17225.82
NPC;+QTY;21;8;81262.5;CoraVault Hub;Pindoris;4h 50m 45s ;17445.84
NPC;-PRICE;97;0;107002.3;Valuestar Hub;Jelumus;4h 51m 22s ;17482.65
NPC;+PRICE;19;0;91839.71;Xellon;Ele;5h 41m 50s ;20510.81
NPC;BAL;6;-11;89918.52;Mazu Starship;Enoch Estates;6h 1m 51s ;21711.47
NPC;BAL;10;-11;174530.8;Blargg's;Beacon Spita;6h 1m 51s ;21711.47
NPC;+QTY;125;10;97762.51;Lammassu Financial;Void Starcross;6h 44m 29s ;24269.91
NPC;+QTY;20;11;90682.97;PharmaLife;Carioullis;6h 44m 29s ;24269.91
NPC;-QTY;0;-11;62632.97;Cosmic Jay's;Canndelis;7h 28m 42s ;26922.34
NPC;+STOCK;29;11;161448.4;Horizons;Gate of Alpharis;9h 25m 28s ;33928.45
NPC;+PRICE;10;0;178681.9;Blargg's;Beacon Spita;9h 36m 0s ;34560.29
NPC;+QTY;28;8;90634.5;PharmaLife;Carioullis;10h 9m 19s ;36559.19
NPC;+PRICE;2;0;160343.6;Vita Assembly;Capital Void;11h 3m 47s ;39827.63
NPC;+STOCK;139;14;90886.69;Lammassu Financial;Void Starcross;12h 16m 20s ;44180.46
NPC;+STOCK;44;13;138925.6;StarShepards Headquarters;Void Starcross;12h 16m 20s ;44180.46
NPC;+QTY;103;11;155468.1;Stinkfinger;Jonisae;12h 51m 8s ;46268.94
NPC;+QTY;53;9;138746.4;StarShepards Headquarters;Void Starcross;12h 51m 8s ;46268.94
NPC;+STOCK;153;14;87850.01;Lammassu Financial;Void Starcross;14h 1m 15s ;50475.31
NPC;+STOCK;64;11;136050.8;StarShepards Headquarters;Void Starcross;14h 1m 15s ;50475.31
NPC;+PRICE;18;0;168296.3;Horizons;Gate of Alpharis;15h 8m 41s ;54521.68
NPC;-QTY;53;-11;136304.4;StarShepards Headquarters;Void Starcross;15h 52m 52s ;57172.89
NPC;-QTY;27;-10;116610.7;Ferce Hub;Semja;19h 7m 15s ;68835.37
NPC;+STOCK;164;11;81001.7;Lammassu Financial;Void Starcross;23h 4m 29s ;83069.7
NPC;+STOCK;66;13;132698.5;StarShepards Headquarters;Void Starcross;23h 4m 29s ;83069.7
NPC;+PRICE;2;0;153145.6;Mass Market;Dorando Corridor;23h 4m 30s ;83070.77
