NPC;BAL;13;-8;5007.359;Astrox Security Patrol;Felishar;1h 53m 54s ;6834.967
NPC;+STOCK;39;8;4409.713;Lammassu Financial;Void Starcross;2h 26m 24s ;8784.133
NPC;+STOCK;104;8;3080.084;Starbase Corporate Center;Void Starcross;2h 26m 24s ;8784.133
NPC;BAL;7;0;4532.005;Crystalis Broadcasting;Jermicus;2h 58m 0s ;10680.39
NPC;+PRICE;2;0;4113.277;Imperium Bank;Ciando;4h 11m 12s ;15072.39
NPC;+STOCK;50;11;4293.749;Lammassu Financial;Void Starcross;4h 12m 27s ;15147.92
NPC;+STOCK;115;11;2915.417;Starbase Corporate Center;Void Starcross;4h 12m 27s ;15147.92
NPC;+PRICE;13;0;2308.759;Nova Labs;Noah Fox;4h 16m 43s ;15403.89
NPC;-QTY;95;-9;3056.375;Starbase Corporate Center;Void Starcross;4h 19m 24s ;15564.41
NPC;BAL;84;-11;3541.714;Starbase Corporate Center;Void Starcross;4h 40m 21s ;16821.04
NPC;+QTY;15;11;2462.25;Biomart;Veloxi;4h 47m 5s ;17225.82
NPC;+QTY;66;7;2063.451;Star Shepard's Temple;Lightless;4h 50m 45s ;17445.84
NPC;+QTY;20;6;2811.375;Scrapdogs;Gemini Els;4h 54m 45s ;17685.59
NPC;+PRICE;5;0;2164.606;Xellon;Ele;5h 41m 50s ;20510.81
NPC;+LOCAL;12;20;1592.5;Starbase Corporate Center;Void Starcross;5h 56m 1s ;21361.8
NPC;+QTY;27;8;4261.009;PharmaLife;Carioullis;6h 44m 29s ;24269.91
NPC;+LOCAL;12;7;1592.5;Starbase Corporate Center;Void Starcross;6h 54m 38s ;24878.25
NPC;+STOCK;29;10;3281.973;Horizons;Gate of Alpharis;9h 25m 28s ;33928.45
NPC;+LOCAL;12;26;1592.5;Starbase Corporate Center;Void Starcross;10h 13m 58s ;36838.04
NPC;+LOCAL;12;15;1592.5;Starbase Corporate Center;Void Starcross;11h 57m 51s ;43071.76
NPC;+STOCK;60;10;4063.368;Lammassu Financial;Void Starcross;12h 16m 20s ;44180.46
NPC;+STOCK;23;11;702.9662;Starbase Corporate Center;Void Starcross;12h 16m 20s ;44180.46
NPC;+QTY;34;7;4254.67;PharmaLife;Carioullis;12h 33m 5s ;45185.51
NPC;-PRICE;27;0;1768.9;Imperium Republica ;Gate of Alpharis;12h 34m 48s ;45288.88
NPC;+STOCK;70;10;3952.651;Lammassu Financial;Void Starcross;14h 1m 15s ;50475.31
NPC;+STOCK;21;9;701.1288;Starbase Corporate Center;Void Starcross;14h 1m 15s ;50475.31
NPC;+LOCAL;12;21;1592.5;Starbase Corporate Center;Void Starcross;14h 13m 23s ;51203.44
