NPC;+STOCK;19;11;1035.612;Star Shepards Hub;Temple Gates;0h 57m 57s ;3477.823
NPC;+STOCK;87;8;1250.676;Biomate University;Void Starcross;2h 26m 24s ;8784.133
NPC;+STOCK;68;9;791.4866;Starbase Corporate Center;Void Starcross;2h 26m 24s ;8784.133
NPC;+PRICE;4;0;1043.255;Acrondia Corp.;Crown of Imperium;2h 29m 20s ;8960.865
NPC;BAL;5;-11;1115.802;ValueStar;Hunu;2h 58m 0s ;10680.39
NPC;BAL;12;-7;684.6934;Crystalis Broadcasting;Jermicus;2h 58m 0s ;10680.39
NPC;+STOCK;87;8;1254.135;Biomate University;Void Starcross;4h 12m 27s ;15147.92
NPC;+STOCK;79;11;740.1997;Starbase Corporate Center;Void Starcross;4h 12m 27s ;15147.92
NPC;-QTY;20;-7;1054.907;Cecil;Junia;4h 19m 24s ;15564.41
NPC;-PRICE;16;0;861.4651;Oro Omniplex Center;Merces Academy;4h 29m 47s ;16187.74
NPC;-PRICE;12;0;617.2561;Crystalis Broadcasting;Jermicus;4h 29m 47s ;16187.74
NPC;BAL;57;-11;865.4084;Starbase Corporate Center;Void Starcross;4h 40m 21s ;16821.04
NPC;BAL;4;0;1186.267;Terra Drone;Geminey;4h 40m 21s ;16821.04
NPC;+QTY;10;8;620.1724;Scrapdogs;Gemini Els;4h 54m 45s ;17685.59
NPC;+PRICE;17;0;1029.305;Gek Mining;Alias Outpost;9h 36m 0s ;34560.29
NPC;-QTY;76;-11;1254.317;Biomate University;Void Starcross;9h 48m 4s ;35284.71
NPC;+PRICE;76;0;1272.473;Biomate University;Void Starcross;11h 3m 47s ;39827.63
NPC;+STOCK;86;10;1251.349;Biomate University;Void Starcross;12h 16m 20s ;44180.46
NPC;+STOCK;67;10;817.4393;Starbase Corporate Center;Void Starcross;12h 16m 20s ;44180.46
NPC;+STOCK;97;11;1205.811;Biomate University;Void Starcross;14h 1m 15s ;50475.31
NPC;+QTY;12;7;617.4045;Blissheads;Estura Cove;18h 20m 21s ;66021.78
NPC;BAL;78;-8;1213.468;Biomate University;Void Starcross;20h 19m 44s ;73184.99
NPC;+STOCK;87;9;1165.514;Biomate University;Void Starcross;23h 4m 29s ;83069.7
NPC;+STOCK;66;9;832.3796;Starbase Corporate Center;Void Starcross;23h 4m 29s ;83069.7
NPC;BAL;3;0;1191.28;Oak Industries;Dorando Corridor;23h 46m 31s ;85591.75
