NPC;-PRICE;249;0;95.47311;Holosynth Industries;Rats Of Mortalis;0h 56m 50s ;3410.242
NPC;-PRICE;89;0;58.30404;Nova Labs;Noah Fox;0h 56m 50s ;3410.242
NPC;+STOCK;2370;2287;39.96714;Biomate University;Void Starcross;2h 26m 24s ;8784.133
NPC;+STOCK;2558;2358;42.94328;Lammassu Financial;Void Starcross;2h 26m 24s ;8784.133
NPC;+STOCK;2078;1721;55.90929;StarShepards Headquarters;Void Starcross;2h 26m 24s ;8784.133
NPC;+STOCK;2212;2166;97.92784;Starbase Corporate Center;Void Starcross;2h 26m 24s ;8784.133
NPC;+STOCK;2614;2442;44.39573;Proctors Center;Void Starcross;2h 26m 24s ;8784.133
NPC;+QTY;1573;1412;71.62313;Lacuna Bandits;Ballast Crow;2h 36m 11s ;9371.667
NPC;+PRICE;94;0;60.81312;Stinkfinger;Jonisae;4h 11m 12s ;15072.39
NPC;-QTY;0;-66;60.75327;Terra Drone;Geminey;4h 11m 42s ;15102.06
NPC;+STOCK;1753;1670;41.43859;Biomate University;Void Starcross;4h 12m 27s ;15147.92
NPC;+STOCK;5022;2464;38.20615;Lammassu Financial;Void Starcross;4h 12m 27s ;15147.92
NPC;+STOCK;4257;2179;51.36041;StarShepards Headquarters;Void Starcross;4h 12m 27s ;15147.92
NPC;+STOCK;4176;1964;95.75829;Starbase Corporate Center;Void Starcross;4h 12m 27s ;15147.92
NPC;+STOCK;4634;2020;41.19859;Proctors Center;Void Starcross;4h 12m 27s ;15147.92
NPC;-QTY;0;-39;88.95712;Dustardz;Redsky;4h 19m 24s ;15564.41
NPC;-QTY;269;-1943;97.62413;Starbase Corporate Center;Void Starcross;4h 19m 24s ;15564.41
NPC;BAL;1629;1629;64.45644;Terra Drone;Geminey;4h 40m 21s ;16821.04
NPC;+QTY;7113;2091;37.79775;Lammassu Financial;Void Starcross;4h 47m 5s ;17225.82
NPC;+QTY;1784;1607;65.52613;Imperium Republica ;Gate of Alpharis;4h 50m 45s ;17445.84
NPC;+PRICE;378;0;76.24603;Janca Refinery;Canndelis;4h 52m 11s ;17531.62
NPC;+PRICE;133;0;66.25291;Quantex;Dellis Primeria;6h 12m 48s ;22368.54
NPC;-QTY;0;-111;62.65609;Ferce;Allabentoris;7h 28m 42s ;26922.34
NPC;+QTY;1521;1521;62.65609;Ferce;Allabentoris;7h 55m 5s ;28505.1
NPC;+QTY;1921;1662;84.80509;Vo Industries;Brimstone;7h 55m 5s ;28505.1
NPC;-QTY;5;-1748;41.34159;Biomate University;Void Starcross;9h 48m 4s ;35284.71
NPC;+QTY;3453;1932;62.65639;Ferce;Allabentoris;10h 9m 19s ;36559.19
NPC;+PRICE;5;0;44.987;Biomate University;Void Starcross;11h 3m 47s ;39827.63
NPC;+PRICE;23;0;79.50554;Gunstellar;Adrenal;11h 29m 25s ;41365.69
NPC;+PRICE;83;0;72.97089;Vo Industries;Brimstone;11h 29m 25s ;41365.69
NPC;+STOCK;2251;2246;40.46383;Biomate University;Void Starcross;12h 16m 20s ;44180.46
NPC;+STOCK;9432;2319;35.41035;Lammassu Financial;Void Starcross;12h 16m 20s ;44180.46
NPC;+STOCK;6268;2011;47.12001;StarShepards Headquarters;Void Starcross;12h 16m 20s ;44180.46
NPC;+STOCK;6841;2207;38.30899;Proctors Center;Void Starcross;12h 16m 20s ;44180.46
NPC;+QTY;1876;1743;65.81744;Quantex;Dellis Primeria;12h 33m 5s ;45185.51
NPC;-PRICE;1784;0;63.49886;Imperium Republica ;Gate of Alpharis;12h 34m 48s ;45288.88
NPC;-PRICE;6841;0;36.92313;Proctors Center;Void Starcross;12h 34m 48s ;45288.88
NPC;+QTY;8335;2067;47.27246;StarShepards Headquarters;Void Starcross;12h 51m 8s ;46268.94
NPC;+STOCK;3971;1720;36.65202;Biomate University;Void Starcross;14h 1m 15s ;50475.31
NPC;+STOCK;11532;2100;33.64263;Lammassu Financial;Void Starcross;14h 1m 15s ;50475.31
NPC;+STOCK;10824;2489;42.94497;StarShepards Headquarters;Void Starcross;14h 1m 15s ;50475.31
NPC;+STOCK;2026;1757;96.1683;Starbase Corporate Center;Void Starcross;14h 1m 15s ;50475.31
NPC;+PRICE;23;0;83.20773;Gunstellar;Adrenal;14h 10m 55s ;51055.01
NPC;BAL;1628;1628;87.29594;Dustardz;Redsky;14h 12m 27s ;51147.38
NPC;BAL;393;0;83.43784;Foodmaid;Daelus;14h 12m 27s ;51147.38
PLAYER;-QTY;1851;400;40.39515;Biomate University;Void Starcross;15h 1m 53s ;54113.96
PLAYER;-QTY;251;1600;41.35814;Biomate University;Void Starcross;15h 4m 41s ;54281.3
NPC;-QTY;9076;-1748;42.95823;StarShepards Headquarters;Void Starcross;15h 52m 52s ;57172.89
NPC;+PRICE;11532;0;38.32005;Lammassu Financial;Void Starcross;16h 46m 45s ;60405.14
NPC;+PRICE;235;0;42.57718;Desban;Ellisar;16h 46m 45s ;60405.14
PLAYER;-QTY;0;251;42.03014;Biomate University;Void Starcross;18h 31m 0s ;66660.34
