NPC;BAL;24;-8;6607.897;Astrox Security Patrol;Kilotorish;1h 53m 54s ;6834.967
NPC;+STOCK;15;8;11363.61;Lammassu Financial;Void Starcross;2h 26m 24s ;8784.133
NPC;+STOCK;19;9;11099.96;Starbase Corporate Center;Void Starcross;2h 26m 24s ;8784.133
NPC;+STOCK;30;11;10968.06;Starbase Corporate Center;Void Starcross;4h 12m 27s ;15147.92
NPC;-QTY;8;-11;11139.64;Starbase Corporate Center;Void Starcross;4h 19m 24s ;15564.41
NPC;+QTY;21;6;11363.33;Lammassu Financial;Void Starcross;6h 44m 29s ;24269.91
NPC;+PRICE;14;0;12344.72;Gunstellar;Adrenal;11h 29m 25s ;41365.69
NPC;+STOCK;19;11;10890.19;Starbase Corporate Center;Void Starcross;12h 16m 20s ;44180.46
PLAYER;-QTY;7;1;11136.21;Starbase Corporate Center;Void Starcross;12h 18m 54s ;44334.8
NPC;+STOCK;30;9;11209.61;Lammassu Financial;Void Starcross;14h 1m 15s ;50475.31
NPC;+PRICE;14;0;12790.53;Gunstellar;Adrenal;14h 10m 55s ;51055.01
NPC;+PRICE;30;0;11394.25;Lammassu Financial;Void Starcross;16h 46m 45s ;60405.14
