NPC;+LOCAL;60;8;200.6523;Daemon Ammunitions;Starfort Ramos;0h 50m 56s ;3056.125
NPC;-PRICE;15;0;157.2863;Nova Labs;Noah Fox;0h 56m 50s ;3410.242
NPC;+STOCK;2296;2102;128.9374;Biomate University;Void Starcross;2h 26m 24s ;8784.133
NPC;+STOCK;2484;2455;104.3647;Lammassu Financial;Void Starcross;2h 26m 24s ;8784.133
NPC;+STOCK;2233;2137;171.7381;Starbase Corporate Center;Void Starcross;2h 26m 24s ;8784.133
NPC;+PRICE;299;0;85.2878;Stinkfinger;Jonisae;2h 29m 20s ;8960.865
NPC;+PRICE;164;0;224.4176;Medicore University;Cliffs of Drameria;2h 29m 20s ;8960.865
NPC;BAL;66;0;139.7949;Kith;Kidd Overture;2h 58m 0s ;10680.39
NPC;+STOCK;2012;1818;119.6836;Biomate University;Void Starcross;4h 12m 27s ;15147.92
NPC;+STOCK;4236;1752;97.17829;Lammassu Financial;Void Starcross;4h 12m 27s ;15147.92
NPC;+STOCK;2572;2409;172.3043;StarShepards Headquarters;Void Starcross;4h 12m 27s ;15147.92
NPC;+STOCK;4695;2462;162.1692;Starbase Corporate Center;Void Starcross;4h 12m 27s ;15147.92
NPC;-QTY;0;-73;212.75;Scrapdogs;Gemini Els;4h 19m 24s ;15564.41
NPC;-QTY;0;-2233;170.75;Starbase Corporate Center;Void Starcross;4h 19m 24s ;15564.41
NPC;BAL;2442;2442;186.6261;Starbase Corporate Center;Void Starcross;4h 40m 21s ;16821.04
NPC;+QTY;6624;2388;96.5;Lammassu Financial;Void Starcross;4h 47m 5s ;17225.82
NPC;+STOCK;1937;1924;206.9298;Star Shepards Hub;Temple Gates;4h 51m 20s ;17480.54
NPC;-PRICE;303;0;209.4971;Valuestar Hub;Jelumus;4h 51m 22s ;17482.65
NPC;+PRICE;28;0;113.7848;Xellon;Ele;5h 41m 50s ;20510.81
NPC;+QTY;8280;1656;96.5;Lammassu Financial;Void Starcross;6h 44m 29s ;24269.91
NPC;-QTY;408;-1604;119.86;Biomate University;Void Starcross;9h 48m 4s ;35284.71
NPC;+PRICE;408;0;124.7848;Biomate University;Void Starcross;11h 3m 47s ;39827.63
NPC;+STOCK;2820;2412;122.2778;Biomate University;Void Starcross;12h 16m 20s ;44180.46
NPC;+STOCK;10466;2186;87.46046;Lammassu Financial;Void Starcross;12h 16m 20s ;44180.46
NPC;+STOCK;4411;1839;169.5196;StarShepards Headquarters;Void Starcross;12h 16m 20s ;44180.46
NPC;+STOCK;4421;1979;180.9354;Starbase Corporate Center;Void Starcross;12h 16m 20s ;44180.46
NPC;+QTY;2267;2145;220.6925;Quantex;Dellis Primeria;12h 33m 5s ;45185.51
NPC;+QTY;5781;1370;170.1775;StarShepards Headquarters;Void Starcross;12h 51m 8s ;46268.94
NPC;+STOCK;4704;1884;116.6977;Biomate University;Void Starcross;14h 1m 15s ;50475.31
NPC;+STOCK;12758;2292;79.68347;Lammassu Financial;Void Starcross;14h 1m 15s ;50475.31
NPC;+STOCK;7467;1686;160.0279;StarShepards Headquarters;Void Starcross;14h 1m 15s ;50475.31
NPC;+STOCK;2535;2475;190.3736;Proctors Center;Void Starcross;14h 1m 15s ;50475.31
NPC;BAL;94;0;178.8579;Foodmaid;Daelus;14h 12m 27s ;51147.38
NPC;+PRICE;343;0;202.9874;Legistron;Dogstar Prime;15h 48m 23s ;56903.07
NPC;+PRICE;12758;0;84.62182;Lammassu Financial;Void Starcross;16h 46m 45s ;60405.14
NPC;+PRICE;32;0;164.83;Desban;Ellisar;16h 46m 45s ;60405.14
NPC;+STOCK;3865;1928;195.977;Star Shepards Hub;Temple Gates;18h 57m 14s ;68234.02
