NPC;-PRICE;227;0;1.626081;Keyworx;Geminey;0h 0m 23s ;23.44398
NPC;-PRICE;45;0;1.790137;Mass Market;Dorando Corridor;0h 0m 23s ;23.44398
NPC;+QTY;324;201;1.00625;Xellon;Ele;0h 50m 9s ;3009.769
NPC;-PRICE;424;0;2.71547;Holosynth Industries;Rats Of Mortalis;0h 56m 50s ;3410.242
NPC;BAL;58;0;2.488552;Astrox Security Patrol;Kilotorish;1h 53m 54s ;6834.967
NPC;+STOCK;1197;176;1.586036;Lammassu Financial;Void Starcross;2h 26m 24s ;8784.133
NPC;+STOCK;344;182;1.865746;Starbase Corporate Center;Void Starcross;2h 26m 24s ;8784.133
NPC;+STOCK;944;181;1.730531;Proctors Center;Void Starcross;2h 26m 24s ;8784.133
NPC;+QTY;237;137;2.804375;Cosmic Jay's;Canndelis;2h 36m 11s ;9371.667
NPC;+QTY;273;150;1.059375;Psybermind;Ion Child;2h 36m 11s ;9371.667
NPC;BAL;440;-215;1.223791;ValueStar;Hunu;2h 58m 0s ;10680.39
NPC;+STOCK;426;222;1.876104;Biomate University;Void Starcross;4h 12m 27s ;15147.92
NPC;+STOCK;1427;230;1.509662;Lammassu Financial;Void Starcross;4h 12m 27s ;15147.92
NPC;+STOCK;305;192;0.9529009;StarGypsy Warehouse;Void Starcross;4h 12m 27s ;15147.92
NPC;+STOCK;657;214;1.405732;StarShepards Headquarters;Void Starcross;4h 12m 27s ;15147.92
NPC;+STOCK;547;203;1.763043;Starbase Corporate Center;Void Starcross;4h 12m 27s ;15147.92
NPC;+STOCK;1112;168;1.687877;Proctors Center;Void Starcross;4h 12m 27s ;15147.92
NPC;+PRICE;424;0;2.70672;Holosynth Industries;Rats Of Mortalis;4h 16m 43s ;15403.89
NPC;-QTY;142;-202;1.859375;Starbase Corporate Center;Void Starcross;4h 19m 24s ;15564.41
NPC;-PRICE;156;0;1.197783;Crystalis Broadcasting;Jermicus;4h 29m 47s ;16187.74
NPC;BAL;142;0;2.061042;Starbase Corporate Center;Void Starcross;4h 40m 21s ;16821.04
NPC;+QTY;1624;197;1.50625;Lammassu Financial;Void Starcross;4h 47m 5s ;17225.82
NPC;+STOCK;278;246;1.988543;Acrondia Hub;Temple Gates;4h 51m 20s ;17480.54
NPC;-PRICE;295;0;2.208886;Kinetics Manufacturing;Void Spooflarnia;4h 51m 22s ;17482.65
NPC;-PRICE;557;0;2.487988;Cecil;Junia;4h 51m 22s ;17482.65
NPC;+QTY;617;177;2.459375;The Dunes;The Dunes of Caliph;4h 54m 45s ;17685.59
PLAYER;+QTY;523;218;0.9591407;StarGypsy Warehouse;Void Starcross;5h 29m 9s ;19749.45
PLAYER;+QTY;337;195;2.059375;Starbase Corporate Center;Void Starcross;6h 56m 20s ;24980.26
NPC;-QTY;31;-206;2.773984;Cosmic Jay's;Canndelis;7h 28m 42s ;26922.34
NPC;+QTY;399;144;2.401586;Ferce;Allabentoris;7h 55m 5s ;28505.1
NPC;-QTY;0;-58;1.184531;Astrox Security Patrol;Felishar;9h 48m 4s ;35284.71
NPC;+QTY;715;192;0.9055781;StarGypsy Warehouse;Void Starcross;10h 9m 19s ;36559.19
NPC;+PRICE;257;0;1.527478;Void Raiders;Corbis Almuni;11h 3m 47s ;39827.63
NPC;+PRICE;426;0;1.982019;Biomate University;Void Starcross;11h 3m 47s ;39827.63
NPC;+PRICE;177;0;1.927968;Oro Omniplex Center;Merces Academy;11h 29m 25s ;41365.69
NPC;+PRICE;123;0;1.479032;Gunstellar;Adrenal;11h 29m 25s ;41365.69
NPC;+STOCK;1837;213;1.418646;Lammassu Financial;Void Starcross;12h 16m 20s ;44180.46
NPC;+STOCK;873;216;1.333364;StarShepards Headquarters;Void Starcross;12h 16m 20s ;44180.46
NPC;+STOCK;548;211;1.940711;Starbase Corporate Center;Void Starcross;12h 16m 20s ;44180.46
NPC;+STOCK;1309;197;1.648261;Proctors Center;Void Starcross;12h 16m 20s ;44180.46
NPC;+QTY;303;213;2.283656;Quantex;Dellis Primeria;12h 33m 5s ;45185.51
NPC;-PRICE;1309;0;1.601411;Proctors Center;Void Starcross;12h 34m 48s ;45288.88
NPC;+QTY;778;161;2.458656;The Dunes;The Dunes of Caliph;12h 51m 8s ;46268.94
NPC;+QTY;152;128;1.255578;Stinkfinger;Jonisae;12h 51m 8s ;46268.94
NPC;+QTY;1044;171;1.327219;StarShepards Headquarters;Void Starcross;12h 51m 8s ;46268.94
NPC;BAL;76;-197;1.108006;Psybermind;Ion Child;13h 31m 19s ;48679.5
NPC;+STOCK;654;228;1.884702;Biomate University;Void Starcross;14h 1m 15s ;50475.31
NPC;+STOCK;2008;171;1.353684;Lammassu Financial;Void Starcross;14h 1m 15s ;50475.31
NPC;+STOCK;935;220;0.8312681;StarGypsy Warehouse;Void Starcross;14h 1m 15s ;50475.31
NPC;+STOCK;1281;237;1.212487;StarShepards Headquarters;Void Starcross;14h 1m 15s ;50475.31
NPC;+STOCK;552;215;1.906851;Starbase Corporate Center;Void Starcross;14h 1m 15s ;50475.31
NPC;+STOCK;1539;230;1.557411;Proctors Center;Void Starcross;14h 1m 15s ;50475.31
NPC;+PRICE;123;0;1.518416;Gunstellar;Adrenal;14h 10m 55s ;51055.01
