NPC;+QTY;39;10;4296.773;Keyworx;Geminey;0h 50m 9s ;3009.769
NPC;+STOCK;18;10;6989.945;Star Shepards Hub;Temple Gates;0h 57m 57s ;3477.823
NPC;+STOCK;82;10;3448.959;Biomate University;Void Starcross;2h 26m 24s ;8784.133
NPC;+STOCK;77;8;5116.84;Starbase Corporate Center;Void Starcross;2h 26m 24s ;8784.133
NPC;+PRICE;6;0;6151.011;Acrondia Corp.;Crown of Imperium;2h 29m 20s ;8960.865
NPC;+QTY;16;10;6161.765;Acrondia Corp.;Crown of Imperium;2h 29m 20s ;8960.865
NPC;BAL;7;0;3574.965;Crystalis Broadcasting;Jermicus;2h 58m 0s ;10680.39
NPC;+STOCK;83;11;3198.5;Biomate University;Void Starcross;4h 12m 27s ;15147.92
NPC;+STOCK;86;9;4981.982;Starbase Corporate Center;Void Starcross;4h 12m 27s ;15147.92
NPC;-QTY;69;-8;5125.835;Starbase Corporate Center;Void Starcross;4h 19m 24s ;15564.41
NPC;-PRICE;14;0;4898.147;Oro Omniplex Center;Merces Academy;4h 29m 47s ;16187.74
NPC;BAL;58;-11;5458.134;Starbase Corporate Center;Void Starcross;4h 40m 21s ;16821.04
NPC;BAL;30;-7;6462.925;Mazu Starship;Enoch Estates;6h 1m 51s ;21711.47
NPC;+PRICE;39;0;6457.139;Inovex;Goru Populan;6h 12m 48s ;22368.54
NPC;-QTY;0;-7;3504.979;Crystalis Broadcasting;Jermicus;7h 28m 42s ;26922.34
NPC;-QTY;76;-7;3184.236;Biomate University;Void Starcross;9h 48m 4s ;35284.71
NPC;-QTY;1;-8;4332.168;Quah Relay Station;Noah Fox;9h 48m 4s ;35284.71
NPC;+PRICE;76;0;3297.058;Biomate University;Void Starcross;11h 3m 47s ;39827.63
NPC;+STOCK;86;10;3091.54;Biomate University;Void Starcross;12h 16m 20s ;44180.46
NPC;+STOCK;69;11;5166.642;Starbase Corporate Center;Void Starcross;12h 16m 20s ;44180.46
NPC;+QTY;37;8;3659.432;Astrox Security Patrol;Kilotorish;12h 33m 5s ;45185.51
NPC;+QTY;44;7;3659.432;Astrox Security Patrol;Kilotorish;12h 33m 5s ;45185.51
NPC;-PRICE;2;0;6767.806;Genistar;Blades of Dandrow;12h 34m 48s ;45288.88
NPC;+STOCK;94;8;2850.192;Biomate University;Void Starcross;14h 1m 15s ;50475.31
NPC;+STOCK;66;8;5305.553;Starbase Corporate Center;Void Starcross;14h 1m 15s ;50475.31
