NPC;+QTY;59;14;26593.75;Keyworx;Geminey;0h 50m 9s ;3009.769
NPC;BAL;84;-13;22523.25;StarGypsy Warehouse;Void Starcross;1h 53m 54s ;6834.967
NPC;BAL;58;-19;16803.66;Astrox Security Patrol;Felishar;1h 53m 54s ;6834.967
NPC;+STOCK;65;21;18961.73;Lammassu Financial;Void Starcross;2h 26m 24s ;8784.133
NPC;+STOCK;106;22;22143.21;StarGypsy Warehouse;Void Starcross;2h 26m 24s ;8784.133
NPC;+STOCK;44;24;22160.17;Proctors Center;Void Starcross;2h 26m 24s ;8784.133
NPC;+PRICE;58;0;17311.94;Astrox Security Patrol;Felishar;2h 34m 4s ;9244.389
NPC;+QTY;159;24;25812.5;Mass Market;Dorando Corridor;2h 36m 11s ;9371.667
NPC;+QTY;29;18;17043.75;Cosmic Jay's;Canndelis;2h 36m 11s ;9371.667
NPC;-QTY;0;-5;14562.5;Transporteers Hub;Ambervellis Drea;4h 11m 42s ;15102.06
NPC;+STOCK;86;21;18113.04;Lammassu Financial;Void Starcross;4h 12m 27s ;15147.92
NPC;+STOCK;123;17;21279.3;StarGypsy Warehouse;Void Starcross;4h 12m 27s ;15147.92
NPC;+STOCK;140;18;14406.21;Starbase Corporate Center;Void Starcross;4h 12m 27s ;15147.92
NPC;+STOCK;62;18;21317.74;Proctors Center;Void Starcross;4h 12m 27s ;15147.92
NPC;BAL;107;-15;17039.47;Starbase Corporate Center;Void Starcross;4h 40m 21s ;16821.04
NPC;+QTY;108;22;18062.5;Lammassu Financial;Void Starcross;4h 47m 5s ;17225.82
NPC;+QTY;25;20;17812.5;Biomart;Veloxi;4h 47m 5s ;17225.82
NPC;+QTY;41;16;17812.5;Biomart;Veloxi;4h 47m 5s ;17225.82
NPC;+QTY;113;19;20527.81;Temple of the Void;Valley of Truths;4h 47m 5s ;17225.82
NPC;+QTY;20;18;21843.75;Blissheads;Estura Cove;4h 50m 45s ;17445.84
NPC;+PRICE;8;0;27836.54;Quantex;Dellis Primeria;6h 12m 48s ;22368.54
NPC;+STOCK;93;19;20899.23;Lacuna Bandits;Ballast Crow;6h 31m 26s ;23486.09
NPC;+QTY;126;18;18062.5;Lammassu Financial;Void Starcross;6h 44m 29s ;24269.91
NPC;+QTY;144;21;21305.78;StarGypsy Warehouse;Void Starcross;10h 9m 19s ;36559.19
NPC;+PRICE;64;0;28379.72;Vo Industries;Brimstone;11h 29m 25s ;41365.69
NPC;+STOCK;149;23;17788.8;Lammassu Financial;Void Starcross;12h 16m 20s ;44180.46
NPC;+STOCK;164;20;20153.07;StarGypsy Warehouse;Void Starcross;12h 16m 20s ;44180.46
NPC;+STOCK;124;17;16081.23;Starbase Corporate Center;Void Starcross;12h 16m 20s ;44180.46
NPC;+STOCK;84;22;20190.59;Proctors Center;Void Starcross;12h 16m 20s ;44180.46
NPC;+QTY;21;21;14546.88;Transporteers Hub;Ambervellis Drea;12h 51m 8s ;46268.94
NPC;+STOCK;180;16;19053.51;StarGypsy Warehouse;Void Starcross;14h 1m 15s ;50475.31
NPC;+STOCK;130;23;16122.73;Starbase Corporate Center;Void Starcross;14h 1m 15s ;50475.31
NPC;+PRICE;37;0;20082.63;PharmaLife;Carioullis;14h 10m 55s ;51055.01
NPC;+PRICE;149;0;18477.39;Lammassu Financial;Void Starcross;16h 46m 45s ;60405.14
