NPC;+QTY;4095;3292;8976.095;KIN AI;Xenilo Valley;0h 50m 9s ;3009.769
NPC;+STOCK;4091;4082;8972.707;Biomate University;Void Starcross;2h 26m 24s ;8784.133
NPC;+STOCK;5324;4656;5961.75;StarShepards Headquarters;Void Starcross;2h 26m 24s ;8784.133
NPC;+STOCK;4079;3756;8669.895;Proctors Center;Void Starcross;2h 26m 24s ;8784.133
NPC;+PRICE;458;0;12401.63;Medicore University;Cliffs of Drameria;2h 29m 20s ;8960.865
NPC;+QTY;4178;3985;11261.25;Mass Market;Dorando Corridor;2h 36m 11s ;9371.667
NPC;+STOCK;3719;3710;8859.962;Biomate University;Void Starcross;4h 12m 27s ;15147.92
NPC;+STOCK;9631;4307;5844.244;StarShepards Headquarters;Void Starcross;4h 12m 27s ;15147.92
NPC;+STOCK;3973;3973;16392.07;Starbase Corporate Center;Void Starcross;4h 12m 27s ;15147.92
NPC;+STOCK;7437;3358;8440.407;Proctors Center;Void Starcross;4h 12m 27s ;15147.92
NPC;-LOCAL;78;78;13162.5;Starbase Corporate Center;Void Starcross;4h 12m 42s ;15162.17
NPC;-QTY;0;-78;13802.34;Starbase Corporate Center;Void Starcross;4h 19m 24s ;15564.41
NPC;BAL;4519;4519;12854.01;Starbase Corporate Center;Void Starcross;4h 40m 21s ;16821.04
NPC;-PRICE;702;0;6633.087;Cecil;Junia;4h 51m 22s ;17482.65
NPC;-LOCAL;3861;0;13162.5;Starbase Corporate Center;Void Starcross;5h 56m 1s ;21361.8
NPC;-LOCAL;2473;0;13162.5;Starbase Corporate Center;Void Starcross;6h 54m 38s ;24878.25
NPC;-QTY;0;-511;10303.46;Temple of the Void;Vindicati;9h 48m 4s ;35284.71
NPC;-LOCAL;6;6;13162.5;Starbase Corporate Center;Void Starcross;10h 13m 58s ;36838.04
NPC;+PRICE;3719;0;9016.969;Biomate University;Void Starcross;11h 3m 47s ;39827.63
NPC;-LOCAL;20;20;13285.75;Starbase Corporate Center;Void Starcross;11h 57m 51s ;43071.76
NPC;+STOCK;8452;4733;8695.357;Biomate University;Void Starcross;12h 16m 20s ;44180.46
NPC;+STOCK;13353;3722;5317.523;StarShepards Headquarters;Void Starcross;12h 16m 20s ;44180.46
NPC;+STOCK;4287;4267;13263.08;Starbase Corporate Center;Void Starcross;12h 16m 20s ;44180.46
NPC;+STOCK;11436;3999;8115.867;Proctors Center;Void Starcross;12h 16m 20s ;44180.46
NPC;-LOCAL;8;0;13210.98;Starbase Corporate Center;Void Starcross;12h 16m 28s ;44188.51
NPC;-PRICE;11436;0;7690.71;Proctors Center;Void Starcross;12h 34m 48s ;45288.88
NPC;+QTY;16220;2867;5275.384;StarShepards Headquarters;Void Starcross;12h 51m 8s ;46268.94
NPC;+STOCK;12076;3624;8492.959;Biomate University;Void Starcross;14h 1m 15s ;50475.31
NPC;+STOCK;20130;3910;4903.968;StarShepards Headquarters;Void Starcross;14h 1m 15s ;50475.31
NPC;+STOCK;15072;3636;7531.891;Proctors Center;Void Starcross;14h 1m 15s ;50475.31
NPC;-LOCAL;26;26;13277.33;Starbase Corporate Center;Void Starcross;14h 13m 23s ;51203.44
NPC;+PRICE;702;0;7194.703;Cecil;Junia;15h 48m 23s ;56903.07
NPC;+PRICE;117;0;9508.433;Legistron;Dogstar Prime;15h 48m 23s ;56903.07
NPC;-QTY;15237;-4893;4868.224;StarShepards Headquarters;Void Starcross;15h 52m 52s ;57172.89
NPC;BAL;3677;-4775;8768.151;Biomate University;Void Starcross;20h 19m 44s ;73184.99
NPC;+STOCK;19765;4528;4573.124;StarShepards Headquarters;Void Starcross;23h 4m 29s ;83069.7
NPC;+STOCK;4090;4064;13512.35;Starbase Corporate Center;Void Starcross;23h 4m 29s ;83069.7
NPC;+STOCK;18623;3551;7025.545;Proctors Center;Void Starcross;23h 4m 29s ;83069.7
