NPC;+QTY;52;9;6907.875;Foodmaid;Daelus;0h 50m 9s ;3009.769
NPC;+STOCK;53;9;11611;StarGypsy Warehouse;Void Starcross;2h 26m 24s ;8784.133
NPC;+STOCK;20;10;10950.98;StarShepards Headquarters;Void Starcross;2h 26m 24s ;8784.133
NPC;+STOCK;112;10;6208.095;Starbase Corporate Center;Void Starcross;2h 26m 24s ;8784.133
NPC;+PRICE;51;0;11579.28;Medicore University;Cliffs of Drameria;2h 29m 20s ;8960.865
NPC;+PRICE;3;0;12400.97;Psybermind;Ion Child;2h 29m 20s ;8960.865
NPC;+QTY;10;8;8215.875;Gunstellar;Adrenal;2h 29m 20s ;8960.865
NPC;+STOCK;63;10;11286.44;StarGypsy Warehouse;Void Starcross;4h 12m 27s ;15147.92
NPC;+STOCK;29;9;10482.27;StarShepards Headquarters;Void Starcross;4h 12m 27s ;15147.92
NPC;+LOCAL;12;23;3542.5;Starbase Corporate Center;Void Starcross;4h 12m 42s ;15162.17
NPC;-QTY;4;-8;1566.875;Starbase Corporate Center;Void Starcross;4h 19m 24s ;15564.41
NPC;BAL;4;0;1797.465;Starbase Corporate Center;Void Starcross;4h 40m 21s ;16821.04
NPC;+PRICE;10;0;8670.636;Gunstellar;Adrenal;5h 41m 50s ;20510.81
NPC;+LOCAL;12;19;3542.5;Starbase Corporate Center;Void Starcross;5h 56m 1s ;21361.8
NPC;+LOCAL;12;36;3542.5;Starbase Corporate Center;Void Starcross;10h 13m 58s ;36838.04
NPC;+PRICE;10;0;8886.426;Gunstellar;Adrenal;11h 29m 25s ;41365.69
NPC;+LOCAL;12;17;3542.5;Starbase Corporate Center;Void Starcross;11h 57m 51s ;43071.76
NPC;+STOCK;37;8;10202.07;StarShepards Headquarters;Void Starcross;12h 16m 20s ;44180.46
NPC;+STOCK;21;9;1563.741;Starbase Corporate Center;Void Starcross;12h 16m 20s ;44180.46
NPC;+STOCK;73;10;11002.75;StarGypsy Warehouse;Void Starcross;14h 1m 15s ;50475.31
NPC;+STOCK;45;8;10059.41;StarShepards Headquarters;Void Starcross;14h 1m 15s ;50475.31
NPC;+STOCK;23;11;1559.654;Starbase Corporate Center;Void Starcross;14h 1m 15s ;50475.31
NPC;+PRICE;10;0;9096.25;Gunstellar;Adrenal;14h 10m 55s ;51055.01
NPC;+LOCAL;12;19;3542.5;Starbase Corporate Center;Void Starcross;14h 13m 23s ;51203.44
NPC;+PRICE;73;0;11560.01;StarGypsy Warehouse;Void Starcross;15h 48m 23s ;56903.07
NPC;-QTY;36;-9;10094.35;StarShepards Headquarters;Void Starcross;15h 52m 52s ;57172.89
NPC;-QTY;66;-7;11569.4;StarGypsy Warehouse;Void Starcross;19h 7m 15s ;68835.37
NPC;-PRICE;2;0;8489.508;RestJag Outlet;Daefore;19h 7m 15s ;68835.37
NPC;+STOCK;74;8;11193.96;StarGypsy Warehouse;Void Starcross;23h 4m 29s ;83069.7
NPC;+STOCK;20;8;1562.345;Starbase Corporate Center;Void Starcross;23h 4m 29s ;83069.7
NPC;-PRICE;51;0;11300.19;Medicore University;Cliffs of Drameria;23h 28m 40s ;84520.21
