NPC;-PRICE;52;0;256040.2;Kinetics Manufacturing;Void Spooflarnia;0h 0m 23s ;23.44398
NPC;+LOCAL;12;11;85359.56;Biomate University;Void Starcross;1h 30m 26s ;5426.412
NPC;+LOCAL;12;3;85359.56;Biomate University;Void Starcross;2h 15m 7s ;8107.128
NPC;+STOCK;21;9;36179.32;Biomate University;Void Starcross;2h 26m 24s ;8784.133
NPC;+STOCK;21;8;213093.1;Starbase Corporate Center;Void Starcross;2h 26m 24s ;8784.133
NPC;+LOCAL;12;1;85359.56;Biomate University;Void Starcross;2h 30m 13s ;9013.771
NPC;+LOCAL;12;1;85359.56;Biomate University;Void Starcross;2h 36m 32s ;9392.951
NPC;+LOCAL;12;1;85359.56;Biomate University;Void Starcross;2h 50m 9s ;10209.02
NPC;+LOCAL;12;1;85359.56;Biomate University;Void Starcross;3h 3m 35s ;11015.9
NPC;+LOCAL;12;1;85359.56;Biomate University;Void Starcross;3h 20m 14s ;12014.06
NPC;+LOCAL;12;1;85359.56;Biomate University;Void Starcross;3h 28m 49s ;12529.77
NPC;+STOCK;22;10;31747.19;Biomate University;Void Starcross;4h 12m 27s ;15147.92
NPC;-QTY;15;-6;213727.2;Starbase Corporate Center;Void Starcross;4h 19m 24s ;15564.41
NPC;BAL;4;-11;221579.6;Starbase Corporate Center;Void Starcross;4h 40m 21s ;16821.04
NPC;+QTY;71;10;220913.8;Star Shepard's Temple;Lightless;4h 50m 45s ;17445.84
NPC;-PRICE;19;0;219062;Valuestar Hub;Jelumus;4h 51m 22s ;17482.65
NPC;+LOCAL;12;11;85359.56;Biomate University;Void Starcross;6h 9m 3s ;22143.94
NPC;+LOCAL;12;23;85359.56;Biomate University;Void Starcross;8h 8m 25s ;29305.03
NPC;-QTY;6;-6;31333.52;Biomate University;Void Starcross;9h 48m 4s ;35284.71
NPC;+LOCAL;12;10;85359.56;Biomate University;Void Starcross;9h 55m 27s ;35727.44
NPC;+PRICE;12;0;38328.46;Biomate University;Void Starcross;11h 3m 47s ;39827.63
NPC;+STOCK;22;10;31070.88;Biomate University;Void Starcross;12h 16m 20s ;44180.46
NPC;+STOCK;31;9;31378.67;Biomate University;Void Starcross;14h 1m 15s ;50475.31
NPC;+STOCK;14;10;213880.6;Starbase Corporate Center;Void Starcross;14h 1m 15s ;50475.31
NPC;+LOCAL;12;5;85359.56;Biomate University;Void Starcross;14h 30m 11s ;52211.07
