NPC;-PRICE;26;0;172.1906;Keyworx;Geminey;0h 0m 23s ;23.44398
NPC;-PRICE;17;0;108.5092;Biomate University;Void Starcross;0h 0m 23s ;23.44398
NPC;-PRICE;35;0;121.6727;Kinetics Manufacturing;Void Spooflarnia;0h 0m 23s ;23.44398
NPC;-PRICE;1;0;103.9386;Mass Market;Dorando Corridor;0h 0m 23s ;23.44398
NPC;-LOCAL;18;0;154.125;StarShepards Headquarters;Void Starcross;0h 28m 28s ;1708.679
NPC;+QTY;937;924;70.21249;Xellon;Ele;0h 50m 9s ;3009.769
NPC;+QTY;1036;987;59.42376;KIN AI;Xenilo Valley;0h 50m 9s ;3009.769
NPC;BAL;13;0;94.57977;StarGypsy Warehouse;Void Starcross;1h 53m 54s ;6834.967
NPC;BAL;15;0;70.21536;Astrox Security Patrol;Felishar;1h 53m 54s ;6834.967
NPC;BAL;57;0;127.6037;Astrox Security Patrol;Kilotorish;1h 53m 54s ;6834.967
NPC;+STOCK;834;817;103.947;Biomate University;Void Starcross;2h 26m 24s ;8784.133
NPC;+STOCK;700;687;89.37145;StarGypsy Warehouse;Void Starcross;2h 26m 24s ;8784.133
NPC;+STOCK;981;927;84.6106;Starbase Corporate Center;Void Starcross;2h 26m 24s ;8784.133
NPC;+STOCK;716;699;60.46754;Proctors Center;Void Starcross;2h 26m 24s ;8784.133
NPC;+PRICE;51;0;153.1357;Stinkfinger;Jonisae;2h 29m 20s ;8960.865
NPC;+QTY;837;832;78.4325;CoraVault;Lins;2h 29m 20s ;8960.865
NPC;+QTY;911;910;104.4625;Mass Market;Dorando Corridor;2h 36m 11s ;9371.667
NPC;+QTY;912;878;137.5137;Lacuna Bandits;Ballast Crow;2h 36m 11s ;9371.667
NPC;BAL;16;0;118.559;Crystalis Broadcasting;Jermicus;2h 58m 0s ;10680.39
NPC;+STOCK;950;918;80.82699;Lammassu Financial;Void Starcross;4h 12m 27s ;15147.92
NPC;+STOCK;1674;974;82.76403;StarGypsy Warehouse;Void Starcross;4h 12m 27s ;15147.92
NPC;+STOCK;867;849;159.113;StarShepards Headquarters;Void Starcross;4h 12m 27s ;15147.92
NPC;+STOCK;1822;841;81.62343;Starbase Corporate Center;Void Starcross;4h 12m 27s ;15147.92
NPC;+STOCK;1601;885;59.03717;Proctors Center;Void Starcross;4h 12m 27s ;15147.92
NPC;-QTY;437;-544;84.08376;Starbase Corporate Center;Void Starcross;4h 19m 24s ;15564.41
