NPC;-PRICE;726;0;70.67847;Mass Market;Dorando Corridor;0h 0m 23s ;23.44398
NPC;+QTY;157;76;47.79338;KIN AI;Xenilo Valley;0h 50m 9s ;3009.769
NPC;BAL;204;-141;68.9166;StarGypsy Warehouse;Void Starcross;1h 53m 54s ;6834.967
NPC;+STOCK;605;144;60.00579;Lammassu Financial;Void Starcross;2h 26m 24s ;8784.133
NPC;+STOCK;345;141;64.9996;StarGypsy Warehouse;Void Starcross;2h 26m 24s ;8784.133
NPC;+QTY;270;115;71.32042;Cecil;Junia;2h 29m 20s ;8960.865
NPC;+QTY;177;126;45.29437;Lacuna Bandits;Ballast Crow;2h 36m 11s ;9371.667
NPC;+PRICE;56;0;49.15104;Imperium Bank;Ciando;4h 11m 12s ;15072.39
NPC;+STOCK;723;118;58.82032;Lammassu Financial;Void Starcross;4h 12m 27s ;15147.92
NPC;+PRICE;403;0;78.11653;Holosynth Industries;Rats Of Mortalis;4h 16m 43s ;15403.89
NPC;+PRICE;74;0;64.86753;Nova Labs;Noah Fox;4h 16m 43s ;15403.89
NPC;-PRICE;153;0;33.89832;Oro Omniplex Center;Merces Academy;4h 29m 47s ;16187.74
NPC;BAL;114;0;53.34345;Blargg's;Beacon Spita;4h 40m 21s ;16821.04
NPC;BAL;139;0;45.0164;Terra Drone;Geminey;4h 40m 21s ;16821.04
NPC;+QTY;806;83;58.51825;Lammassu Financial;Void Starcross;4h 47m 5s ;17225.82
NPC;-PRICE;270;0;70.1369;Cecil;Junia;4h 51m 22s ;17482.65
NPC;+QTY;487;84;78.25515;Holosynth Industries;Rats Of Mortalis;4h 54m 45s ;17685.59
NPC;+PRICE;51;0;93.61803;Quantex;Dellis Primeria;6h 12m 48s ;22368.54
NPC;+QTY;125;108;81.94638;Psybermind;Ion Child;6h 44m 29s ;24269.91
NPC;+QTY;917;111;58.51825;Lammassu Financial;Void Starcross;6h 44m 29s ;24269.91
NPC;+QTY;574;98;63.36085;Vo Industries;Brimstone;7h 55m 5s ;28505.1
NPC;+QTY;94;91;80.02084;Ferce;Allabentoris;7h 55m 5s ;28505.1
NPC;+LOCAL;51;11;70.53043;Horizons;Gate of Alpharis;8h 43m 5s ;31385.79
NPC;+STOCK;181;130;51.14072;Horizons;Gate of Alpharis;9h 25m 28s ;33928.45
NPC;+PRICE;328;0;54.41986;Mazu Starship;Enoch Estates;9h 36m 0s ;34560.29
NPC;+PRICE;114;0;56.90838;Blargg's;Beacon Spita;9h 36m 0s ;34560.29
NPC;+QTY;475;130;65.15987;StarGypsy Warehouse;Void Starcross;10h 9m 19s ;36559.19
NPC;+STOCK;180;139;58.27885;Astrox Security Patrol;Felishar;11h 3m 47s ;39827.63
NPC;+PRICE;153;0;35.34022;Oro Omniplex Center;Merces Academy;11h 29m 25s ;41365.69
NPC;+LOCAL;150;135;27.0725;Horizons;Gate of Alpharis;11h 29m 37s ;41377.72
NPC;+STOCK;1022;105;56.31267;Lammassu Financial;Void Starcross;12h 16m 20s ;44180.46
NPC;+STOCK;616;141;63.62506;StarGypsy Warehouse;Void Starcross;12h 16m 20s ;44180.46
NPC;+QTY;151;100;93.58443;Quantex;Dellis Primeria;12h 33m 5s ;45185.51
NPC;+STOCK;1169;147;54.13772;Lammassu Financial;Void Starcross;14h 1m 15s ;50475.31
NPC;+STOCK;725;109;61.97179;StarGypsy Warehouse;Void Starcross;14h 1m 15s ;50475.31
NPC;+PRICE;125;0;83.30643;Psybermind;Ion Child;14h 10m 55s ;51055.01
NPC;+PRICE;92;0;53.74767;Legistron;Dogstar Prime;15h 48m 23s ;56903.07
NPC;+PRICE;725;0;63.39809;StarGypsy Warehouse;Void Starcross;15h 48m 23s ;56903.07
NPC;+PRICE;1169;0;56.60305;Lammassu Financial;Void Starcross;16h 46m 45s ;60405.14
NPC;+LOCAL;150;74;27.0725;Horizons;Gate of Alpharis;17h 3m 43s ;61423.68
NPC;BAL;102;102;123.5513;Rendo Labs;Entropy;18h 20m 20s ;66020.74
