NPC;-PRICE;950;0;395.4981;Biomate University;Void Starcross;0h 0m 23s ;23.44398
NPC;+LOCAL;150;1;900.9232;StarGypsy Warehouse;Void Starcross;0h 25m 47s ;1547.129
NPC;BAL;150;0;750.0602;StarGypsy Warehouse;Void Starcross;1h 53m 54s ;6834.967
NPC;+STOCK;298;148;702.334;StarGypsy Warehouse;Void Starcross;2h 26m 24s ;8784.133
NPC;+STOCK;459;110;1043.629;StarShepards Headquarters;Void Starcross;2h 26m 24s ;8784.133
NPC;+STOCK;784;127;674.8835;Starbase Corporate Center;Void Starcross;2h 26m 24s ;8784.133
NPC;+STOCK;588;148;541.2198;Proctors Center;Void Starcross;2h 26m 24s ;8784.133
NPC;+STOCK;400;102;673.5015;StarGypsy Warehouse;Void Starcross;4h 12m 27s ;15147.92
NPC;+STOCK;600;141;1025.942;StarShepards Headquarters;Void Starcross;4h 12m 27s ;15147.92
NPC;+STOCK;927;143;639.6619;Starbase Corporate Center;Void Starcross;4h 12m 27s ;15147.92
NPC;-QTY;672;-112;679.32;Starbase Corporate Center;Void Starcross;4h 19m 24s ;15564.41
NPC;BAL;567;-105;755.5206;Starbase Corporate Center;Void Starcross;4h 40m 21s ;16821.04
NPC;+LOCAL;150;164;318.24;StarGypsy Warehouse;Void Starcross;5h 21m 41s ;19301.13
NPC;+LOCAL;150;24;318.24;StarGypsy Warehouse;Void Starcross;5h 41m 57s ;20517.09
NPC;+LOCAL;150;31;318.24;StarGypsy Warehouse;Void Starcross;6h 2m 0s ;21720.92
NPC;+LOCAL;150;36;318.24;StarGypsy Warehouse;Void Starcross;8h 4m 7s ;29047.16
