NPC;-PRICE;6;0;1691.341;Holosynth Industries;Rats Of Mortalis;0h 56m 50s ;3410.242
NPC;+LOCAL;12;10;1045.525;Biomate University;Void Starcross;1h 30m 26s ;5426.412
NPC;+LOCAL;12;1;1045.525;Biomate University;Void Starcross;1h 57m 4s ;7024.489
NPC;+LOCAL;12;2;1045.525;Biomate University;Void Starcross;2h 15m 7s ;8107.128
NPC;+STOCK;21;9;443.1417;Biomate University;Void Starcross;2h 26m 24s ;8784.133
NPC;+STOCK;42;8;3167.113;StarShepards Headquarters;Void Starcross;2h 26m 24s ;8784.133
NPC;+LOCAL;12;1;1045.525;Biomate University;Void Starcross;2h 30m 13s ;9013.771
NPC;+QTY;32;8;3192.873;Mass Market;Dorando Corridor;2h 36m 11s ;9371.667
NPC;+LOCAL;12;1;1045.525;Biomate University;Void Starcross;2h 36m 32s ;9392.951
NPC;+LOCAL;12;2;1045.525;Biomate University;Void Starcross;3h 3m 35s ;11015.9
NPC;+LOCAL;12;1;1045.525;Biomate University;Void Starcross;3h 20m 14s ;12014.06
NPC;+LOCAL;12;1;1045.525;Biomate University;Void Starcross;3h 28m 49s ;12529.77
