NPC;-PRICE;141;0;21.20582;Keyworx;Geminey;0h 0m 23s ;23.44398
NPC;-PRICE;164;0;18.46064;Biomate University;Void Starcross;0h 0m 23s ;23.44398
NPC;-PRICE;156;0;26.41335;Mass Market;Dorando Corridor;0h 0m 23s ;23.44398
NPC;+QTY;1995;1933;20.1685;Xellon;Ele;0h 50m 9s ;3009.769
NPC;-PRICE;32;0;35.72935;Mazu Starship;Enoch Estates;0h 56m 50s ;3410.242
NPC;BAL;136;0;41.39361;StarGypsy Warehouse;Void Starcross;1h 53m 54s ;6834.967
NPC;BAL;131;0;28.22;Astrox Security Patrol;Felishar;1h 53m 54s ;6834.967
NPC;BAL;101;0;38.92622;Blargg's;Beacon Spita;1h 53m 54s ;6834.967
NPC;BAL;25;0;34.03135;Blargg's;Beacon Spita;1h 53m 54s ;6834.967
NPC;+STOCK;2425;2261;18.09835;Biomate University;Void Starcross;2h 26m 24s ;8784.133
NPC;+STOCK;1912;1745;38.59394;Lammassu Financial;Void Starcross;2h 26m 24s ;8784.133
NPC;+STOCK;2452;2316;41.09001;StarGypsy Warehouse;Void Starcross;2h 26m 24s ;8784.133
NPC;+STOCK;2319;2110;21.55527;StarShepards Headquarters;Void Starcross;2h 26m 24s ;8784.133
NPC;+STOCK;1779;1676;34.83468;Proctors Center;Void Starcross;2h 26m 24s ;8784.133
NPC;+PRICE;313;0;32.47936;Medicore University;Cliffs of Drameria;2h 29m 20s ;8960.865
NPC;+QTY;1555;1399;26.4385;Mass Market;Dorando Corridor;2h 36m 11s ;9371.667
PLAYER;-QTY;0;164;18.26138;Biomate University;Void Starcross;3h 17m 10s ;11830.42
PLAYER;+QTY;152;152;18.59578;Biomate University;Void Starcross;3h 20m 21s ;12021.55
NPC;+PRICE;164;0;34.02794;Imperium Bank;Ciando;4h 11m 12s ;15072.39
NPC;+STOCK;4130;2218;36.80023;Lammassu Financial;Void Starcross;4h 12m 27s ;15147.92
NPC;+STOCK;4590;2271;19.87323;StarShepards Headquarters;Void Starcross;4h 12m 27s ;15147.92
NPC;+STOCK;3523;1744;33.79025;Proctors Center;Void Starcross;4h 12m 27s ;15147.92
NPC;-PRICE;11;0;39.63978;Oro Omniplex Center;Merces Academy;4h 29m 47s ;16187.74
NPC;-PRICE;16;0;24.54246;Crystalis Broadcasting;Jermicus;4h 29m 47s ;16187.74
NPC;+QTY;6043;1913;36.8885;Lammassu Financial;Void Starcross;4h 47m 5s ;17225.82
NPC;+QTY;2395;2324;37.7245;Biomart;Veloxi;4h 47m 5s ;17225.82
NPC;+QTY;2194;1939;29.7245;Temple of the Void;Valley of Truths;4h 47m 5s ;17225.82
NPC;+QTY;1372;1367;40.2325;CoraVault Hub;Pindoris;4h 50m 45s ;17445.84
NPC;+PRICE;12;0;29.90405;Dustardz;Redsky;4h 52m 11s ;17531.62
NPC;+PRICE;12;0;30.46365;Dustardz;Redsky;5h 41m 50s ;20510.81
NPC;+QTY;1967;1844;41.95675;Foodmaid;Daelus;6h 44m 29s ;24269.91
NPC;+QTY;8217;2174;36.8885;Lammassu Financial;Void Starcross;6h 44m 29s ;24269.91
NPC;-QTY;0;-16;24.64502;Crystalis Broadcasting;Jermicus;7h 28m 42s ;26922.34
NPC;-QTY;0;-152;17.52674;Biomate University;Void Starcross;9h 48m 4s ;35284.71
NPC;+QTY;4212;1760;41.05727;StarGypsy Warehouse;Void Starcross;10h 9m 19s ;36559.19
NPC;+PRICE;0;0;18.89338;Biomate University;Void Starcross;11h 3m 47s ;39827.63
NPC;+STOCK;1745;1745;17.31929;Biomate University;Void Starcross;12h 16m 20s ;44180.46
NPC;+STOCK;10097;1880;36.22266;Lammassu Financial;Void Starcross;12h 16m 20s ;44180.46
NPC;+STOCK;5896;1684;40.40337;StarGypsy Warehouse;Void Starcross;12h 16m 20s ;44180.46
NPC;+STOCK;6305;1715;18.62246;StarShepards Headquarters;Void Starcross;12h 16m 20s ;44180.46
NPC;+STOCK;5530;2007;32.56789;Proctors Center;Void Starcross;12h 16m 20s ;44180.46
NPC;+QTY;2387;2084;40.70536;Astrox Security Patrol;Kilotorish;12h 33m 5s ;45185.51
NPC;-PRICE;5530;0;31.75728;Proctors Center;Void Starcross;12h 34m 48s ;45288.88
NPC;+QTY;8420;2115;18.4291;StarShepards Headquarters;Void Starcross;12h 51m 8s ;46268.94
NPC;+STOCK;7675;1779;39.40369;StarGypsy Warehouse;Void Starcross;14h 1m 15s ;50475.31
NPC;+STOCK;10784;2364;17.12623;StarShepards Headquarters;Void Starcross;14h 1m 15s ;50475.31
NPC;+STOCK;7662;2132;31.45318;Proctors Center;Void Starcross;14h 1m 15s ;50475.31
NPC;BAL;12;0;32.64132;Dustardz;Redsky;14h 12m 27s ;51147.38
NPC;+PRICE;61;0;42.19247;Legistron;Dogstar Prime;15h 48m 23s ;56903.07
NPC;-QTY;8846;-1938;16.97446;StarShepards Headquarters;Void Starcross;15h 52m 52s ;57172.89
NPC;+PRICE;10097;0;37.1748;Lammassu Financial;Void Starcross;16h 46m 45s ;60405.14
NPC;BAL;4;0;32.90873;Rendo Labs;Entropy;18h 20m 20s ;66020.74
NPC;+QTY;1731;1684;38.93304;Blissheads;Estura Cove;18h 20m 21s ;66021.78
NPC;-QTY;5571;-2104;39.35104;StarGypsy Warehouse;Void Starcross;19h 7m 15s ;68835.37
NPC;BAL;1745;0;20.21876;Biomate University;Void Starcross;20h 19m 44s ;73184.99
NPC;+STOCK;4098;2353;18.88996;Biomate University;Void Starcross;23h 4m 29s ;83069.7
NPC;+STOCK;12078;1981;35.54877;Lammassu Financial;Void Starcross;23h 4m 29s ;83069.7
NPC;+STOCK;7636;2065;38.27261;StarGypsy Warehouse;Void Starcross;23h 4m 29s ;83069.7
NPC;+STOCK;11289;2443;15.10771;StarShepards Headquarters;Void Starcross;23h 4m 29s ;83069.7
NPC;+STOCK;10084;2422;29.59543;Proctors Center;Void Starcross;23h 4m 29s ;83069.7
NPC;+PRICE;1555;0;26.97258;Mass Market;Dorando Corridor;23h 4m 30s ;83070.77
NPC;+PRICE;131;0;29.09846;Astrox Security Patrol;Felishar;23h 4m 30s ;83070.77
NPC;BAL;230;0;36.39375;Kinetics Manufacturing;Void Spooflarnia;23h 46m 31s ;85591.75
