NPC;+QTY;167;111;189.297;Foodmaid;Daelus;0h 50m 9s ;3009.769
NPC;+LOCAL;150;181;63.18;Biomate University;Void Starcross;1h 30m 26s ;5426.412
NPC;BAL;293;-83;215.358;Astrox Security Patrol;Felishar;1h 53m 54s ;6834.967
NPC;+LOCAL;150;3;63.18;Biomate University;Void Starcross;1h 57m 4s ;7024.489
NPC;+LOCAL;150;5;63.18;Biomate University;Void Starcross;2h 30m 13s ;9013.771
NPC;+PRICE;293;0;218.0708;Astrox Security Patrol;Felishar;2h 34m 4s ;9244.389
NPC;+QTY;264;135;84.321;Lacuna Bandits;Ballast Crow;2h 36m 11s ;9371.667
NPC;+LOCAL;150;4;63.18;Biomate University;Void Starcross;2h 36m 32s ;9392.951
NPC;+LOCAL;150;6;63.18;Biomate University;Void Starcross;2h 50m 9s ;10209.02
NPC;BAL;63;0;194.863;Kith;Kidd Overture;2h 58m 0s ;10680.39
NPC;+LOCAL;150;11;63.18;Biomate University;Void Starcross;3h 3m 35s ;11015.9
NPC;+LOCAL;150;18;63.18;Biomate University;Void Starcross;3h 15m 34s ;11734.13
NPC;+LOCAL;150;4;63.18;Biomate University;Void Starcross;3h 20m 14s ;12014.06
NPC;+LOCAL;150;4;63.18;Biomate University;Void Starcross;3h 28m 49s ;12529.77
NPC;+LOCAL;150;1;63.18;Biomate University;Void Starcross;3h 41m 18s ;13278.96
NPC;+PRICE;93;0;118.4729;Imperium Bank;Ciando;4h 11m 12s ;15072.39
NPC;+STOCK;275;125;23.4981;Biomate University;Void Starcross;4h 12m 27s ;15147.92
NPC;+QTY;261;99;78.246;Lammassu Financial;Void Starcross;4h 47m 5s ;17225.82
NPC;+QTY;405;135;79.92027;Temple of the Void;Valley of Truths;4h 47m 5s ;17225.82
NPC;+LOCAL;150;217;63.18;Biomate University;Void Starcross;6h 9m 3s ;22143.94
NPC;+QTY;380;119;78.246;Lammassu Financial;Void Starcross;6h 44m 29s ;24269.91
NPC;+LOCAL;150;177;63.18;Biomate University;Void Starcross;8h 8m 25s ;29305.03
NPC;-LOCAL;0;0;265.3071;Horizons;Gate of Alpharis;8h 43m 5s ;31385.79
NPC;+STOCK;113;113;273.2105;Horizons;Gate of Alpharis;9h 25m 28s ;33928.45
NPC;-LOCAL;0;0;290.0081;Horizons;Gate of Alpharis;9h 39m 0s ;34740.27
NPC;-QTY;188;-105;217.1964;Astrox Security Patrol;Felishar;9h 48m 4s ;35284.71
NPC;-QTY;64;-86;23.19192;Biomate University;Void Starcross;9h 48m 4s ;35284.71
NPC;-LOCAL;0;0;290.6957;Horizons;Gate of Alpharis;9h 50m 43s ;35443.09
PLAYER;-QTY;44;20;48.6;Biomate University;Void Starcross;9h 56m 7s ;35767.26
NPC;-LOCAL;176;0;218.7;Astrox Security Patrol;Felishar;10h 35m 10s ;38110.46
NPC;-LOCAL;117;0;218.7;Astrox Security Patrol;Felishar;10h 47m 13s ;38833.52
NPC;+PRICE;44;0;31.53353;Biomate University;Void Starcross;11h 3m 47s ;39827.63
NPC;+STOCK;263;146;220.4085;Astrox Security Patrol;Felishar;11h 3m 47s ;39827.63
NPC;-LOCAL;86;0;218.7;Astrox Security Patrol;Felishar;11h 10m 1s ;40201.27
NPC;-LOCAL;62;0;218.7;Astrox Security Patrol;Felishar;11h 19m 44s ;40784.41
NPC;-LOCAL;0;0;418.0357;Horizons;Gate of Alpharis;11h 29m 37s ;41377.72
PLAYER;+QTY;20;20;472.3165;Horizons;Gate of Alpharis;11h 30m 7s ;41407.98
NPC;+STOCK;180;136;22.99752;Biomate University;Void Starcross;12h 16m 20s ;44180.46
NPC;+STOCK;507;127;72.79816;Lammassu Financial;Void Starcross;12h 16m 20s ;44180.46
NPC;+LOCAL;150;1469;63.18;Daemon Ammunitions;Starfort Ramos;13h 55m 34s ;50134
NPC;+STOCK;650;143;62.7316;Lammassu Financial;Void Starcross;14h 1m 15s ;50475.31
NPC;+LOCAL;150;52;63.18;Biomate University;Void Starcross;14h 30m 11s ;52211.07
NPC;+LOCAL;150;2;63.18;Biomate University;Void Starcross;15h 7m 31s ;54451.33
NPC;+PRICE;20;0;476.0395;Horizons;Gate of Alpharis;15h 8m 41s ;54521.68
NPC;+LOCAL;150;8;63.18;Biomate University;Void Starcross;15h 13m 35s ;54815.94
NPC;-QTY;165;-121;162.0931;Desban;Ellisar;15h 52m 52s ;57172.89
NPC;+LOCAL;150;91;63.18;Biomate University;Void Starcross;16h 3m 55s ;57835.64
NPC;-LOCAL;0;0;486;Horizons;Gate of Alpharis;16h 34m 1s ;59641.66
NPC;+LOCAL;150;56;63.18;Biomate University;Void Starcross;16h 40m 10s ;60010.47
NPC;-LOCAL;0;0;486;Horizons;Gate of Alpharis;17h 3m 43s ;61423.68
NPC;+LOCAL;150;129;63.18;Biomate University;Void Starcross;18h 28m 19s ;66499.89
