NPC;-PRICE;7;0;31.94075;Keyworx;Geminey;0h 0m 23s ;23.44398
NPC;-PRICE;44;0;50.9411;Biomate University;Void Starcross;0h 0m 23s ;23.44398
NPC;-PRICE;11;0;21.87121;Kinetics Manufacturing;Void Spooflarnia;0h 0m 23s ;23.44398
NPC;-PRICE;46;0;34.09844;Mass Market;Dorando Corridor;0h 0m 23s ;23.44398
NPC;+QTY;948;878;37.63462;KIN AI;Xenilo Valley;0h 50m 9s ;3009.769
NPC;BAL;689;689;72.31078;StarGypsy Warehouse;Void Starcross;1h 53m 54s ;6834.967
NPC;+STOCK;987;943;51.69978;Biomate University;Void Starcross;2h 26m 24s ;8784.133
NPC;+STOCK;749;721;52.28653;Lammassu Financial;Void Starcross;2h 26m 24s ;8784.133
NPC;+STOCK;928;889;32.64091;StarShepards Headquarters;Void Starcross;2h 26m 24s ;8784.133
NPC;+STOCK;912;864;36.9042;Starbase Corporate Center;Void Starcross;2h 26m 24s ;8784.133
NPC;+PRICE;49;0;34.87615;Medicore University;Cliffs of Drameria;2h 29m 20s ;8960.865
NPC;+PRICE;4;0;41.95568;Astrox Security Patrol;Felishar;2h 34m 4s ;9244.389
NPC;+QTY;714;668;34.16175;Mass Market;Dorando Corridor;2h 36m 11s ;9371.667
NPC;BAL;45;0;51.05288;Kith;Kidd Overture;2h 58m 0s ;10680.39
NPC;+PRICE;7;0;37.39208;Imperium Bank;Ciando;4h 11m 12s ;15072.39
NPC;+STOCK;728;684;49.36407;Biomate University;Void Starcross;4h 12m 27s ;15147.92
NPC;+STOCK;1630;881;51.12202;Lammassu Financial;Void Starcross;4h 12m 27s ;15147.92
NPC;+STOCK;1532;843;69.35176;StarGypsy Warehouse;Void Starcross;4h 12m 27s ;15147.92
NPC;+STOCK;1918;990;31.18665;StarShepards Headquarters;Void Starcross;4h 12m 27s ;15147.92
NPC;+STOCK;1736;824;34.42937;Starbase Corporate Center;Void Starcross;4h 12m 27s ;15147.92
NPC;+STOCK;1044;978;62.50611;Proctors Center;Void Starcross;4h 12m 27s ;15147.92
NPC;-QTY;114;-798;37.06763;Starbase Corporate Center;Void Starcross;4h 19m 24s ;15564.41
NPC;-QTY;0;-64;25.56568;Cecil;Junia;4h 19m 24s ;15564.41
NPC;-PRICE;20;0;22.97581;Oro Omniplex Center;Merces Academy;4h 29m 47s ;16187.74
NPC;BAL;114;0;41.23747;Starbase Corporate Center;Void Starcross;4h 40m 21s ;16821.04
NPC;+QTY;2293;663;51.17175;Lammassu Financial;Void Starcross;4h 47m 5s ;17225.82
NPC;+QTY;626;599;53.92808;Star Shepard's Temple;Lightless;4h 50m 45s ;17445.84
NPC;-PRICE;11;0;19.71591;Kinetics Manufacturing;Void Spooflarnia;4h 51m 22s ;17482.65
NPC;-LOCAL;1215;0;63.7875;StarGypsy Warehouse;Void Starcross;5h 21m 41s ;19301.13
NPC;+PRICE;21;0;61.71524;Gunstellar;Adrenal;5h 41m 50s ;20510.81
NPC;-LOCAL;837;0;63.7875;StarGypsy Warehouse;Void Starcross;5h 41m 57s ;20517.09
NPC;-LOCAL;778;0;63.7875;StarGypsy Warehouse;Void Starcross;6h 2m 0s ;21720.92
NPC;+QTY;617;604;72.55828;Foodmaid;Daelus;6h 44m 29s ;24269.91
NPC;+QTY;3010;717;51.17175;Lammassu Financial;Void Starcross;6h 44m 29s ;24269.91
NPC;-LOCAL;19;19;63.7875;StarGypsy Warehouse;Void Starcross;7h 37m 56s ;27476.67
NPC;+QTY;811;810;25.55097;Ferce;Allabentoris;7h 55m 5s ;28505.1
NPC;+QTY;1546;735;25.55097;Ferce;Allabentoris;7h 55m 5s ;28505.1
NPC;+QTY;2242;696;25.55097;Ferce;Allabentoris;7h 55m 5s ;28505.1
NPC;-LOCAL;0;0;111.2887;StarGypsy Warehouse;Void Starcross;8h 4m 7s ;29047.16
NPC;+PRICE;5;0;26.60594;Gek Mining;Alias Outpost;9h 36m 0s ;34560.29
NPC;+PRICE;9;0;56.12815;Blargg's;Beacon Spita;9h 36m 0s ;34560.29
NPC;-LOCAL;0;0;141.75;StarGypsy Warehouse;Void Starcross;9h 36m 17s ;34577.13
NPC;-QTY;113;-615;49.28931;Biomate University;Void Starcross;9h 48m 4s ;35284.71
