NPC;-PRICE;46;0;5745.464;Mass Market;Dorando Corridor;0h 0m 23s ;23.44398
NPC;+QTY;87;13;5002.5;Foodmaid;Daelus;0h 50m 9s ;3009.769
NPC;-PRICE;68;0;5195.138;Nova Labs;Noah Fox;0h 56m 50s ;3410.242
NPC;BAL;135;-10;3223.196;Astrox Security Patrol;Kilotorish;1h 53m 54s ;6834.967
NPC;+STOCK;101;10;3251.611;Proctors Center;Void Starcross;2h 26m 24s ;8784.133
NPC;+QTY;33;9;3442.5;Gunstellar;Adrenal;2h 29m 20s ;8960.865
NPC;+PRICE;35;0;3856.981;Spacebook;Phistatisia;2h 34m 4s ;9244.389
NPC;+STOCK;66;13;3440.263;Biomate University;Void Starcross;4h 12m 27s ;15147.92
NPC;+STOCK;122;12;6472.989;StarShepards Headquarters;Void Starcross;4h 12m 27s ;15147.92
NPC;+STOCK;89;14;5270.968;Starbase Corporate Center;Void Starcross;4h 12m 27s ;15147.92
NPC;+STOCK;115;14;3055.95;Proctors Center;Void Starcross;4h 12m 27s ;15147.92
NPC;+PRICE;68;0;5237.453;Nova Labs;Noah Fox;4h 16m 43s ;15403.89
NPC;BAL;67;-8;5463.585;Starbase Corporate Center;Void Starcross;4h 40m 21s ;16821.04
NPC;BAL;11;-13;5098.866;Blargg's;Beacon Spita;4h 40m 21s ;16821.04
NPC;+PRICE;11;0;5296.263;Blargg's;Beacon Spita;9h 36m 0s ;34560.29
NPC;-QTY;56;-10;3415.8;Biomate University;Void Starcross;9h 48m 4s ;35284.71
NPC;+PRICE;14;0;6856.698;Void Raiders;Corbis Almuni;11h 3m 47s ;39827.63
NPC;+PRICE;56;0;3556.462;Biomate University;Void Starcross;11h 3m 47s ;39827.63
NPC;+STOCK;66;10;3450.38;Biomate University;Void Starcross;12h 16m 20s ;44180.46
NPC;+STOCK;135;13;6378.144;StarShepards Headquarters;Void Starcross;12h 16m 20s ;44180.46
NPC;+STOCK;80;13;5193.991;Starbase Corporate Center;Void Starcross;12h 16m 20s ;44180.46
NPC;+STOCK;129;14;2827.373;Proctors Center;Void Starcross;12h 16m 20s ;44180.46
NPC;+QTY;147;12;3202.875;Astrox Security Patrol;Kilotorish;12h 33m 5s ;45185.51
NPC;+QTY;147;12;6365.325;StarShepards Headquarters;Void Starcross;12h 51m 8s ;46268.94
NPC;+STOCK;156;14;6640.915;Temple of the Void;Vindicati;12h 57m 36s ;46656.88
NPC;+STOCK;161;14;6056.613;StarShepards Headquarters;Void Starcross;14h 1m 15s ;50475.31
NPC;+STOCK;143;14;2679.855;Proctors Center;Void Starcross;14h 1m 15s ;50475.31
NPC;+PRICE;33;0;3659.756;Gunstellar;Adrenal;14h 10m 55s ;51055.01
