NPC;-PRICE;7;0;78.21371;Keyworx;Geminey;0h 0m 23s ;23.44398
NPC;-PRICE;36;0;72.43407;Biomate University;Void Starcross;0h 0m 23s ;23.44398
NPC;BAL;62;0;113.8774;StarGypsy Warehouse;Void Starcross;1h 53m 54s ;6834.967
NPC;BAL;18;0;121.9733;Astrox Security Patrol;Felishar;1h 53m 54s ;6834.967
NPC;+STOCK;770;734;71.49641;Biomate University;Void Starcross;2h 26m 24s ;8784.133
NPC;+STOCK;696;686;49.04108;Lammassu Financial;Void Starcross;2h 26m 24s ;8784.133
NPC;+STOCK;777;715;108.481;StarGypsy Warehouse;Void Starcross;2h 26m 24s ;8784.133
NPC;+PRICE;4;0;69.7394;Acrondia Corp.;Crown of Imperium;2h 29m 20s ;8960.865
NPC;+QTY;819;810;60.24788;Gunstellar;Adrenal;2h 29m 20s ;8960.865
NPC;+PRICE;18;0;124.463;Astrox Security Patrol;Felishar;2h 34m 4s ;9244.389
NPC;+QTY;581;565;93.41025;Mass Market;Dorando Corridor;2h 36m 11s ;9371.667
NPC;+QTY;870;857;143.3101;Cosmic Jay's;Canndelis;2h 36m 11s ;9371.667
NPC;+PRICE;17;0;99.5042;Imperium Bank;Ciando;4h 11m 12s ;15072.39
NPC;-QTY;0;-14;89.41687;Void Raiders;Corbis Almuni;4h 11m 42s ;15102.06
NPC;-QTY;0;-4;86.46525;Transporteers Hub;Ambervellis Drea;4h 11m 42s ;15102.06
NPC;+STOCK;749;713;69.18994;Biomate University;Void Starcross;4h 12m 27s ;15147.92
NPC;+STOCK;1660;964;43.99591;Lammassu Financial;Void Starcross;4h 12m 27s ;15147.92
NPC;+STOCK;1584;807;105.7485;StarGypsy Warehouse;Void Starcross;4h 12m 27s ;15147.92
NPC;+STOCK;790;782;81.45061;StarShepards Headquarters;Void Starcross;4h 12m 27s ;15147.92
NPC;+STOCK;927;860;129.5159;Starbase Corporate Center;Void Starcross;4h 12m 27s ;15147.92
NPC;+STOCK;755;668;82.77206;Proctors Center;Void Starcross;4h 12m 27s ;15147.92
