NPC;-PRICE;14;0;7744.078;Keyworx;Geminey;0h 0m 23s ;23.44398
NPC;-PRICE;67;0;3794.054;Biomate University;Void Starcross;0h 0m 23s ;23.44398
NPC;+LOCAL;12;8;2367.495;Biomate University;Void Starcross;1h 30m 26s ;5426.412
NPC;+LOCAL;12;1;2367.495;Biomate University;Void Starcross;1h 57m 4s ;7024.489
NPC;+LOCAL;12;3;2367.495;Biomate University;Void Starcross;2h 15m 7s ;8107.128
NPC;+STOCK;21;9;1003.454;Biomate University;Void Starcross;2h 26m 24s ;8784.133
NPC;+LOCAL;12;1;2367.495;Biomate University;Void Starcross;2h 30m 13s ;9013.771
NPC;+LOCAL;12;1;2367.495;Biomate University;Void Starcross;2h 36m 32s ;9392.951
NPC;+LOCAL;12;1;2367.495;Biomate University;Void Starcross;2h 50m 9s ;10209.02
NPC;+LOCAL;12;1;2367.495;Biomate University;Void Starcross;3h 41m 18s ;13278.96
NPC;+STOCK;20;8;880.526;Biomate University;Void Starcross;4h 12m 27s ;15147.92
NPC;+QTY;39;8;3572.641;Imperium Republica ;Gate of Alpharis;4h 50m 45s ;17445.84
NPC;+LOCAL;12;23;2367.495;Biomate University;Void Starcross;8h 8m 25s ;29305.03
NPC;+STOCK;49;10;3471.563;Imperium Republica ;Gate of Alpharis;9h 25m 28s ;33928.45
NPC;-QTY;1;-11;869.0528;Biomate University;Void Starcross;9h 48m 4s ;35284.71
NPC;+LOCAL;12;16;2367.495;Biomate University;Void Starcross;9h 55m 27s ;35727.44
NPC;+PRICE;12;0;1209.83;Biomate University;Void Starcross;11h 3m 47s ;39827.63
NPC;+STOCK;20;8;934.2733;Biomate University;Void Starcross;12h 16m 20s ;44180.46
NPC;+STOCK;31;11;870.3048;Biomate University;Void Starcross;14h 1m 15s ;50475.31
NPC;+LOCAL;12;42;2367.495;Biomate University;Void Starcross;14h 3m 2s ;50582.58
NPC;+LOCAL;12;4;2367.495;Biomate University;Void Starcross;14h 30m 11s ;52211.07
NPC;+LOCAL;12;1;2367.495;Biomate University;Void Starcross;15h 7m 31s ;54451.33
NPC;+LOCAL;12;1;2367.495;Biomate University;Void Starcross;15h 13m 35s ;54815.94
NPC;+LOCAL;12;5;2367.495;Biomate University;Void Starcross;16h 40m 10s ;60010.47
NPC;+LOCAL;12;2;2367.495;Biomate University;Void Starcross;16h 54m 46s ;60886.23
NPC;BAL;7;0;5906.923;Rendo Labs;Entropy;18h 20m 20s ;66020.74
