NPC;-PRICE;776;0;6962.312;Mass Market;Dorando Corridor;0h 0m 23s ;23.44398
NPC;-LOCAL;667;0;10085.63;Starbase Corporate Center;Void Starcross;0h 32m 19s ;1939.833
NPC;+QTY;4044;3538;8371.068;Foodmaid;Daelus;0h 50m 9s ;3009.769
NPC;+STOCK;5157;4866;6686.723;Biomate University;Void Starcross;2h 26m 24s ;8784.133
NPC;+STOCK;4030;3777;6430.611;StarShepards Headquarters;Void Starcross;2h 26m 24s ;8784.133
NPC;+STOCK;4589;3922;10301.7;Starbase Corporate Center;Void Starcross;2h 26m 24s ;8784.133
NPC;+STOCK;5182;4859;7267.156;Proctors Center;Void Starcross;2h 26m 24s ;8784.133
NPC;+STOCK;3852;3561;6528.644;Biomate University;Void Starcross;4h 12m 27s ;15147.92
NPC;+STOCK;8141;4111;6324.943;StarShepards Headquarters;Void Starcross;4h 12m 27s ;15147.92
NPC;+STOCK;8440;3851;9914.691;Starbase Corporate Center;Void Starcross;4h 12m 27s ;15147.92
NPC;+STOCK;9878;4696;6872.351;Proctors Center;Void Starcross;4h 12m 27s ;15147.92
NPC;-LOCAL;68;68;10085.63;Starbase Corporate Center;Void Starcross;4h 12m 42s ;15162.17
NPC;BAL;68;0;9960.703;Starbase Corporate Center;Void Starcross;4h 40m 21s ;16821.04
NPC;-PRICE;481;0;5920.455;Valuestar Hub;Jelumus;4h 51m 22s ;17482.65
NPC;+PRICE;20;0;8559.298;Janca Refinery;Canndelis;4h 52m 11s ;17531.62
NPC;-LOCAL;48;48;10085.63;Starbase Corporate Center;Void Starcross;5h 56m 1s ;21361.8
NPC;+QTY;7601;3557;8371.068;Foodmaid;Daelus;6h 44m 29s ;24269.91
NPC;-LOCAL;0;0;22412.5;Starbase Corporate Center;Void Starcross;6h 54m 38s ;24878.25
NPC;+QTY;3218;3131;7625.937;Vo Industries;Brimstone;7h 55m 5s ;28505.1
NPC;-QTY;0;-3852;6538.175;Biomate University;Void Starcross;9h 48m 4s ;35284.71
