NPC;-PRICE;149;0;154.5052;Holosynth Industries;Rats Of Mortalis;0h 56m 50s ;3410.242
NPC;+STOCK;777;130;215.386;Lammassu Financial;Void Starcross;2h 26m 24s ;8784.133
NPC;+STOCK;373;128;215.0278;StarShepards Headquarters;Void Starcross;2h 26m 24s ;8784.133
NPC;+STOCK;214;123;111.7311;Starbase Corporate Center;Void Starcross;2h 26m 24s ;8784.133
NPC;+STOCK;923;146;208.6229;Lammassu Financial;Void Starcross;4h 12m 27s ;15147.92
NPC;+STOCK;501;128;209.7567;StarShepards Headquarters;Void Starcross;4h 12m 27s ;15147.92
NPC;+LOCAL;150;571;69.355;Starbase Corporate Center;Void Starcross;4h 12m 42s ;15162.17
NPC;-QTY;74;-76;30.67625;Starbase Corporate Center;Void Starcross;4h 19m 24s ;15564.41
NPC;+QTY;1037;114;209.6655;Lammassu Financial;Void Starcross;4h 47m 5s ;17225.82
NPC;+QTY;145;126;226.4414;Temple of the Void;Valley of Truths;4h 47m 5s ;17225.82
NPC;+QTY;469;138;211.3594;Imperium Republica ;Gate of Alpharis;4h 50m 45s ;17445.84
NPC;+QTY;501;110;230.7094;Star Shepard's Temple;Lightless;4h 50m 45s ;17445.84
NPC;+LOCAL;150;156;69.355;Starbase Corporate Center;Void Starcross;5h 56m 1s ;21361.8
NPC;+PRICE;49;0;165.2315;Inovex;Goru Populan;6h 12m 48s ;22368.54
NPC;+STOCK;129;100;114.9298;Lacuna Bandits;Ballast Crow;6h 31m 26s ;23486.09
NPC;+QTY;1163;126;209.6655;Lammassu Financial;Void Starcross;6h 44m 29s ;24269.91
NPC;+LOCAL;150;95;69.355;Starbase Corporate Center;Void Starcross;6h 54m 38s ;24878.25
NPC;+LOCAL;52;19;172.9299;Tella's;Bitcola;7h 35m 32s ;27332.98
NPC;+QTY;643;130;172.9894;Vo Industries;Brimstone;7h 55m 5s ;28505.1
NPC;+STOCK;569;100;203.4147;Imperium Republica ;Gate of Alpharis;9h 25m 28s ;33928.45
NPC;+QTY;559;85;195.0076;Gunstellar;Adrenal;10h 9m 19s ;36559.19
NPC;+PRICE;559;0;201.5693;Gunstellar;Adrenal;11h 29m 25s ;41365.69
NPC;+LOCAL;150;267;69.355;Starbase Corporate Center;Void Starcross;11h 57m 51s ;43071.76
NPC;+STOCK;1271;108;203.1466;Lammassu Financial;Void Starcross;12h 16m 20s ;44180.46
NPC;+STOCK;639;138;202.4511;StarShepards Headquarters;Void Starcross;12h 16m 20s ;44180.46
NPC;+LOCAL;150;3;69.355;Starbase Corporate Center;Void Starcross;12h 16m 28s ;44188.51
NPC;+QTY;738;99;202.9194;StarShepards Headquarters;Void Starcross;12h 51m 8s ;46268.94
NPC;+STOCK;1392;121;195.414;Lammassu Financial;Void Starcross;14h 1m 15s ;50475.31
NPC;+STOCK;879;141;196.7734;StarShepards Headquarters;Void Starcross;14h 1m 15s ;50475.31
NPC;+STOCK;268;118;30.53487;Starbase Corporate Center;Void Starcross;14h 1m 15s ;50475.31
NPC;+LOCAL;150;178;69.355;Starbase Corporate Center;Void Starcross;14h 13m 23s ;51203.44
NPC;-QTY;802;-77;197.6271;StarShepards Headquarters;Void Starcross;15h 52m 52s ;57172.89
NPC;+PRICE;1392;0;204.4697;Lammassu Financial;Void Starcross;16h 46m 45s ;60405.14
NPC;+STOCK;1536;144;199.8846;Lammassu Financial;Void Starcross;23h 4m 29s ;83069.7
NPC;+STOCK;930;128;188.8155;StarShepards Headquarters;Void Starcross;23h 4m 29s ;83069.7
NPC;+STOCK;280;130;30.58755;Starbase Corporate Center;Void Starcross;23h 4m 29s ;83069.7
NPC;BAL;294;-79;150.8731;Oak Industries;Dorando Corridor;23h 46m 31s ;85591.75
