NPC;-PRICE;760;0;293.2641;Mass Market;Dorando Corridor;0h 0m 23s ;23.44398
NPC;+LOCAL;150;1;259.4861;Starbase Corporate Center;Void Starcross;0h 32m 19s ;1939.833
NPC;BAL;599;-96;410.6877;StarGypsy Warehouse;Void Starcross;1h 53m 54s ;6834.967
NPC;+STOCK;741;142;404.2622;StarGypsy Warehouse;Void Starcross;2h 26m 24s ;8784.133
NPC;+STOCK;1018;141;198.62;StarShepards Headquarters;Void Starcross;2h 26m 24s ;8784.133
NPC;+STOCK;290;140;155.1254;Starbase Corporate Center;Void Starcross;2h 26m 24s ;8784.133
NPC;+PRICE;383;0;364.7723;Medicore University;Cliffs of Drameria;2h 29m 20s ;8960.865
NPC;+QTY;156;117;342.4655;Gunstellar;Adrenal;2h 29m 20s ;8960.865
NPC;+STOCK;877;136;399.4616;StarGypsy Warehouse;Void Starcross;4h 12m 27s ;15147.92
NPC;+STOCK;1123;105;190.7492;StarShepards Headquarters;Void Starcross;4h 12m 27s ;15147.92
NPC;+STOCK;420;130;145.8266;Starbase Corporate Center;Void Starcross;4h 12m 27s ;15147.92
NPC;+LOCAL;150;611;145.73;Starbase Corporate Center;Void Starcross;4h 12m 42s ;15162.17
NPC;-QTY;48;-102;64.4575;Starbase Corporate Center;Void Starcross;4h 19m 24s ;15564.41
NPC;-QTY;0;-53;403.9608;Cecil;Junia;4h 19m 24s ;15564.41
NPC;BAL;48;0;91.71008;Starbase Corporate Center;Void Starcross;4h 40m 21s ;16821.04
NPC;+LOCAL;136;88;145.73;Starbase Corporate Center;Void Starcross;6h 54m 38s ;24878.25
NPC;-QTY;0;-22;242.4218;Temple of the Void;Vindicati;9h 48m 4s ;35284.71
NPC;+QTY;246;90;342.4935;Gunstellar;Adrenal;10h 9m 19s ;36559.19
NPC;+LOCAL;150;553;145.73;Starbase Corporate Center;Void Starcross;10h 13m 58s ;36838.04
NPC;+PRICE;246;0;364.1893;Gunstellar;Adrenal;11h 29m 25s ;41365.69
NPC;+LOCAL;150;212;145.73;Starbase Corporate Center;Void Starcross;11h 57m 51s ;43071.76
NPC;+STOCK;1249;126;183.2702;StarShepards Headquarters;Void Starcross;12h 16m 20s ;44180.46
NPC;+STOCK;259;109;64.32858;Starbase Corporate Center;Void Starcross;12h 16m 20s ;44180.46
NPC;+LOCAL;150;3;145.73;Starbase Corporate Center;Void Starcross;12h 16m 28s ;44188.51
NPC;+QTY;1346;97;184.2419;StarShepards Headquarters;Void Starcross;12h 51m 8s ;46268.94
NPC;+STOCK;1491;145;174.9004;StarShepards Headquarters;Void Starcross;14h 1m 15s ;50475.31
NPC;+STOCK;272;122;64.16043;Starbase Corporate Center;Void Starcross;14h 1m 15s ;50475.31
NPC;+PRICE;246;0;383.307;Gunstellar;Adrenal;14h 10m 55s ;51055.01
NPC;+LOCAL;150;219;145.73;Starbase Corporate Center;Void Starcross;14h 13m 23s ;51203.44
NPC;+PRICE;877;0;414.0688;StarGypsy Warehouse;Void Starcross;15h 48m 23s ;56903.07
NPC;-QTY;1413;-78;173.1216;StarShepards Headquarters;Void Starcross;15h 52m 52s ;57172.89
NPC;-QTY;0;-41;301.0613;Tella's;Bitcola;19h 7m 15s ;68835.37
NPC;-QTY;784;-93;413.1613;StarGypsy Warehouse;Void Starcross;19h 7m 15s ;68835.37
NPC;+LOCAL;150;2633;145.73;Lacuna Bandits;Ballast Crow;22h 44m 2s ;81842.67
NPC;+STOCK;909;125;393.5024;StarGypsy Warehouse;Void Starcross;23h 4m 29s ;83069.7
NPC;+STOCK;1519;106;152.2796;StarShepards Headquarters;Void Starcross;23h 4m 29s ;83069.7
NPC;+STOCK;284;134;64.27113;Starbase Corporate Center;Void Starcross;23h 4m 29s ;83069.7
