NPC;+QTY;16;8;11386.64;Xellon;Ele;0h 50m 9s ;3009.769
NPC;+STOCK;69;10;9817.991;Lammassu Financial;Void Starcross;2h 26m 24s ;8784.133
NPC;+STOCK;78;9;9578.174;Lammassu Financial;Void Starcross;4h 12m 27s ;15147.92
NPC;+STOCK;79;11;12448.33;StarShepards Headquarters;Void Starcross;4h 12m 27s ;15147.92
NPC;+QTY;88;10;9629.651;Lammassu Financial;Void Starcross;4h 47m 5s ;17225.82
NPC;-PRICE;52;0;14138.51;Cecil;Junia;4h 51m 22s ;17482.65
NPC;+QTY;95;7;9629.651;Lammassu Financial;Void Starcross;6h 44m 29s ;24269.91
NPC;+QTY;32;10;11091.12;Ferce;Allabentoris;7h 55m 5s ;28505.1
NPC;+QTY;40;8;11091.12;Ferce;Allabentoris;7h 55m 5s ;28505.1
NPC;+PRICE;7;0;15741.06;Terra Drone;Geminey;11h 29m 25s ;41365.69
NPC;+STOCK;104;9;9227.909;Lammassu Financial;Void Starcross;14h 1m 15s ;50475.31
NPC;+STOCK;89;10;11802.6;StarShepards Headquarters;Void Starcross;14h 1m 15s ;50475.31
NPC;+PRICE;12;0;14147.74;Cosmic Jay's;Canndelis;15h 48m 23s ;56903.07
NPC;-QTY;83;-6;11840.58;StarShepards Headquarters;Void Starcross;15h 52m 52s ;57172.89
NPC;+PRICE;104;0;9880.541;Lammassu Financial;Void Starcross;16h 46m 45s ;60405.14
NPC;+QTY;10;6;11911.2;Biomart;Veloxi;18h 20m 21s ;66021.78
NPC;+STOCK;113;9;9295.289;Lammassu Financial;Void Starcross;23h 4m 29s ;83069.7
NPC;+STOCK;93;10;11275.33;StarShepards Headquarters;Void Starcross;23h 4m 29s ;83069.7
