NPC;-PRICE;6;0;15815.11;Keyworx;Geminey;0h 0m 23s ;23.44398
NPC;-PRICE;99;0;11774.33;Biomate University;Void Starcross;0h 0m 23s ;23.44398
NPC;BAL;20;0;15306.91;Blargg's;Beacon Spita;1h 53m 54s ;6834.967
NPC;+STOCK;122;23;11640;Biomate University;Void Starcross;2h 26m 24s ;8784.133
NPC;+STOCK;153;22;8959.834;Lammassu Financial;Void Starcross;2h 26m 24s ;8784.133
NPC;+STOCK;25;20;7947.205;StarShepards Headquarters;Void Starcross;2h 26m 24s ;8784.133
NPC;+QTY;24;21;7880;CoraVault;Lins;2h 29m 20s ;8960.865
NPC;+QTY;30;15;18140;Gunstellar;Adrenal;2h 29m 20s ;8960.865
NPC;+QTY;45;12;6600;Mass Market;Dorando Corridor;2h 36m 11s ;9371.667
NPC;+STOCK;120;21;11578.07;Biomate University;Void Starcross;4h 12m 27s ;15147.92
NPC;+STOCK;171;18;8486.847;Lammassu Financial;Void Starcross;4h 12m 27s ;15147.92
NPC;+STOCK;48;23;7437.493;StarShepards Headquarters;Void Starcross;4h 12m 27s ;15147.92
NPC;BAL;20;0;13796.7;Blargg's;Beacon Spita;4h 40m 21s ;16821.04
NPC;+QTY;195;24;8520;Lammassu Financial;Void Starcross;4h 47m 5s ;17225.82
NPC;-PRICE;128;0;10136.59;Cecil;Junia;4h 51m 22s ;17482.65
NPC;+PRICE;30;0;18506.5;Gunstellar;Adrenal;5h 41m 50s ;20510.81
NPC;BAL;20;0;14893.14;Blargg's;Beacon Spita;6h 1m 51s ;21711.47
NPC;+QTY;215;20;8520;Lammassu Financial;Void Starcross;6h 44m 29s ;24269.91
NPC;-QTY;101;-19;11508.8;Biomate University;Void Starcross;9h 48m 4s ;35284.71
NPC;+QTY;64;20;7828.8;PharmaLife;Carioullis;10h 9m 19s ;36559.19
NPC;+PRICE;101;0;12005.54;Biomate University;Void Starcross;11h 3m 47s ;39827.63
NPC;+PRICE;30;0;19148.39;Gunstellar;Adrenal;11h 29m 25s ;41365.69
NPC;+STOCK;123;22;11562.53;Biomate University;Void Starcross;12h 16m 20s ;44180.46
NPC;+STOCK;239;24;8055.925;Lammassu Financial;Void Starcross;12h 16m 20s ;44180.46
NPC;+STOCK;68;20;6916.934;StarShepards Headquarters;Void Starcross;12h 16m 20s ;44180.46
NPC;+QTY;28;14;14775.4;Quantex;Dellis Primeria;12h 33m 5s ;45185.51
NPC;BAL;18;0;12933.25;Quah Relay Station;Noah Fox;13h 31m 19s ;48679.5
NPC;+STOCK;146;23;11232.9;Biomate University;Void Starcross;14h 1m 15s ;50475.31
NPC;+STOCK;263;24;7659.636;Lammassu Financial;Void Starcross;14h 1m 15s ;50475.31
NPC;+STOCK;91;23;6599.712;StarShepards Headquarters;Void Starcross;14h 1m 15s ;50475.31
