NPC;-PRICE;21;0;8764.932;Mass Market;Dorando Corridor;0h 0m 23s ;23.44398
NPC;+LOCAL;12;9;4145.667;Biomate University;Void Starcross;1h 30m 26s ;5426.412
NPC;+LOCAL;12;1;4145.667;Biomate University;Void Starcross;1h 57m 4s ;7024.489
NPC;+LOCAL;12;2;4145.667;Biomate University;Void Starcross;2h 15m 7s ;8107.128
NPC;+STOCK;22;10;1757.125;Biomate University;Void Starcross;2h 26m 24s ;8784.133
NPC;+LOCAL;12;1;4145.667;Biomate University;Void Starcross;2h 30m 13s ;9013.771
NPC;+PRICE;18;0;11148.94;Astrox Security Patrol;Felishar;2h 34m 4s ;9244.389
NPC;+LOCAL;12;1;4145.667;Biomate University;Void Starcross;2h 36m 32s ;9392.951
NPC;+LOCAL;12;2;4145.667;Biomate University;Void Starcross;3h 3m 35s ;11015.9
NPC;+LOCAL;12;2;4145.667;Biomate University;Void Starcross;3h 15m 34s ;11734.13
NPC;+LOCAL;12;1;4145.667;Biomate University;Void Starcross;3h 20m 14s ;12014.06
NPC;+LOCAL;12;1;4145.667;Biomate University;Void Starcross;3h 28m 49s ;12529.77
NPC;+LOCAL;12;1;4145.667;Biomate University;Void Starcross;3h 41m 18s ;13278.96
NPC;+LOCAL;12;10;4145.667;Biomate University;Void Starcross;6h 9m 3s ;22143.94
