NPC;+QTY;196;104;335.3228;Foodmaid;Daelus;0h 50m 9s ;3009.769
NPC;+STOCK;240;135;440.3149;Biomate University;Void Starcross;2h 26m 24s ;8784.133
NPC;+STOCK;187;111;528.9202;StarShepards Headquarters;Void Starcross;2h 26m 24s ;8784.133
NPC;+STOCK;205;116;353.1807;Starbase Corporate Center;Void Starcross;2h 26m 24s ;8784.133
NPC;+STOCK;246;141;441.8531;Biomate University;Void Starcross;4h 12m 27s ;15147.92
NPC;+STOCK;289;102;508.1969;StarShepards Headquarters;Void Starcross;4h 12m 27s ;15147.92
NPC;+STOCK;334;129;338.8955;Starbase Corporate Center;Void Starcross;4h 12m 27s ;15147.92
NPC;+LOCAL;150;644;180.505;Starbase Corporate Center;Void Starcross;4h 12m 42s ;15162.17
NPC;BAL;150;0;110.6999;Starbase Corporate Center;Void Starcross;4h 40m 21s ;16821.04
NPC;+QTY;733;117;489.3699;Temple of the Void;Valley of Truths;4h 47m 5s ;17225.82
NPC;+QTY;654;89;328.3039;Star Shepard's Temple;Lightless;4h 50m 45s ;17445.84
NPC;+QTY;96;94;266.2796;Holosynth Industries;Rats Of Mortalis;4h 54m 45s ;17685.59
NPC;+LOCAL;51;15;391.289;Lacuna Bandits;Ballast Crow;6h 31m 42s ;23502.99
NPC;+LOCAL;150;145;180.505;Starbase Corporate Center;Void Starcross;6h 54m 38s ;24878.25
NPC;-QTY;153;-93;438.3772;Biomate University;Void Starcross;9h 48m 4s ;35284.71
NPC;+LOCAL;150;465;180.505;Starbase Corporate Center;Void Starcross;10h 13m 58s ;36838.04
NPC;+PRICE;153;0;456.4245;Biomate University;Void Starcross;11h 3m 47s ;39827.63
NPC;+LOCAL;150;267;180.505;Starbase Corporate Center;Void Starcross;11h 57m 51s ;43071.76
NPC;+STOCK;258;105;437.3571;Biomate University;Void Starcross;12h 16m 20s ;44180.46
NPC;+STOCK;412;123;487.6563;StarShepards Headquarters;Void Starcross;12h 16m 20s ;44180.46
NPC;+LOCAL;150;2;180.505;Starbase Corporate Center;Void Starcross;12h 16m 28s ;44188.51
NPC;+QTY;511;99;489.2449;StarShepards Headquarters;Void Starcross;12h 51m 8s ;46268.94
NPC;+STOCK;389;131;420.6411;Biomate University;Void Starcross;14h 1m 15s ;50475.31
NPC;+STOCK;614;103;458.9051;StarShepards Headquarters;Void Starcross;14h 1m 15s ;50475.31
NPC;+STOCK;293;143;79.47079;Starbase Corporate Center;Void Starcross;14h 1m 15s ;50475.31
NPC;+LOCAL;150;256;180.505;Starbase Corporate Center;Void Starcross;14h 13m 23s ;51203.44
NPC;+PRICE;146;0;274.9995;Cecil;Junia;15h 48m 23s ;56903.07
NPC;+STOCK;382;124;418.8933;Biomate University;Void Starcross;23h 4m 29s ;83069.7
NPC;+STOCK;753;139;431.1736;StarShepards Headquarters;Void Starcross;23h 4m 29s ;83069.7
NPC;+STOCK;268;118;79.60791;Starbase Corporate Center;Void Starcross;23h 4m 29s ;83069.7
NPC;BAL;138;-87;272.5519;Kinetics Manufacturing;Void Spooflarnia;23h 46m 31s ;85591.75
