NPC;-PRICE;5;0;39811.95;Mass Market;Dorando Corridor;0h 0m 23s ;23.44398
NPC;BAL;22;-7;30009.17;StarGypsy Warehouse;Void Starcross;1h 53m 54s ;6834.967
NPC;+STOCK;31;9;29114.35;StarGypsy Warehouse;Void Starcross;2h 26m 24s ;8784.133
NPC;+STOCK;99;10;19218.47;Starbase Corporate Center;Void Starcross;2h 26m 24s ;8784.133
NPC;+STOCK;30;8;15533.92;Proctors Center;Void Starcross;2h 26m 24s ;8784.133
NPC;+STOCK;110;11;17506.09;Starbase Corporate Center;Void Starcross;4h 12m 27s ;15147.92
NPC;+LOCAL;12;24;12967.5;Starbase Corporate Center;Void Starcross;4h 12m 42s ;15162.17
NPC;-QTY;2;-10;5735.625;Starbase Corporate Center;Void Starcross;4h 19m 24s ;15564.41
NPC;BAL;2;0;9251.541;Starbase Corporate Center;Void Starcross;4h 40m 21s ;16821.04
NPC;-PRICE;44;0;18810.5;Valuestar Hub;Jelumus;4h 51m 22s ;17482.65
NPC;+LOCAL;9;7;12967.5;Starbase Corporate Center;Void Starcross;6h 54m 38s ;24878.25
NPC;+PRICE;44;0;19605.63;Valuestar Hub;Jelumus;9h 36m 0s ;34560.29
NPC;+LOCAL;12;33;12967.5;Starbase Corporate Center;Void Starcross;10h 13m 58s ;36838.04
NPC;+LOCAL;12;18;12967.5;Starbase Corporate Center;Void Starcross;11h 57m 51s ;43071.76
NPC;+STOCK;40;9;28646.35;StarGypsy Warehouse;Void Starcross;12h 16m 20s ;44180.46
NPC;+STOCK;21;9;5724.154;Starbase Corporate Center;Void Starcross;12h 16m 20s ;44180.46
NPC;+STOCK;41;11;13893.71;Proctors Center;Void Starcross;12h 16m 20s ;44180.46
NPC;+STOCK;50;10;27910.21;StarGypsy Warehouse;Void Starcross;14h 1m 15s ;50475.31
NPC;+STOCK;22;10;5709.191;Starbase Corporate Center;Void Starcross;14h 1m 15s ;50475.31
NPC;+STOCK;52;11;12779.66;Proctors Center;Void Starcross;14h 1m 15s ;50475.31
