NPC;BAL;24;-6;6647.662;Astrox Security Patrol;Kilotorish;1h 53m 54s ;6834.967
NPC;+STOCK;72;9;8938.843;StarShepards Headquarters;Void Starcross;2h 26m 24s ;8784.133
NPC;+STOCK;18;10;8362.073;Starbase Corporate Center;Void Starcross;2h 26m 24s ;8784.133
NPC;+PRICE;44;0;4649.513;Medicore University;Cliffs of Drameria;2h 29m 20s ;8960.865
NPC;+STOCK;82;10;8639.108;StarShepards Headquarters;Void Starcross;4h 12m 27s ;15147.92
NPC;+STOCK;28;10;8091.813;Starbase Corporate Center;Void Starcross;4h 12m 27s ;15147.92
NPC;BAL;8;-10;9044.567;Starbase Corporate Center;Void Starcross;4h 40m 21s ;16821.04
NPC;+STOCK;17;9;8584.238;Starbase Corporate Center;Void Starcross;12h 16m 20s ;44180.46
NPC;+STOCK;92;10;8143.232;StarShepards Headquarters;Void Starcross;14h 1m 15s ;50475.31
NPC;+STOCK;18;10;8850.163;Starbase Corporate Center;Void Starcross;14h 1m 15s ;50475.31
NPC;-QTY;18;-9;4649.238;Desban;Ellisar;15h 52m 52s ;57172.89
NPC;BAL;34;-7;4693.766;Oak Industries;Dorando Corridor;18h 20m 20s ;66020.74
