NPC;-QTY;7;-11;56235;Biomart;Veloxi;0h 16m 9s ;969.1705
NPC;-LOCAL;11;0;51750;Proctors Center;Void Starcross;0h 23m 57s ;1437.134
NPC;-LOCAL;0;0;70989.99;Proctors Center;Void Starcross;0h 36m 54s ;2214.955
NPC;-QTY;17;-7;53532.5;Quantex;Dellis Primeria;0h 41m 19s ;2479.238
NPC;+STOCK;109;11;31606.21;Biomate University;Void Starcross;5h 37m 58s ;20278.19
NPC;+STOCK;50;10;34401.35;StarGypsy Warehouse;Void Starcross;5h 37m 58s ;20278.19
NPC;+STOCK;44;11;27630.88;StarShepards Headquarters;Void Starcross;5h 37m 58s ;20278.19
NPC;+STOCK;11;11;87564.92;Proctors Center;Void Starcross;5h 37m 58s ;20278.19
NPC;BAL;11;0;82572.9;Proctors Center;Void Starcross;5h 52m 15s ;21135.14
NPC;+PRICE;109;0;33539.3;Biomate University;Void Starcross;6h 48m 22s ;24502.02
NPC;+PRICE;33;0;31960.39;StarShepards Headquarters;Void Starcross;6h 48m 22s ;24502.02
NPC;-LOCAL;0;0;115000;Proctors Center;Void Starcross;7h 25m 26s ;26726.99
NPC;-PRICE;40;0;33315.3;ValueStar;Hunu;11h 47m 29s ;42449.9
NPC;+STOCK;41;8;29996.95;StarShepards Headquarters;Void Starcross;12h 8m 53s ;43733.04
NPC;+STOCK;119;10;32869.46;Biomate University;Void Starcross;12h 15m 59s ;44159.89
NPC;BAL;5;0;49296.51;Crystalis Broadcasting;Jermicus;14h 7m 32s ;50852.52
NPC;-LOCAL;15;15;51750;Proctors Center;Void Starcross;14h 51m 52s ;53512.24
