NPC;+PRICE;21;0;147.8129;Communications Hub;Ele;1h 15m 16s ;4516.316
NPC;-QTY;0;-10;238.7238;Star Shepards Hub;Temple Gates;2h 51m 54s ;10314.01
NPC;-LOCAL;29;29;213.57;Lammassu Financial;Void Starcross;4h 10m 49s ;15049.17
NPC;-LOCAL;23;0;213.57;Valuestar Hub;Jelumus;4h 18m 0s ;15480.29
NPC;-LOCAL;20;0;213.57;Valuestar Hub;Jelumus;4h 24m 15s ;15855.9
NPC;-LOCAL;18;0;213.57;Valuestar Hub;Jelumus;4h 28m 10s ;16090.3
NPC;+PRICE;79;0;190.799;CoraVault;Lins;4h 31m 45s ;16305.97
NPC;-LOCAL;0;0;222.3899;Valuestar Hub;Jelumus;4h 35m 3s ;16503.93
NPC;-LOCAL;0;0;231.8932;Valuestar Hub;Jelumus;4h 41m 17s ;16877.19
NPC;-LOCAL;0;0;298.6576;Valuestar Hub;Jelumus;5h 18m 34s ;19114.57
NPC;-QTY;0;-79;189.923;CoraVault;Lins;5h 30m 34s ;19834.27
NPC;+STOCK;2217;2188;255.0551;Lammassu Financial;Void Starcross;5h 37m 58s ;20278.19
NPC;+STOCK;2309;2254;184.2726;Proctors Center;Void Starcross;5h 37m 58s ;20278.19
NPC;-LOCAL;0;0;340.9136;Valuestar Hub;Jelumus;5h 45m 4s ;20704.33
NPC;BAL;2309;0;194.6821;Proctors Center;Void Starcross;5h 52m 15s ;21135.14
NPC;+LOCAL;69;6;167.4003;Oak Industries;Dorando Corridor;5h 53m 34s ;21214.17
NPC;-LOCAL;1694;0;213.57;Lammassu Financial;Void Starcross;6h 40m 21s ;24021.76
NPC;+LOCAL;19;6;137.1774;Astrox Security Patrol;Felishar;7h 0m 45s ;25245.71
NPC;+LOCAL;2500;8501;61.698;Quantex;Dellis Primeria;7h 2m 44s ;25364.85
NPC;-LOCAL;50;50;213.57;Mass Market;Dorando Corridor;7h 36m 42s ;27402.44
NPC;-QTY;0;0;422.4978;Valuestar Hub;Jelumus;7h 45m 51s ;27951.11
NPC;-LOCAL;946;0;213.57;Lammassu Financial;Void Starcross;8h 56m 57s ;32217.54
NPC;-PRICE;69;0;155.092;Oak Industries;Dorando Corridor;10h 29m 28s ;37768.82
NPC;+QTY;2234;2234;421.0191;Valuestar Hub;Jelumus;11h 28m 0s ;41280.14
NPC;+LOCAL;92;8;122.2147;Stinkfinger;Jonisae;11h 39m 6s ;41946.55
NPC;+STOCK;2531;2266;196.591;StarGypsy Warehouse;Void Starcross;12h 11m 36s ;43896.82
NPC;-LOCAL;33;33;213.57;Lammassu Financial;Void Starcross;12h 14m 17s ;44057.09
NPC;-LOCAL;28;28;213.57;Lammassu Financial;Void Starcross;14h 26m 53s ;52013.56
