NPC;+QTY;344;233;2.645037;Crystalis Broadcasting;Jermicus;1h 7m 10s ;4030.626
NPC;+STOCK;567;227;2.307582;Starbase Corporate Center;Void Starcross;1h 25m 20s ;5120.805
NPC;+STOCK;496;221;2.360047;Tella's;Bitcola;2h 36m 58s ;9418.72
NPC;-QTY;148;-192;2.368595;Starbase Corporate Center;Void Starcross;2h 51m 54s ;10314.01
NPC;+LOCAL;250;645;0.84175;Daemon Ammunitions;Starfort Ramos;3h 24m 55s ;12295.62
NPC;-QTY;0;-54;1.865933;CoraVault;Lins;5h 30m 34s ;19834.27
NPC;+STOCK;260;209;1.509813;Biomate University;Void Starcross;5h 37m 58s ;20278.19
NPC;+STOCK;364;232;2.219209;Lammassu Financial;Void Starcross;5h 37m 58s ;20278.19
NPC;+STOCK;311;214;1.468821;StarGypsy Warehouse;Void Starcross;5h 37m 58s ;20278.19
NPC;+STOCK;1266;206;2.921015;StarShepards Headquarters;Void Starcross;5h 37m 58s ;20278.19
NPC;+STOCK;897;214;2.757263;Proctors Center;Void Starcross;5h 37m 58s ;20278.19
NPC;BAL;738;-159;2.878601;Proctors Center;Void Starcross;5h 52m 15s ;21135.14
NPC;+PRICE;260;0;1.540988;Biomate University;Void Starcross;6h 48m 22s ;24502.02
NPC;+PRICE;1060;0;3.087116;StarShepards Headquarters;Void Starcross;6h 48m 22s ;24502.02
NPC;+STOCK;1007;216;2.878453;Imperium Republica ;Gate of Alpharis;7h 12m 48s ;25968.03
NPC;+STOCK;357;228;2.48692;Horizons;Gate of Alpharis;7h 12m 48s ;25968.03
NPC;+LOCAL;250;685;0.84175;Daemon Ammunitions;Starfort Ramos;7h 47m 28s ;28048.19
NPC;+LOCAL;250;1671;0.84175;Mazu Starship;Volox;9h 42m 16s ;34936.92
NPC;-PRICE;974;0;1.776696;Oak Industries;Dorando Corridor;10h 29m 28s ;37768.82
NPC;+STOCK;1307;247;3.039114;StarShepards Headquarters;Void Starcross;12h 8m 53s ;43733.04
NPC;+STOCK;495;184;1.421243;StarGypsy Warehouse;Void Starcross;12h 11m 36s ;43896.82
NPC;+STOCK;486;226;1.413278;Biomate University;Void Starcross;12h 15m 59s ;44159.89
