NPC;+QTY;6;2;5729923;Transporteers Hub;Ambervellis Drea;2h 29m 43s ;8983.031
NPC;+PRICE;20;0;5800942;CoraVault;Lins;4h 31m 45s ;16305.97
NPC;+STOCK;166;2;3219761;Biomate University;Void Starcross;5h 37m 58s ;20278.19
NPC;+STOCK;169;2;6359109;Lammassu Financial;Void Starcross;5h 37m 58s ;20278.19
NPC;+STOCK;138;2;7072263;StarGypsy Warehouse;Void Starcross;5h 37m 58s ;20278.19
NPC;+STOCK;211;2;4157314;StarShepards Headquarters;Void Starcross;5h 37m 58s ;20278.19
NPC;+STOCK;105;2;5831335;Proctors Center;Void Starcross;5h 37m 58s ;20278.19
NPC;+PRICE;38;0;7428789;Star Shepards Hub;Temple Gates;6h 8m 59s ;22139.34
NPC;+PRICE;166;0;3375086;Biomate University;Void Starcross;6h 48m 22s ;24502.02
NPC;-PRICE;217;0;5054394;Oak Industries;Dorando Corridor;10h 29m 28s ;37768.82
NPC;-PRICE;217;0;4982534;Oak Industries;Dorando Corridor;10h 29m 28s ;37768.82
NPC;+PRICE;286;0;3914660;Temple of the Void;Vindicati;11h 50m 16s ;42616.5
NPC;+PRICE;101;0;3716398;ValueStar;Hunu;11h 50m 16s ;42616.5
NPC;+STOCK;211;2;4304491;StarShepards Headquarters;Void Starcross;12h 8m 53s ;43733.04
NPC;+STOCK;140;2;6953825;StarGypsy Warehouse;Void Starcross;12h 11m 36s ;43896.82
NPC;+STOCK;168;2;3109525;Biomate University;Void Starcross;12h 15m 59s ;44159.89
