NPC;+QTY;19;6;2062.5;Crystalis Broadcasting;Jermicus;1h 7m 10s ;4030.626
NPC;+PRICE;15;0;2073.79;Acrondia Hub;Temple Gates;1h 15m 16s ;4516.316
NPC;+PRICE;1;0;1958.602;Communications Hub;Ele;1h 15m 16s ;4516.316
NPC;+STOCK;22;9;1178.921;Starbase Corporate Center;Void Starcross;1h 25m 20s ;5120.805
NPC;-QTY;5;-8;1249.031;Starbase Corporate Center;Void Starcross;2h 51m 54s ;10314.01
NPC;-QTY;0;-5;2635;Star Shepards Hub;Temple Gates;2h 51m 54s ;10314.01
NPC;-LOCAL;0;0;2250;Quantex;Dellis Primeria;3h 18m 35s ;11915.83
NPC;+STOCK;20;10;1925.622;StarShepards Headquarters;Void Starcross;5h 37m 58s ;20278.19
NPC;+STOCK;14;9;1197.568;Starbase Corporate Center;Void Starcross;5h 37m 58s ;20278.19
NPC;+PRICE;10;0;2082.798;StarShepards Headquarters;Void Starcross;6h 48m 22s ;24502.02
NPC;+PRICE;8;0;2307.834;CoraVault;Lins;6h 48m 22s ;24502.02
NPC;-LOCAL;0;0;5000;Quantex;Dellis Primeria;7h 2m 44s ;25364.85
NPC;+PRICE;2;0;1604.615;CoraVault Hub;Pindoris;7h 9m 7s ;25747.52
NPC;+STOCK;18;8;1991.911;StarShepards Headquarters;Void Starcross;12h 8m 53s ;43733.04
NPC;-QTY;15;-6;2353.625;Vita Assembly;Capital Void;15h 39m 30s ;56370.95
