NPC;-QTY;0;-6;90375;Quantex;Dellis Primeria;0h 41m 19s ;2479.238
NPC;-LOCAL;0;0;137479.1;The Dunes;The Dunes of Caliph;3h 39m 36s ;13176.55
NPC;+STOCK;9;9;175379.5;StarGypsy Warehouse;Void Starcross;5h 37m 58s ;20278.19
NPC;+STOCK;74;10;113542;Proctors Center;Void Starcross;5h 37m 58s ;20278.19
NPC;BAL;67;-7;103947.4;Proctors Center;Void Starcross;5h 52m 15s ;21135.14
NPC;-LOCAL;80;80;113233.5;StarGypsy Warehouse;Void Starcross;6h 49m 18s ;24558.08
NPC;-PRICE;31;0;84919.05;Gek Mining;Alias Outpost;7h 2m 38s ;25358.83
NPC;-LOCAL;57;57;112500;StarGypsy Warehouse;Void Starcross;9h 45m 27s ;35127.06
NPC;-LOCAL;9;0;112500;SimKitten;Kolkax Prime;11h 7m 32s ;40052.41
NPC;-LOCAL;0;0;133907.6;SimKitten;Kolkax Prime;11h 28m 43s ;41323.92
NPC;+STOCK;67;10;136410.1;StarGypsy Warehouse;Void Starcross;12h 11m 36s ;43896.82
NPC;-LOCAL;18;18;112500;StarGypsy Warehouse;Void Starcross;12h 11m 43s ;43903.85
NPC;-LOCAL;0;0;250000;StarGypsy Warehouse;Void Starcross;14h 20m 53s ;51653.97
NPC;-LOCAL;58;58;112500;StarGypsy Warehouse;Void Starcross;15h 48m 49s ;56929.36
