[s:30][c:yellow]Vo Industries[/c][/s]
Probe Launch Facility
Bidqa Rondee
Temple
[c:lime]Dock fee 100[/c]
Timestamp: 57018.64
<Station Services>

[s:20][c:cyan]STATION ECONOMY[/c][/s]
[c:lime]SUPPLY[/c]
Thermal Controller
Advanced Regulator
Temperature Genie
Eco Regulator
OmniCon Regulator
Thermal Generex
Hyperion Regulator
Thermex Controller
Habitax Regulator
Atmospawn Thermobox
Sensor Array
Thruster Casing
Voltage Regulator
Afterburner Assembly
Artificial Gravity Generator
Auxiliary System Mount
Battery Array
Micro Computer
Servo Controls
Containment Field Emitter
[c:orange]DEMAND[/c]
Personal Clothing
Hygiene Products
Communication Device
Transport Units

[s:20][c:cyan]SERVICES[/c][/s]
Lounge
Market
Ship Garage
University
Ship Hangar
Fabricator
Mission Contracts
Offices


<Station Market Orders>
[c:green]BUY Order[/c] Market Low Inventory: (2) Items 
 (97) x Hygiene Products
 (412) x Hygiene Products
Fulfill order for [c:lime]77,898 profit.[/c]
[c:green]BUY Order[/c] Market Shortage: (3) Items 
 (263) x Transport Units
 (346) x Personal Clothing
 (445) x Personal Clothing
Fulfill order for [c:lime]140,889 profit.[/c]
[c:green]BUY Order[/c] Buying: (3) Items 
 (1321) x Media Recordings
 (866) x Bottled Whiskey
 (848) x Gaming Devices
Fulfill order for [c:lime]63,164 profit.[/c]
[c:green]BUY Order[/c] Market Needs Goods: (3) Items 
 (270) x Personal Clothing
 (108) x Hygiene Products
 (138) x Communication Device
Fulfill order for [c:lime]10,651 profit.[/c]


<Station Market Items>
Visit station market to update prices.
Acidic Gel Battery  336 - z533
Acidic Residue  1283 - z14
Active Scanner  35 - z5,969
Adamyte Ore  550 - z7
Advanced 20mm  362 - z27
Advanced 60mm  30 - z49
Advanced 60mm (Doc)  62 - z627
Advanced Armor Exterior  88 - z12,899
Advanced Drone Command Bay  63 - z27,566
Advanced ECM Energy Coil  69 - z8,400
Advanced ECM Power Boost Field  73 - z10,068
Advanced Energy Capacitor  25 - z10,419
Advanced Energy Generator  13 - z28,470
Advanced Filter  26 - z18,832
Advanced Impact Armor  39 - z26,580
Advanced Missile  249 - z78
Advanced Regulator  20 - z4,461
Advanced Scan Emitter  15 - z14,179
Advanced Shield Booster  54 - z10,755
Advanced Skill Manual  47 - z533,044
Advanced Targeting System  22 - z12,597
Advanced Waste Unit  23 - z549,166
Afterburner Assembly  150 - z237
Aged Wine  89 - z38
AI Interface Drive  213 - z1,044
Aluminium Plates  281 - z104
Aluminium Rivets  195 - z17
Aluminium Shard  815 - z22
Ammunition Loader  41 - z792
Anti-Freeze  42 - z41
Antimatter 20mm  2004 - z79
Antimatter 60mm  230 - z84
Antimatter Missile  247 - z597
Artificial Gravity Generator  42 - z1,331
Assault x3 Launcher  6 - z4,288
Assembly Tools  89 - z86
Assorted Springs  483 - z78
Atmospawn Thermobox  28 - z696,288
Auxiliary System Mount  150 - z456
Basic 20mm  2157 - z16
Basic 60mm (Doc)  53 - z332
Basic Afterburner  93 - z922
Basic Armor Exterior  42 - z958
Basic Charged Cell  239 - z8
Basic Drone Command Bay (Doc)  12 - z28,765
Basic ECM Power Boost  54 - z4,475
Basic Energy Generator (Doc)  36 - z68,379
