[s:30][c:yellow]Genistar[/c][/s]
Deep Space Array
Couue Atelow
Pirate
[c:lime]Dock fee 100[/c]
Timestamp: 18736.9
<Station Services>

[s:20][c:cyan]STATION ECONOMY[/c][/s]
[c:lime]SUPPLY[/c]
Protein Bar
Noodles
Ham Sandwich
Cheeseburger
Grilled Steak
Cheese and Crackers
Cat Food
Pizza
Spaghetti
Surf-n-Turf
Comm Device
Compartment Frame
Connection Harness
Cooling Unit
Duct Work
Electrical Interface
Electrical Regulator
Electromagnetic Emitter
Fiber Optic Interface
Fuel Injector
[c:orange]DEMAND[/c]
Media Recordings
Musical Instruments
Entertainment Electronics
Sporting Equipment
Gaming Devices
Childrens Toys

[s:20][c:cyan]SERVICES[/c][/s]
Lounge
Market
Ship Garage
Ship Hangar
Storage
Fabricator
Mission Contracts


<Station Market Orders>
[c:green]BUY Order[/c] Market Out of Stock: (2) Items 
 (219) x Entertainment Electronics
 (46) x Gaming Devices
Fulfill order for [c:lime]57,983 profit.[/c]
[c:green]BUY Order[/c] Market Low Inventory: (2) Items 
 (281) x Childrens Toys
 (237) x Musical Instruments
Fulfill order for [c:lime]44,600 profit.[/c]
[c:green]BUY Order[/c] Buying: (1) Items 
 (1) x x1 Torpedo Launcher
Fulfill order for [c:lime]-20,530 profit.[/c]
[c:red]SELL Order[/c] Sale Request Order: (1) Items 
 (1) x Advanced Shield Generator
Buy items for [c:lime]8,845 discount.[/c]


<Station Market Items>
Visit station market to update prices.
Adamyte Ore  69 - z12
Anti-Freeze  2 - z33
Assault x1 Launcher  2 - z1,412
Assorted Gaskets  94 - z14
Basic 60mm  17 - z10
Basic Afterburner  1 - z1,295
Basic Armor Exterior  7 - z1,066
Basic Armor Exterior (Doc)  8 - z14,532
Basic Cargo Expansion  6 - z2,428
Basic Cargo Expansion (Doc)  9 - z29,425
Basic Charged Cell (Doc)  9 - z102
Basic Drone Command Bay  7 - z1,392
Basic Energy Armor  8 - z3,914
Basic Energy Capacitor  4 - z2,766
Basic Energy Capacitor (Doc)  1 - z21,958
Basic Energy Generator  2 - z5,903
Basic Engine Core  5 - z2,706
Basic Explosive Armor  2 - z6,975
Basic Explosive Armor (Doc)  8 - z72,224
Basic Filter  4 - z5,369
Basic Impact Armor  3 - z6,082
Basic Mass Reduction  9 - z746
Basic Mass Reduction (Doc)  2 - z11,918
Basic Scan Booster  1 - z2,223
Basic Scan Booster (Doc)  6 - z16,456
Basic Scan Emitter  4 - z502
Basic Scan Emitter (Doc)  6 - z9,147
Basic Shield Booster  2 - z2,994
Basic Shield Booster (Doc)  5 - z17,225
Basic Shield Generator  2 - z1,406
Basic Targeting System  8 - z810
Basic Targeting System (Doc)  6 - z11,950
Basic Thruster  1 - z783
Basic Thruster (Doc)  3 - z10,241
Basic Turn Thrust  2 - z1,749
Blaster x1 Laser  9 - z654
Blaster x1 Laser (Doc)  8 - z7,965
Candy Cane  4 - z32
Candy Corn  7 - z12
Carbon  145 - z1
Carbon Fiber  56 - z33
Cat Food  26 - z239,363
Cheese and Crackers  32 - z149,700
Cheeseburger  40 - z28,688
Chocolate Bars  1 - z28
Cleaning Chemicals  3 - z27
Colored Dye  1 - z134
Comm Device  25 - z134
Compartment Frame  26 - z228
Connection Harness  30 - z296
Cooling Unit  29 - z377
Corrosive 20mm  6 - z40
Corrosive Missile  41 - z133
Disposables  3 - z3,969
Duct Work  44 - z411
Electrical Interface  25 - z544
Electrical Regulator  29 - z874
Electromagnetic Emitter  36 - z1,331
Energized Missile  17 - z243
Fasteners  76 - z11
Fiber Optic Interface  43 - z1,400
Focused x1 Laser  7 - z999
Fuel Injector  41 - z2,158
Fusion 60mm  12 - z85
Generic Dual 20mm Gun  6 - z889
Generic Dual 20mm Gun (Doc)  2 - z11,291
Generic Gatling 20mm Gun  3 - z895
Generic Single 20mm Gun  1 - z809
Grilled Steak  28 - z70,688
Gummy Bears  1 - z27
Ham Sandwich  31 - z11,616
Heavy Armor Bomb  15 - z161,494
Heavy Defense Drone  2 - z147,469
Heavy Mining Drone  8 - z126,019
Improved Defense Drone  5 - z46,969
Ion Beam Class 1  5 - z2,824
Ion Beam Class 1 (Doc)  4 - z20,663
Junk Part  80 - z69
Kinetic 20mm  1 - z18
Kinetic 60mm  35 - z37
Kinetic Missile  1 - z270
Large Combat Drone  1 - z87,375
Light Energy Charge  16 - z12,860
Light Shield Recharger  5 - z42,006
Liquid Coolant  89 - z48
Liquid Coolant (Doc)  6 - z361
Lubricant  87 - z10
Medium Armor Repair  17 - z219,188
Metal Brackets  95 - z43
Noodles  36 - z6,638
Nuts And Bolts  96 - z9
Ore Harvester 1  5 - z4,832
Ornament  2 - z364
Oxygen  79 - z1
Pizza  5 - z338,613
Plasma Beam Class 1  3 - z2,155
Protein Bar  4 - z3,569
Pulse Beam Class 1  7 - z1,259
