[s:30][c:yellow]StarGypsy Warehouse[/c][/s]
Tavern Station
Pinratus Flake
Pirate
[c:lime]Dock fee 25[/c]
Timestamp: 84463.97
<Station Services>

[s:20][c:cyan]STATION ECONOMY[/c][/s]
[c:lime]SUPPLY[/c]
Textile Fabrics
Foodservice Products
Office Supplies
Foodservice Equipment
Titanyte Pipes
Titanyte Plates
Uranium Core
Acidic Gel Battery
Advanced Spring Loader
AI Interface Drive
Ammunition Loader
Antenna Array
Armor Plating
Basic Computer
[c:orange]DEMAND[/c]
Aged Wine
Bottled Whiskey
Basic Food Rations
Gourmet Food Rations
Candy Corn
Chocolate Bars
Gummy Bears

[s:20][c:cyan]SERVICES[/c][/s]
Lounge
Market
Refinery
Ship Garage
University
Ship Hangar
Storage
Fabricator
Mission Contracts
Offices


<Station Market Orders>
[c:red]SELL Order[/c] Market Production: (1) Items 
 (912) x Titanyte Pipes
Buy items for [c:lime]137,126 discount.[/c]
[c:green]BUY Order[/c] Market Shortage: (3) Items 
 (786) x Gummy Bears
 (143) x Aged Wine
 (287) x Bottled Whiskey
Fulfill order for [c:lime]4,313 profit.[/c]
[c:green]BUY Order[/c] Market Shortage: (2) Items 
 (209) x Chocolate Bars
 (184) x Candy Corn
Fulfill order for [c:lime]15,933 profit.[/c]
[c:green]BUY Order[/c] Market Out of Stock: (1) Items 
 (196) x Candy Corn
Fulfill order for [c:lime]6,058 profit.[/c]


<Station Market Items>
Visit station market to update prices.
Acidic Gel Battery  150 - z76
Acidic Gel Battery (Doc)  43 - z3,464
Acidic Residue  1367 - z7
Active Scanner (Doc)  17 - z59,658
Adamyte Ore  8020 - z8
Advanced 20mm  5620 - z24
Advanced 60mm  5828 - z40
Advanced Afterburner  76 - z5,813
Advanced Armor Exterior  58 - z15,009
Advanced ECM Energy Coil  68 - z6,294
Advanced ECM Resistance Field (Doc)  31 - z67,287
Advanced Energy Capacitor (Doc)  40 - z182,049
Advanced Filter  48 - z4,575
Advanced Regulator  20 - z10,214
Advanced Scan Booster  96 - z13,609
Advanced Skill Manual  74 - z405,720
Advanced Spring Loader  286 - z102
Aged Wine  54 - z66
AI Interface Drive  150 - z129
Aluminium Rivets  1113 - z34
Aluminium Shard  1359 - z25
Ammunition Loader  17 - z141
Antenna Array  150 - z186
Anti-Freeze  4099 - z44
Antimatter Missile  7244 - z282
Armor Plating  288 - z233
Assault x2 Launcher  93 - z1,341
Assembly Tools  2046 - z54
Assorted Gaskets  789 - z10
Basic 20mm  9761 - z8
Basic 20mm (Doc)  20 - z152
Basic Computer  144 - z260
Basic ECM Resistance Field  55 - z9,532
Basic Filter  31 - z4,007
Basic Food Rations  7 - z87
Basic Missile (Doc)  64 - z475
Basic Missile Energy Mod  69 - z3,485
Basic Missile Impact Mod  106 - z2,923
Basic Scan Booster  81 - z1,877
Basic Shield Booster  56 - z3,121
Bio Carbon  901 - z11
Bio Converter  39 - z104,187
Bio Disposables  18 - z192,346
Blaster x3 Laser  36 - z1,084
Blaster x4 Laser (Doc)  11 - z43,201
