[s:30][c:yellow]Tella's[/c][/s]
Entertainment Hub
Jidzangee Akleinortis
Pirate
[c:lime]Dock fee 100[/c]
Timestamp: 27250.23
<Station Services>

[s:20][c:cyan]STATION ECONOMY[/c][/s]
[c:lime]SUPPLY[/c]
Water
Carbon
Hydrogen
Oxygen
Magnetic Quartz
Iron Coring
Nitrogen
Oil
Copperi Cubex
Calcium
Ceramic
Aluminium Shard
Dynex Crystal
Silicon
Salt Crystal
Bio Carbon
Calciate Residue
Steelium
Plastix Strands
Silveryte
Prometheum
Neutron Pods
Uranium
Goldyte
Titanyte
Keypad
Acidic Residue
Aluminium Plates
Copperi Pipes
Copperi Plates
Dynex Crystal Resonator
Electronic Switch
Glass Panels
Hand Tools
Hardened Glass Panels
Iron Coring Beams
[c:orange]DEMAND[/c]
Candy Cane
Ornament
Wrapped Box

[s:20][c:cyan]SERVICES[/c][/s]
Lounge
Market
Refinery
Ship Garage
University
Ship Hangar
Storage
Fabricator
Mission Contracts
Offices


<Station Market Orders>


<Station Market Items>
Visit station market to update prices.
Acidic Residue  46 - z14
Adamyte Ore  32 - z19
Advanced 20mm  62 - z33
Advanced 60mm  94 - z57
Advanced Missile  85 - z80
Advanced Regulator  4 - z7,025
Aluminium Plates  44 - z96
Aluminium Rivets  40 - z22
Aluminium Shard  40 - z22
Anti-Freeze  17 - z70
Assault x1 Launcher  4 - z2,651
Assault x2 Launcher  5 - z5,761
Assorted Gaskets  175 - z15
Basic 20mm  76 - z11
Basic Armor Exterior  1 - z1,771
Basic Cargo Expansion  7 - z1,699
Basic Drone Command Bay  5 - z2,028
Basic Energy Armor  8 - z8,434
Basic Energy Capacitor  17 - z2,295
Basic Energy Capacitor (Doc)  16 - z25,038
Basic Explosive Armor  2 - z8,370
Basic Filter  6 - z6,662
Basic Mass Reduction (Doc)  15 - z8,664
Basic Scan Booster  19 - z2,779
Basic Scan Emitter  14 - z1,554
Basic Skill Manual  26 - z113,247
Basic Targeting System (Doc)  4 - z19,216
Basic Thruster  8 - z722
Bio Carbon  36 - z22
Calciate Residue  33 - z80
Calcium  36 - z4
Candy Corn  17 - z16
Carbon  202 - z1
Carbon Fiber  91 - z42
Ceramic  30 - z15
Chocolate Bars  10 - z16
Cleaning Chemicals  18 - z49
Colored Dye  6 - z156
Containment Unit  4 - z13,325
Copperi Cubex  45 - z11
Copperi Pipes  42 - z99
Copperi Plates  40 - z144
Corrosive 20mm  93 - z62
Disposables  6 - z6,062
Dynex Crystal  41 - z25
Dynex Crystal Resonator  44 - z176
Electronic Switch  49 - z224
Elite Skill Manual  5 - z758,963
Fasteners  5 - z15
Fasteners (Doc)  1 - z174
Focused x1 Laser  12 - z1,865
Fusion 60mm  90 - z69
Fusion Missile  50 - z110
Glass Panels  41 - z249
Goldyte  30 - z133
Gradeon Ore  57 - z35
Gummy Bears  14 - z24
Hand Tools  33 - z315
Hardened Glass Panels  44 - z348
Hydrogen  141 - z3
Improved Afterburner  1 - z2,034
Improved Cargo Expansion  2 - z5,754
Improved Defense Drone  26 - z40,611
Improved Explosive Armor (Doc)  10 - z110,686
Improved Filter  3 - z6,925
Improved Mass Reduction  9 - z2,981
Improved Scan Booster  15 - z3,865
Improved Scan Booster (Doc)  2 - z89,919
Improved Scan Emitter  18 - z2,927
Improved Shield Generator  19 - z3,386
Improved Shield Generator (Doc)  12 - z38,313
Improved Thruster  7 - z2,698
Improved Thruster (Doc)  4 - z19,519
Improved Turn Thrust  18 - z4,656
Interior Lighting  4 - z136
Ion Beam Class 1 (Doc)  5 - z31,406
Iron Coring  43 - z8
Iron Coring Beams  32 - z413
Junk Part  165 - z104
Keypad  47 - z82
Kinetics G-series 20mm Gatling  12 - z1,303
Kinetics G-series 20mm Gun  1 - z2,306
Kinetics G-series Dual 20mm  4 - z1,982
Kitchen Appliances  16 - z122
Light Shield Recharger  11 - z38,636
Liquid Coolant  38 - z53
Magnetic Quartz  61 - z2
Medium Armor Bomb  20 - z24,562
Medium Armor Repair  16 - z191,618
Medium Energy Charge  14 - z80,921
Medium Web Field  17 - z24,062
Metal Brackets  191 - z34
Metal Gears  58 - z24
Metal Valve  98 - z34
Micro Leech Drone  12 - z11,287
Neutron Pods  36 - z45
Nitrogen  36 - z8
Noodles  4 - z9,525
Nuts And Bolts  37 - z9
Office Furniture  1 - z58
Oil  46 - z9
Ore Harvester 1  16 - z5,456
Ore Harvester 2  10 - z10,476
Ornament  7 - z616
Oxygen  290 - z1
Plasma Beam Class 1  5 - z2,289
Plasma Beam Class 1 (Doc)  17 - z35,061
Plasma Beam Class 2  18 - z7,141
Plastix Strands  45 - z4
Prometheum  45 - z233
Protein Bar  9 - z4,112
Pulse x2 Laser  17 - z929
Rapid x2 Launcher  14 - z3,034
Recon Scanner Drone  4 - z12,337
Reinforced Rubber  37 - z26
Rubber Tubing  36 - z42
Salt Crystal  275 - z2
Scrap Part  131 - z134
Silicon  45 - z6
Silveryte  39 - z122
Small Combat Drone  29 - z3,915
Small Defense Drone  8 - z7,995
Small Salvage Drone (Doc)  15 - z51,298
Small Storage Tank  61 - z41
Small Web Field  33 - z4,862
Steelium  35 - z51
Steelium Beam  116 - z13
Steelium Pipes  83 - z34
Thermal Controller  4 - z5,062
Thermal Insulation  5 - z18
Titan Defense Drone  32 - z333,117
Titan Repair Drone  2 - z195,617
