[s:30][c:yellow]Daemon Ammunitions[/c][/s]
Ordinance Storage Facility
Bella Mazu
Labor
[c:lime]Dock fee 100[/c]
Timestamp: 3218.523
<Station Services>

[s:20][c:cyan]STATION ECONOMY[/c][/s]
[c:lime]SUPPLY[/c]
Basic 20mm
Kinetic 20mm
Advanced 20mm
Radiated 20mm
Basic 60mm
Kinetic 60mm
Advanced 60mm
Radiated 60mm
Basic Missile
Advanced Missile
Fusion Missile
Corrosive Missile
LED Lights
Micro Processor
Large Processor
Motion Sensor
Pressure Sensor
Memory Chip
Small Pump
Small Heatsink
Small Motor
Copperi Cables
Explosive 20mm
Fusion 20mm
Uranium Core 20mm
Explosive 60mm
Fusion 60mm
Uranium Core 60mm
Proton Missile
Energized Missile
Kinetic Missile
Corrosive 20mm
Toxic 20mm
Antimatter 20mm
Corrosive 60mm
Toxic 60mm
Antimatter 60mm
Impact Missile
Concussion Missile
Antimatter Missile
[c:orange]DEMAND[/c]
Textile Fabrics
Foodservice Products
Office Supplies
Foodservice Equipment

[s:20][c:cyan]SERVICES[/c][/s]
Lounge
Market
Refinery
Ship Garage
University
Ship Hangar
Storage
Fabricator
Mission Contracts


<Station Market Orders>


<Station Market Items>
Visit station market to update prices.
Active Scanner  7 - z3,710
Adamyte Ore  83 - z9
Advanced 20mm  90 - z18
Advanced 20mm (Doc)  4 - z308
Advanced 60mm  65 - z50
Advanced Afterburner  13 - z7,952
Advanced Afterburner (Doc)  21 - z99,841
Advanced Drone Command Bay  13 - z19,669
Advanced Energy Armor  25 - z36,331
Advanced Energy Capacitor  12 - z10,776
Advanced Filter  3 - z11,266
Advanced Impact Armor (Doc)  20 - z531,759
Advanced Mass Reduction  20 - z12,110
Advanced Missile  53 - z63
Advanced Missile (Doc)  13 - z1,170
Advanced Regulator  1 - z7,438
Advanced Scan Emitter (Doc)  29 - z153,027
Advanced Shield Booster  18 - z19,136
Advanced Skill Manual  51 - z231,875
Advanced Thruster  22 - z10,967
Advanced Turn Thrust (Doc)  29 - z63,527
Aged Wine  17 - z44
Aluminium Rivets  64 - z26
Anti-Freeze  28 - z65
Antimatter 20mm  7 - z45
Antimatter 60mm  5 - z156
Antimatter Missile  35 - z504
Assault x3 Launcher  16 - z10,155
Assorted Gaskets  200 - z8
Assorted Gaskets (Doc)  5 - z130
Assorted Springs  260 - z76
Ball Bearings  121 - z75
Basic 20mm  32 - z14
Basic 20mm (Doc)  3 - z166
Basic 60mm  51 - z14
Basic Afterburner  26 - z694
Basic Cargo Expansion  27 - z2,355
Basic Charged Cell (Doc)  2 - z70
Basic Energy Armor  4 - z5,381
Basic Energy Armor (Doc)  26 - z38,551
Basic Energy Capacitor  22 - z2,896
Basic Energy Generator  28 - z5,686
Basic Energy Generator (Doc)  6 - z74,109
Basic Filter  13 - z2,269
Basic Food Rations  7 - z84
Basic Impact Armor (Doc)  9 - z77,581
Basic Missile  98 - z33
Basic Projectile Impact Mod  8 - z9,337
Basic Sensor  280 - z80
Basic Turn Thrust (Doc)  15 - z17,773
Basic Warp Drive Fuel  293 - z799
Battery Core  125 - z66
Blaster x1 Laser  21 - z594
Blaster x2 Laser  19 - z2,021
Bomber Drone  5 - z6,806
Bottled Whiskey  16 - z70
Burglar Drone  23 - z7,256
Calcium  99 - z2
Candy Cane  7 - z13
Candy Corn  13 - z14
Capacitors  255 - z123
Carbon  247 - z0
Carbon Fiber  272 - z55
Chocolate Bars  12 - z20
Cleaning Chemicals  26 - z43
Colored Dye  25 - z70
Concussion Missile  47 - z380
Containment Unit  7 - z3,938
Copperi Cables  36 - z121
Corrosive 20mm  133 - z56
Corrosive 60mm  13 - z59
Corrosive Missile  60 - z164
Disposables  8 - z4,469
Energized Missile  40 - z213
Energy Bomb  3 - z2,019
Explosive 20mm  37 - z26
Explosive 60mm  15 - z28
Fasteners  35 - z7
Fiber Optic Cables  208 - z43
Focused x1 Laser  20 - z733
Focused x3 Laser  21 - z4,843
Fusion 20mm  135 - z47
Fusion 60mm  116 - z68
Fusion Missile  53 - z76
Generic Construction Platform  29 - z1,784,375
Generic Dual 20mm Gun  10 - z1,357
Gourmet Food Rations  16 - z85
Gradeon Ore  172 - z26
Gummy Bears  25 - z15
Ham Sandwich  1 - z17,566
Heavy Armor Repair  10 - z201,500
Heavy Combat Drone  57 - z129,319
Hydrogen  390 - z3
Impact Missile  40 - z580
Improved Afterburner  1 - z2,591
Improved Afterburner (Doc)  24 - z31,405
Improved Drone Command Bay  15 - z6,905
Improved Energy Armor  9 - z5,862
Improved Energy Armor (Doc)  24 - z120,624
Improved Explosive Armor (Doc)  21 - z122,246
Improved Filter  9 - z8,338
Improved Impact Armor  8 - z7,079
Improved Shield Booster  21 - z5,418
Improved Targeting System  15 - z1,212
Improved Turn Thrust  27 - z2,983
Interior Lighting  22 - z140
Ion Beam Class 2  22 - z5,590
Junk Part  284 - z48
Kinetic 20mm  112 - z22
Kinetic 60mm  51 - z24
Kinetic Missile  36 - z376
Kinetics G-series 20mm Gatling  11 - z1,900
Kinetics G-series 20mm Gun  25 - z1,759
Kinetics G-series 20mm Gun (Doc)  17 - z15,713
Kitchen Appliances  10 - z106
Large Defense Drone  24 - z105,375
Large Processor  52 - z51
Large Repair Drone  28 - z109,375
Large Web Field  29 - z126,563
LED Lights  42 - z40
Light Armor Bomb  14 - z2,769
Light Shield Charge  39 - z15,806
Liquid Coolant  275 - z50
Lubricant  132 - z23
Magnetic Quartz  54 - z1
Mechanical Switch  153 - z74
Mechanical Switch (Doc)  18 - z1,104
Medium Armor Repair  51 - z175,088
Medium Life Support Pack  43 - z103,375
Medium Mining Drone  56 - z14,606
Medium Shield Bomb  13 - z20,844
Memory Chip  38 - z77
Metal Brackets  263 - z19
