NPC;+QTY;17;9;11174.03;Desban;Ellisar;2h 9m 20s ;7760.491
NPC;+STOCK;25;9;13860.58;Biomate University;Void Starcross;3h 44m 48s ;13488.87
NPC;+STOCK;0;99;18282.93;Biomate University;Void Starcross;3h 44m 48s ;13488.87
NPC;+STOCK;14;8;6070.851;Lammassu Financial;Void Starcross;3h 44m 48s ;13488.87
NPC;+STOCK;19;10;15978.8;StarShepards Headquarters;Void Starcross;3h 44m 48s ;13488.87
NPC;+STOCK;12;9;16640.13;Starbase Corporate Center;Void Starcross;3h 44m 48s ;13488.87
NPC;+STOCK;12;9;10242.4;Starbase Corporate Center;Void Starcross;3h 44m 48s ;13488.87
NPC;+STOCK;26;10;13777.4;Biomate University;Void Starcross;3h 44m 49s ;13489.92
NPC;+STOCK;0;99;17956.51;Biomate University;Void Starcross;3h 44m 49s ;13489.92
NPC;+PRICE;5;0;10564.68;Temple of the Void;Valley of Truths;4h 43m 59s ;17039.16
NPC;+PRICE;7;0;11407.51;Fellacore Research Center;Grace;6h 0m 19s ;21619.05
