// STATION DATA (Astrox Imperium) 
// STATION;variable;value
STATION;id;1
STATION;name;Starbase Corporate Center
STATION;type;Assembly Station
STATION;owner;Vajeana
STATION;faction;Labor
STATION;material;station_material_Labor.png
STATION;color; 1.0 , 1.0, 0.0 , 1.0
STATION;level;8
STATION;icon;starbase.png
STATION;filename;sector_0_station_4.txt
STATION;max_hp;25000
STATION;dockfee;25
STATION;lease;1
STATION;seed;2-2-0-1-2-0-2-1-3-0-0-4-1-3-8-1-9-1-1-3-1-3-90
STATION;interior_seed;3-1-15-3
STATION;refinery_active_time;0
STATION;fabricator_active_time;0
STATION;last_dock_time;52761.99
// SERVICES;servicename;bool
SERVICES;lounge;True
SERVICES;market;True
SERVICES;refinery;True
SERVICES;garage;True
SERVICES;university;True
SERVICES;hangar;True
SERVICES;storage;True
SERVICES;fabricator;True
SERVICES;contracts;True
SERVICES;admin;True
// ENTERTAINMENT;title;bonus morale, bonus loyalty;price;type;image;description
ENTERTAINMENT;Pod Racing event;0.25,0.0;40000;Sport Racing Event;entertain_race.png;All expense paid trip to the weekly 'Astrox Pod Racing' (APR) event. 25% Morale Boost.
ENTERTAINMENT;Spa Treatment;0.15,0.0;18500;Rest and Relaxation;entertain_spa.png;Send your crew to the spa, let them rest and relax for awhile. 15% Morale Boost.
ENTERTAINMENT;BioSynth Wildlife Park;0.05,0.05;26000;Rest and Relaxation;entertain_park.png;A weekend package to the local wildlife BioSynth park for your entire crew, included petting zoo. 5% Morale Boost, 5% Loyalty Boost
ENTERTAINMENT;Evening of Drinks;0.05,0.0;1500;Alcholic Drinks;entertain_bar.png;Pick up the tab for an evening of drinks for your crew, they earned it. 5% Morale Boost.
// MERC;level;Price_modifier;Ship_filename
<MERC>
MERC;1;1.63;npc_ship_data_(excavation_shuttle_1).txt
MERC;3;1.63;npc_ship_data_(excavation_escort_1).txt
MERC;9;1.93;npc_ship_data_(excavation_utility_1).txt
MERC;12;1.23;npc_ship_data_(excavation_utility_2).txt
MERC;15;1.47;npc_ship_data_(excavation_frigate_1).txt
</MERC>
// MARKET;Item_id;Qty;Price_modifier
<MARKET>
BUYORDER;Market Demands: (1) Items ;4x135;5526.00;78799.94
BUYORDER;Market Shortage: (2) Items ;6x61,4x64;7495.00;88576.12
ITEM;735;153;1.08;8805469.00
ITEM;2129;173;1.17;7303002.00
ITEM;2242;54;1.21;6760260.00
ITEM;2321;24;0.49;6654598.00
ITEM;2192;24;0.80;5587891.00
ITEM;2123;61;0.90;5221003.00
ITEM;2323;12;0.66;4977311.00
ITEM;2287;34;0.91;4819500.00
ITEM;1006;0;1.84;3040048.00
ITEM;2251;35;0.93;2752680.00
ITEM;2128;47;1.13;2020545.00
ITEM;2275;38;1.06;1661850.00
ITEM;1115;25;1.08;1356607.00
ITEM;2221;40;0.58;1294200.00
ITEM;2122;95;0.57;996508.80
ITEM;2306;26;0.88;935100.00
ITEM;1053;60;0.66;871304.90
ITEM;1761;0;1.22;850940.90
ITEM;2471;75;0.52;786000.00
ITEM;2270;79;0.67;696825.00
ITEM;1766;9;0.96;645677.60
ITEM;1027;20;1.09;531383.30
ITEM;1584;18;1.08;525980.00
ITEM;2127;11;0.98;506554.80
ITEM;647;19;1.25;472916.50
ITEM;667;34;1.18;448286.50
ITEM;1564;16;0.92;438075.00
ITEM;607;31;1.10;420138.10
ITEM;2470;52;0.55;412200.00
ITEM;1114;3;0.99;357890.20
ITEM;737;142;0.54;356660.20
ITEM;1174;11;0.89;354410.10
ITEM;1775;20;0.99;336093.00
ITEM;2194;75;0.62;267773.40
ITEM;1633;68;1.19;256812.50
ITEM;627;6;0.63;254765.70
ITEM;2243;28;0.72;253987.50
ITEM;606;23;1.16;252141.80
ITEM;1021;0;1.84;248167.20
ITEM;1634;63;0.51;241625.00
ITEM;646;35;1.10;240078.20
ITEM;666;3;1.06;232035.80
ITEM;1477;25;1.10;223886.70
ITEM;1563;12;0.87;208237.50
ITEM;1403;32;1.07;199636.70
ITEM;1643;46;0.81;180812.50
ITEM;2126;307;0.92;136644.90
ITEM;1622;9;1.02;133687.50
ITEM;2114;106;0.79;129957.20
ITEM;1642;17;1.17;126406.20
ITEM;665;23;0.99;124550.10
ITEM;1513;26;0.59;120395.00
ITEM;626;19;0.50;119442.20
ITEM;2120;314;0.88;119322.70
ITEM;1592;3;1.08;93925.00
ITEM;760;0;0.26;88515.63
