// STATION DATA (Astrox Imperium) 
// STATION;variable;value
STATION;id;0
STATION;name;Star Shepards Hub
STATION;type;Engineering Facility
STATION;owner;Bemdee Tudoe
STATION;faction;Temple
STATION;material;station_material_Temple.png
STATION;color;.60 , .20 , .80 , 1
STATION;level;1
STATION;icon;star_shepards.png
STATION;filename;sector_95_station_0.txt
STATION;max_hp;25000
STATION;dockfee;100
STATION;lease;1
STATION;seed;2-1-1-4-8-0-3-1-5-3-3-8-0
STATION;interior_seed;4-3-45-9
STATION;refinery_active_time;0
STATION;fabricator_active_time;0
STATION;last_dock_time;26983.29
// SERVICES;servicename;bool
SERVICES;lounge;True
SERVICES;market;True
SERVICES;refinery;False
SERVICES;garage;True
SERVICES;university;True
SERVICES;hangar;False
SERVICES;storage;True
SERVICES;fabricator;False
SERVICES;contracts;True
SERVICES;admin;False
// ENTERTAINMENT;title;bonus morale, bonus loyalty;price;type;image;description
ENTERTAINMENT;Astrox Opera House;0.26,0.07;51000;Musical Entertainment;entertain_opera.png;Provide a private opera concert for your entire crew at the famous 'Astrox Opera House', drinks and food included. 26% Morale , 7% Loyalty bonus.
ENTERTAINMENT;BioSynth Wildlife Park;0.05,0.05;26000;Rest and Relaxation;entertain_park.png;A weekend package to the local wildlife BioSynth park for your entire crew, included petting zoo. 5% Morale Boost, 5% Loyalty Boost
ENTERTAINMENT;Evening of Drinks;0.05,0.0;1500;Alcholic Drinks;entertain_bar.png;Pick up the tab for an evening of drinks for your crew, they earned it. 5% Morale Boost.
// MERC;level;Price_modifier;Ship_filename
<MERC>
MERC;3;1.00;npc_ship_data_(support_frigate_1).txt
MERC;7;1.30;npc_ship_data_(battle_shuttle_1).txt
</MERC>
// MARKET;Item_id;Qty;Price_modifier
<MARKET>
BUYORDER;Market Shortage: (2) Items ;108x860,106x801;27537;101554.90
BUYORDER;Market Shortage: (2) Items ;112x318,124x775;122308;80601.89
SELLORDER;Looking to Sell (1) Items ;218x283;131099;109643.90

BUYORDER;Market Out of Stock: (2) Items ;111x530,109x475;21539;54430.84
BUYORDER;Market Low Inventory: (1) Items ;115x107;4847;40784.84
BUYORDER;Market Low Inventory: (2) Items ;115x366,110x329;24575.00;82673.97
BUYORDER;Market Out of Stock: (2) Items ;121x93,101x191;6891.00;78443.80
ITEM;2000;0;1.22;31.92
ITEM;1;44;0.92;7.20
ITEM;41;41;1.07;59.70
ITEM;61;30;1.17;323.81
ITEM;2127;19;1.08;560874.20
ITEM;2115;21;0.98;560412.70
ITEM;2240;6;0.81;1191332.00
ITEM;2435;3;0.74;43453.79
ITEM;111;0;1.34;41.85
ITEM;302;2;1.05;65.99
ITEM;153;97;1.05;16.97
ITEM;1520;1;0.84;18984.75
ITEM;1620;8;0.83;28177.13
ITEM;1530;9;0.97;26980.94
ITEM;2329;6;0.79;13488.56
ITEM;1750;5;1.13;49569.50
ITEM;1570;4;0.80;23640.18
ITEM;1580;8;0.69;22378.65
ITEM;1510;6;0.95;23303.22
ITEM;1650;8;1.23;33480.94
ITEM;620;2;0.64;5244.66
ITEM;1711;42;0.72;20668.07
ITEM;1712;42;0.71;20492.26
ITEM;1710;37;0.74;21173.90
ITEM;1540;5;0.58;15852.46
ITEM;60;34;0.52;70.79
ITEM;2125;3;0.68;30385.64
ITEM;2119;37;1.18;45123.31
ITEM;1615;9;0.77;16705.51
ITEM;1600;8;1.01;20146.28
ITEM;1550;1;0.56;16730.94
ITEM;1560;6;1.22;35889.41
ITEM;1610;5;0.91;17327.04
ITEM;1500;2;0.76;18253.99
ITEM;75;27;0.59;131.11
ITEM;2339;5;0.71;12288.56
ITEM;1590;4;1.03;22784.75
ITEM;2253;5;0.62;175017.00
ITEM;115;0;1.17;44.29
ITEM;727;1;0.74;12738.56
ITEM;116;0;1.25;98.07
ITEM;109;0;1.31;7.94
ITEM;406;5;1.28;1.53
ITEM;403;8;0.92;1.13
ITEM;101;111;1.05;2.61
ITEM;168;57;1.22;34.48
ITEM;110;0;1.19;26.11
ITEM;404;4;0.96;1.18
ITEM;300;0;1.09;149.23
ITEM;301;0;1.05;36.66
ITEM;108;0;1.21;22.03
ITEM;660;3;1.07;8254.66
ITEM;112;0;1.20;54.32
ITEM;702;29;0.71;8176.95
ITEM;151;40;0.73;10.15
ITEM;1001;3;0.99;2418.32
ITEM;1110;1;1.08;2616.32
ITEM;1170;6;0.93;2494.17
ITEM;1002;5;1.20;2618.48
ITEM;1052;1;0.95;2330.32
ITEM;2160;4;0.52;12584.75
ITEM;1160;8;0.69;1758.32
ITEM;1100;2;0.78;1778.48
ITEM;1003;9;0.67;1870.17
ITEM;1050;9;0.96;2138.48
ITEM;1400;9;1.01;4476.95
ITEM;1054;5;0.83;2254.17
ITEM;123;0;1.30;174.52
ITEM;405;9;1.02;1.24
ITEM;681;44;0.70;65603.95
ITEM;743;15;1.00;183024.20
ITEM;675;4;1.04;62058.82
ITEM;759;14;0.98;179724.20
ITEM;679;37;0.76;70267.90
ITEM;671;13;0.76;54761.96
ITEM;2426;6;0.74;28679.60
ITEM;102;0;1.24;5.26
ITEM;2289;6;0.86;581542.50
ITEM;2120;8;0.88;121181.60
ITEM;2264;5;1.00;452568.90
ITEM;105;0;1.26;13.21
ITEM;20;45;1.13;26.02
ITEM;747;8;0.75;85923.75
ITEM;733;8;1.24;134923.80
ITEM;758;13;0.72;82923.75
ITEM;712;1;0.72;59705.10
ITEM;701;40;0.75;7728.79
ITEM;700;41;0.73;7589.61
ITEM;1460;2;0.66;19230.94
ITEM;158;83;0.96;25.21
ITEM;155;99;0.51;10.97
ITEM;104;0;1.32;6.68
ITEM;680;33;0.69;21511.39
ITEM;678;29;0.76;23393.58
ITEM;711;27;0.69;19123.27
ITEM;157;75;0.91;21.85
ITEM;121;0;1.25;67.92
ITEM;106;0;1.15;14.64
ITEM;150;20;1.13;13.63
ITEM;107;0;1.17;17.84
ITEM;407;6;0.88;5.44
ITEM;103;66;1.05;3.13
ITEM;118;0;1.35;9.79
ITEM;2128;3;0.50;1005661.00
ITEM;2180;7;0.97;3239062.00
