// STATION DATA (Astrox Imperium) 
// STATION;variable;value
STATION;id;0
STATION;name;Stinkfinger
STATION;type;Headquarters
STATION;owner;Restimeslom Lelaseno
STATION;faction;Pirate
STATION;material;station_material_Pirate.png
STATION;color;1 , .1 , .1 , 1
STATION;level;6
STATION;icon;stinkfinger.png
STATION;filename;sector_86_station_0.txt
STATION;max_hp;25000
STATION;dockfee;100
STATION;lease;1
STATION;seed;4-4-0-4-2-3-4-0-3-7-2-6-1-5-0-0-2-1-2-5-1-0-0
STATION;interior_seed;5-8-45-1
STATION;refinery_active_time;0
STATION;fabricator_active_time;0
STATION;last_dock_time;42755.76
// SERVICES;servicename;bool
SERVICES;lounge;False
SERVICES;market;True
SERVICES;refinery;False
SERVICES;garage;False
SERVICES;university;True
SERVICES;hangar;False
SERVICES;storage;True
SERVICES;fabricator;True
SERVICES;contracts;False
SERVICES;admin;True
// ENTERTAINMENT;title;bonus morale, bonus loyalty;price;type;image;description
ENTERTAINMENT;BioSynth Wildlife Park;0.05,0.05;26000;Rest and Relaxation;entertain_park.png;A weekend package to the local wildlife BioSynth park for your entire crew, included petting zoo. 5% Morale Boost, 5% Loyalty Boost
ENTERTAINMENT;StarLuck Casino;0.05,0.05;24000;Gambling;entertain_casino.png;A weekend package to the local casino for your entire crew, complete with pocket money. 5% Morale Boost, 5% Loyalty Boost
// MERC;level;Price_modifier;Ship_filename
<MERC>
MERC;6;1.84;npc_ship_data_(transport_utility_1).txt
MERC;2;1.46;npc_ship_data_(battle_utility_1).txt
MERC;7;1.73;npc_ship_data_(pirate_carrier_1).txt
</MERC>
// MARKET;Item_id;Qty;Price_modifier
<MARKET>
BUYORDER;Market Items Req: (2) Items ;408x316,407x248;8821.00;55615.84
BUYORDER;Market Shortage: (2) Items ;406x380,407x349;2627.00;91191.44
BUYORDER;Market Demands: (2) Items ;407x67,408x108;2253.00;100445.10
BUYORDER;Market Shortage: (1) Items ;408x303;4214.00;54132.97
SELLORDER;Market Supply: (2) Items ;60x51,40x305;5451.00;68718.28
BUYORDER;Market Items Req: (2) Items ;406x299,408x161;4495.00;52575.03
SELLORDER;Sell Order for: (1) Items ;101x28;28.00;78205.97
BUYORDER;Market Items Req: (1) Items ;406x72;169.00;77255.37
SELLORDER;Market Stock: (1) Items ;42x100;7917.00;67673.16
ITEM;2000;122;0.62;13.66
ITEM;1451;0;1.31;45067.43
ITEM;1;499;1.02;7.76
ITEM;41;38;0.82;46.03
ITEM;51;36;0.71;67.42
ITEM;1771;25;1.24;767607.10
ITEM;1766;44;0.90;605857.30
ITEM;2311;40;0.79;6830953.00
ITEM;622;19;0.70;16915.79
ITEM;1113;33;0.63;67824.98
ITEM;2103;35;0.52;261132.90
ITEM;61;29;0.80;225.05
ITEM;2127;95;1.16;589086.10
ITEM;1163;32;0.73;77257.48
ITEM;641;28;0.62;8685.94
ITEM;2260;36;1.23;1139665.00
ITEM;2265;35;1.10;970269.90
ITEM;1502;48;0.94;86440.73
ITEM;76;27;0.70;332.89
ITEM;1069;50;0.75;86338.89
ITEM;310;54;1.17;172.01
ITEM;2001;246;0.57;183.51
ITEM;163;118;1.20;51.47
ITEM;111;280;1.23;30.48
ITEM;302;11;1.07;52.78
ITEM;153;531;1.19;18.73
ITEM;167;504;0.64;46.89
ITEM;169;27;1.06;81.28
ITEM;40;434;1.08;26.33
ITEM;50;280;0.82;34.09
ITEM;1620;43;1.22;39271.69
ITEM;1721;37;1.10;29726.41
ITEM;2299;8;1.18;380716.80
ITEM;1760;29;0.80;328983.70
ITEM;1510;19;0.83;20219.24
ITEM;2213;38;1.12;319190.80
ITEM;1650;47;1.07;28976.41
ITEM;620;17;0.93;7133.39
ITEM;312;35;0.76;59.96
ITEM;2143;13;0.91;38463.67
ITEM;1171;56;0.57;5536.07
ITEM;2155;36;0.92;42380.36
ITEM;1712;55;1.02;27726.41
ITEM;60;42;0.72;91.02
ITEM;1731;39;0.85;23476.41
ITEM;1732;32;1.10;29726.41
ITEM;2125;331;0.72;31148.67
ITEM;2125;-99;0.65;28453.66
ITEM;1201;33;0.61;9786.79
ITEM;1700;59;0.89;24476.41
ITEM;2119;54;0.94;36016.97
ITEM;1600;27;0.75;15103.01
ITEM;201;159;1.15;101.21
ITEM;1550;20;0.59;16976.41
ITEM;1500;14;0.71;16780.18
ITEM;75;36;0.74;155.45
ITEM;1059;51;0.58;5620.07
ITEM;2131;87;0.94;43220.36
ITEM;400;322;1.24;2126.49
ITEM;2371;31;0.61;1112.90
ITEM;115;299;1.25;37.13
ITEM;664;1;1.03;73468.28
ITEM;665;5;0.61;80315.98
ITEM;311;29;0.65;94.38
ITEM;109;889;0.76;3.80
ITEM;406;2;1.15;1.70
ITEM;403;52;1.14;1.35
ITEM;205;128;0.73;97.94
ITEM;101;392;1.19;2.30
ITEM;168;276;0.68;19.95
ITEM;623;29;0.73;30727.71
ITEM;110;436;1.10;19.08
ITEM;605;2;0.95;119379.30
