// STATION DATA (Astrox Imperium) 
// STATION;variable;value
STATION;id;0
STATION;name;Astrox Security Patrol
STATION;type;Training Post
STATION;owner;Bidres Oisedar
STATION;faction;Law
STATION;material;station_material_Law.png
STATION;color;0 , .60 , 1 , 1
STATION;level;8
STATION;icon;asp.png
STATION;filename;sector_50_station_0.txt
STATION;max_hp;25000
STATION;dockfee;100
STATION;lease;1
STATION;seed;2-6-0-4-8-0-3-1-4-5-2-5-0
STATION;interior_seed;5-7-15-3
STATION;refinery_active_time;0
STATION;fabricator_active_time;0
STATION;last_dock_time;46534.18
// SERVICES;servicename;bool
SERVICES;lounge;True
SERVICES;market;True
SERVICES;refinery;False
SERVICES;garage;True
SERVICES;university;True
SERVICES;hangar;True
SERVICES;storage;True
SERVICES;fabricator;False
SERVICES;contracts;False
SERVICES;admin;False
// ENTERTAINMENT;title;bonus morale, bonus loyalty;price;type;image;description
ENTERTAINMENT;Pod Racing event;0.25,0.0;40000;Sport Racing Event;entertain_race.png;All expense paid trip to the weekly 'Astrox Pod Racing' (APR) event. 25% Morale Boost.
ENTERTAINMENT;Private Concert;0.25,0.09;50000;Musical Entertainment;entertain_show.png;Provide a private concert for your entire crew, drinks and food included. 25% Morale , 9% Loyalty bonus.
ENTERTAINMENT;Bottle of Whiskey;0.025,0.0;850;Whiskey;entertain_bar.png;Purchase a bottle of whiskey for each of your fleet members. 2.5% Morale bonus.
ENTERTAINMENT;Private Party;0.10,0.0;2700;Party;entertain_bar.png;Throw a private party at the local station pub for your entire fleet. 10% Morale Boost.
// MERC;level;Price_modifier;Ship_filename
<MERC>
MERC;4;0.97;npc_ship_data_(recon_frigate_1).txt
MERC;5;1.42;npc_ship_data_(battle_shuttle_1).txt
MERC;4;0.86;npc_ship_data_(pirate_utility_1).txt
MERC;8;1.38;npc_ship_data_(transport_carrier_1).txt
</MERC>
// MARKET;Item_id;Qty;Price_modifier
<MARKET>
SELLORDER;Market Production: (1) Items ;50x381;14874;105504.20
SELLORDER;Market Stock: (1) Items ;75x578;83571.00;80716.50
BUYORDER;Market Shortage: (1) Items ;407x534;3984.00;61834.54
ITEM;2000;139;1.06;22.30
ITEM;2187;12;1.08;151619.20
ITEM;1;100;0.84;6.56
ITEM;41;37;0.77;43.69
ITEM;51;331;0.95;88.40
ITEM;1622;23;1.03;135315.00
ITEM;2225;76;1.21;1569150.00
ITEM;1766;30;0.71;494719.60
ITEM;1761;73;1.01;717259.20
ITEM;622;7;0.78;18814.52
ITEM;2145;60;0.80;423342.40
ITEM;1542;74;1.03;103741.50
ITEM;61;224;0.91;255.06
ITEM;641;24;0.83;11363.41
ITEM;737;127;1.02;628664.10
ITEM;2024;110;1.01;1293.03
ITEM;76;37;0.80;377.29
ITEM;1592;32;0.62;57410.00
ITEM;667;38;0.69;277130.60
ITEM;310;33;1.05;156.79
ITEM;2025;185;0.54;818.79
ITEM;2001;167;0.59;191.46
ITEM;111;241;0.59;15.89
ITEM;2027;744;1.22;2047.33
ITEM;2195;78;1.21;490359.40
ITEM;302;62;0.80;40.88
ITEM;351;10;1.01;6137.26
ITEM;153;652;0.52;9.04
ITEM;40;39;0.68;17.42
ITEM;50;37;0.75;31.76
ITEM;2300;79;0.80;269287.50
ITEM;1720;30;0.95;26190.63
ITEM;1775;49;0.76;265890.30
ITEM;1760;29;0.86;354356.70
ITEM;1570;71;0.89;25678.25
ITEM;1510;23;0.59;15127.75
ITEM;1650;29;0.68;19440.63
ITEM;620;39;1.07;8173.38
ITEM;312;30;0.63;51.38
ITEM;1111;5;0.70;6141.71
ITEM;1171;22;1.17;10648.05
ITEM;1540;63;1.03;25935.38
ITEM;60;119;0.95;117.86
ITEM;2125;5;1.04;43798.56
ITEM;1700;15;0.55;16190.63
ITEM;2137;19;0.66;26516.88
ITEM;1009;67;1.19;10816.05
ITEM;201;216;1.22;107.62
ITEM;2364;67;1.13;1002.97
ITEM;1500;30;1.06;24310.13
ITEM;75;232;0.97;200.18
ITEM;2131;308;1.03;47360.25
ITEM;1590;14;0.86;19152.50
ITEM;208;446;0.96;168.33
ITEM;8;656;0.83;216.20
ITEM;115;1114;1.01;30.71
ITEM;664;31;0.51;39891.80
ITEM;665;3;0.72;93938.58
ITEM;311;64;1.21;167.00
ITEM;2482;4;0.64;118020.00
ITEM;116;742;1.20;74.63
ITEM;109;1146;0.68;3.48
ITEM;353;20;1.07;5102.23
ITEM;406;56;1.14;1.70
ITEM;403;11;0.70;0.88
ITEM;205;168;0.56;78.64
ITEM;101;712;1.08;2.12
ITEM;623;1;1.01;41553.66
ITEM;110;362;1.15;20.02
ITEM;605;2;0.78;100832.10
ITEM;603;19;0.95;39302.70
ITEM;325;35;0.67;247.91
ITEM;404;1;1.07;1.28
ITEM;300;74;0.59;68.45
ITEM;2192;26;0.86;5985157.00
ITEM;301;33;0.80;22.71
ITEM;2030;582;1.16;1719.02
ITEM;332;61;0.70;2221.11
ITEM;2032;423;1.22;2179.25
ITEM;666;27;0.69;158359.90
ITEM;661;31;0.72;10015.91
ITEM;218;202;0.91;320.75
ITEM;108;501;0.59;9.19
ITEM;2002;552;1.22;403.56
ITEM;2003;77;0.71;272.10
ITEM;660;28;0.53;4393.38
ITEM;2034;587;0.98;2156.59
ITEM;112;844;1.05;38.19
ITEM;7;157;1.22;186.11
ITEM;1478;68;0.97;500449.20
ITEM;2036;129;0.54;1544.01
ITEM;11;188;1.22;186.11
ITEM;24;204;1.13;215.31
ITEM;2005;3;0.91;410.77
ITEM;702;67;0.53;6276.25
ITEM;27;673;0.94;894.13
ITEM;322;58;0.81;600.23
ITEM;151;176;0.59;8.32
ITEM;343;9;0.62;4463.04
ITEM;341;4;0.83;4891.74
ITEM;2039;721;1.09;3827.74
ITEM;324;4;1.07;2915.56
ITEM;735;57;0.78;6582188.00
ITEM;2106;24;1.09;13063.88
ITEM;2142;22;0.88;10753.88
ITEM;1170;37;1.10;2874.30
ITEM;1160;13;0.80;1974.78
ITEM;1100;77;0.75;1695.25
ITEM;2118;392;0.75;8476.25
ITEM;2130;94;1.10;14371.50
ITEM;2388;11;0.58;3038.47
ITEM;313;28;1.24;393.30
ITEM;2;520;0.82;10.60
ITEM;2423;69;0.74;21253.06
ITEM;604;24;1.22;86504.72
ITEM;405;63;0.94;1.14
ITEM;602;4;0.89;21172.71
