// STATION DATA (Astrox Imperium) 
// STATION;variable;value
STATION;id;0
STATION;name;Biomate University
STATION;type;Academic University
STATION;owner;Telyoupea Akpi
STATION;faction;Alpha
STATION;material;station_material_Alpha.png
STATION;color;1 , .46, .19, 1
STATION;level;10
STATION;icon;biomate.png
STATION;filename;sector_0_station_0.txt
STATION;max_hp;25000000
STATION;dockfee;0
STATION;lease;30
STATION;seed;4-8-1-5-5-2-9-1-2-6-3-1-1-5-4-1-2-1-4-4-0-4-0
STATION;interior_seed;0-0-15-8
STATION;refinery_active_time;0
STATION;fabricator_active_time;0
STATION;last_dock_time;56897.28
// SERVICES;servicename;bool
SERVICES;lounge;True
SERVICES;market;True
SERVICES;refinery;True
SERVICES;garage;True
SERVICES;university;True
SERVICES;hangar;True
SERVICES;storage;True
SERVICES;fabricator;True
SERVICES;contracts;True
SERVICES;admin;True
// ENTERTAINMENT;title;bonus morale, bonus loyalty;price;type;image;description
ENTERTAINMENT;Bottle of Whiskey;0.025,0.0;850;Whiskey;entertain_bar.png;Purchase a bottle of whiskey for each of your fleet members. 2.5% Morale bonus.
ENTERTAINMENT;StarLuck Casino;0.05,0.05;24000;Gambling;entertain_casino.png;A weekend package to the local casino for your entire crew, complete with pocket money. 5% Morale Boost, 5% Loyalty Boost
ENTERTAINMENT;Evening of Drinks;0.05,0.0;1500;Alcholic Drinks;entertain_bar.png;Pick up the tab for an evening of drinks for your crew, they earned it. 5% Morale Boost.
// MERC;level;Price_modifier;Ship_filename
<MERC>
MERC;1;1.63;npc_ship_data_(recon_shuttle_1).txt
MERC;3;1.63;npc_ship_data_(recon_escort_1).txt
MERC;9;1.93;npc_ship_data_(recon_utility_1).txt
MERC;12;1.23;npc_ship_data_(recon_utility_2).txt
MERC;15;1.47;npc_ship_data_(recon_frigate_1).txt
</MERC>
// MARKET;Item_id;Qty;Price_modifier
<MARKET>
BUYORDER;Market Out of Stock: (3) Items ;408x456,406x363,408x907;17708.00;79138.10
BUYORDER;Market Items Req: (2) Items ;406x325,407x163;3372.00;74523.10
BUYORDER;Market Demands: (1) Items ;408x137;3828.00;58260.04
BUYORDER;Market Shortage: (2) Items ;407x858,407x154;12958.00;62694.04
BUYORDER;Market Shortage: (1) Items ;407x113;741.00;77334.97
BUYORDER;Market Low Inventory: (4) Items ;408x222,408x347,407x202,408x314;15836.00;83576.97
BUYORDER;Market Needs Goods: (2) Items ;408x78,408x114;5504.00;71636.70
ITEM;10;3615;0.49;328.78
ITEM;9;4471;0.67;268.48
ITEM;408;0;1.36;21.00
ITEM;26;5549;0.59;313.33
ITEM;100;615;0.70;1.09
ITEM;662;16;0.99;21827.10
ITEM;663;7;0.49;19438.92
ITEM;122;473;1.21;177.17
ITEM;22;4276;0.76;47.83
ITEM;333;896;1.14;8818.07
ITEM;5;5900;1.17;62.16
ITEM;1212;19;0.64;1460748.00
ITEM;2021;529;1.06;954.39
ITEM;124;1500;0.92;65.43
ITEM;760;140;1.27;324537.50
ITEM;2453;37;0.92;1213632.00
ITEM;734;19;1.05;269537.50
ITEM;749;62;0.97;249537.50
ITEM;647;21;0.91;330093.70
ITEM;162;827;1.23;45.67
ITEM;645;48;0.62;74467.25
ITEM;640;47;0.79;5727.05
ITEM;340;1071;0.61;943.44
ITEM;642;41;0.87;19254.54
ITEM;625;33;0.53;64126.97
ITEM;609;30;0.51;579887.80
ITEM;2018;540;0.72;730.70
ITEM;152;567;0.79;10.89
ITEM;117;446;1.07;52.62
ITEM;2186;9;0.91;49252.88
ITEM;1450;86;0.57;6280.58
ITEM;323;855;0.81;1500.96
ITEM;608;4;1.13;713127.40
ITEM;710;172;0.75;6225.20
ITEM;755;58;0.77;4788.90
ITEM;723;93;0.76;4728.90
ITEM;217;779;0.72;216.50
ITEM;720;125;0.77;4788.90
ITEM;2017;969;0.51;477.81
ITEM;703;52;0.92;6637.05
ITEM;693;106;1.12;5740.75
ITEM;722;96;1.00;6168.90
ITEM;119;581;1.17;99.22
ITEM;113;1215;1.03;6.83
ITEM;2058;168;1.00;8472.66
ITEM;2050;850;0.64;2568.60
ITEM;21;3961;1.04;38.13
ITEM;114;260;0.56;1.52
ITEM;154;187;0.54;24.95
ITEM;164;312;0.90;14.95
ITEM;2370;68;1.06;1574.55
ITEM;3;3702;1.25;24.36
ITEM;402;478;1.19;17541.36
ITEM;1594;105;0.99;325808.00
ITEM;1075;68;0.58;766588.30
ITEM;77;2325;1.05;1023.40
ITEM;2272;58;0.69;2619811.00
ITEM;2123;488;0.56;3089075.00
ITEM;2117;251;1.06;6858201.00
ITEM;1210;93;0.76;1655805.00
ITEM;2129;177;1.18;6979973.00
ITEM;62;2497;0.67;397.62
ITEM;2111;166;0.55;3340207.00
ITEM;1584;61;1.11;509891.20
ITEM;1644;48;1.10;451260.00
ITEM;1762;102;0.86;1006485.00
ITEM;1772;52;0.78;816818.20
ITEM;1754;72;1.07;702816.10
ITEM;2335;67;1.08;277037.50
ITEM;42;164;1.09;127.37
ITEM;600;4;0.68;4957.05
ITEM;120;1396;0.60;74.91
ITEM;2376;81;0.58;1202.31
ITEM;1074;26;1.10;406303.20
ITEM;1503;22;1.06;182809.20
ITEM;1553;16;0.60;125630.00
ITEM;1618;52;0.99;154758.80
ITEM;1070;11;0.77;239544.80
ITEM;2116;84;0.57;1077119.00
ITEM;2128;85;0.57;987359.00
ITEM;1114;39;1.19;402157.60
ITEM;1025;97;1.19;402157.60
ITEM;1533;26;0.92;189630.00
ITEM;2221;75;1.20;2358048.00
ITEM;1523;19;0.78;129304.00
ITEM;170;946;0.72;50.50
ITEM;118;1143;0.71;3.96
ITEM;165;575;1.20;65.28
ITEM;6;604;0.65;58.06
ITEM;607;33;0.99;358242.20
ITEM;330;62;0.51;819.87
ITEM;103;472;1.17;2.59
ITEM;407;0;1.36;9.54
ITEM;206;417;0.84;114.20
ITEM;644;21;0.87;58965.34
ITEM;107;575;1.21;13.81
ITEM;342;40;1.00;4098.62
ITEM;303;695;1.03;967.02
ITEM;601;27;0.60;7694.84
ITEM;106;1002;1.16;11.04
ITEM;121;401;1.05;43.05
ITEM;321;26;0.82;2168.21
ITEM;212;815;0.89;164.98
ITEM;25;4232;0.68;211.15
ITEM;2015;837;0.56;431.58
ITEM;728;146;1.17;17972.25
ITEM;2439;14;0.65;50803.61
ITEM;2057;714;0.98;7552.58
ITEM;161;559;1.12;37.89
ITEM;23;4731;0.53;57.58
ITEM;214;749;0.74;167.01
ITEM;711;160;0.98;24195.60
ITEM;670;100;1.25;26841.15
ITEM;756;91;0.56;8822.25
ITEM;750;140;1.08;16622.25
ITEM;732;208;0.79;12272.25
ITEM;2461;77;0.87;71852.00
ITEM;745;101;0.84;13022.25
ITEM;672;29;0.55;13875.60
ITEM;680;30;0.55;15610.05
ITEM;352;97;0.73;6814.41
ITEM;320;928;0.92;1346.26
ITEM;350;964;0.66;4487.52
ITEM;2359;60;0.48;297.27
ITEM;166;259;0.79;47.83
ITEM;2048;871;0.89;4539.71
ITEM;104;1371;0.69;2.68
ITEM;4;5288;0.97;31.38
ITEM;690;31;0.77;5587.05
ITEM;700;113;0.97;8983.35
ITEM;692;118;0.88;5448.90
ITEM;691;75;0.77;6385.20
ITEM;701;138;0.69;6463.35
ITEM;712;76;1.15;84826.80
ITEM;752;188;0.94;96815.00
ITEM;2014;959;1.01;692.53
ITEM;2046;821;0.90;3792.69
ITEM;733;192;0.86;88815.00
ITEM;677;90;1.09;50316.75
ITEM;2394;101;0.62;3573.25
ITEM;2012;394;1.13;638.50
ITEM;304;806;0.90;700.38
ITEM;20;5300;0.69;15.08
ITEM;2010;222;1.05;491.24
ITEM;2009;105;0.96;589.79
ITEM;105;885;0.51;4.17
ITEM;2045;271;1.20;4562.33
ITEM;305;928;1.18;281.74
ITEM;2209;85;1.01;523227.60
ITEM;1551;67;0.68;35407.50
ITEM;1601;40;0.92;34133.40
ITEM;757;59;0.75;35016.75
ITEM;751;191;0.86;39966.75
ITEM;2114;67;0.90;136438.00
ITEM;2138;82;0.85;107573.40
ITEM;2126;376;0.92;127763.20
ITEM;1062;106;0.66;18545.64
ITEM;730;173;0.69;32316.75
ITEM;1541;109;0.70;33494.90
ITEM;1014;105;1.09;27394.68
ITEM;1172;82;0.57;17585.61
ITEM;1112;64;1.14;31481.64
ITEM;2108;11;0.99;137195.70
ITEM;621;38;0.57;7327.34
ITEM;2249;32;0.76;529636.80
ITEM;1581;62;1.05;60376.40
ITEM;746;123;0.93;43116.75
ITEM;741;199;1.17;53916.75
ITEM;646;26;0.88;182592.60
ITEM;331;849;0.59;133.27
ITEM;627;6;1.01;365279.30
ITEM;102;438;0.93;2.98
ITEM;29;4847;0.83;2137.09
ITEM;671;152;0.96;62253.45
ITEM;753;146;1.00;169644.80
ITEM;731;69;0.63;108594.80
ITEM;675;67;0.89;49580.10
ITEM;748;161;1.00;169644.80
ITEM;681;40;0.59;50070.15
ITEM;602;12;1.22;26757.84
ITEM;648;46;1.12;706969.90
ITEM;405;814;0.78;0.89
ITEM;604;40;1.04;70126.18
ITEM;2041;389;1.04;2710.17
ITEM;2;641;0.64;7.72
ITEM;313;1008;1.17;352.29
ITEM;123;841;1.13;115.09
ITEM;2006;331;0.85;393.79
ITEM;2130;185;0.96;11857.80
ITEM;1400;68;0.49;2072.60
ITEM;2112;381;0.50;6337.80
ITEM;1160;50;1.04;2349.93
ITEM;2124;131;0.83;9439.65
ITEM;735;114;0.51;4036125.00
ITEM;324;804;0.67;1743.28
ITEM;669;44;1.02;1129442.00
ITEM;341;986;0.88;4789.04
ITEM;343;928;1.14;7264.94
ITEM;2038;540;0.49;1518.19
ITEM;2367;63;0.94;1052.38
ITEM;151;718;0.94;11.71
ITEM;322;824;1.05;713.00
ITEM;27;4225;0.90;799.80
ITEM;702;168;0.63;6581.50
ITEM;738;0;0.26;291751.90
ITEM;2387;6;1.04;4354.85
ITEM;2005;897;1.12;468.05
ITEM;24;5291;1.25;224.17
ITEM;11;44;0.50;74.60
ITEM;2419;59;0.70;19395.73
ITEM;2037;893;1.16;3164.82
ITEM;2035;724;0.61;1404.80
