// STATION DATA (Astrox Imperium) 
// STATION;variable;value
STATION;id;0
STATION;name;Mazu Starship
STATION;type;Weapons Plant
STATION;owner;Anres Xadue
STATION;faction;Law
STATION;material;station_material_Law.png
STATION;color;0 , .60 , 1 , 1
STATION;level;4
STATION;icon;mazu_starship.png
STATION;filename;sector_41_station_0.txt
STATION;max_hp;25000
STATION;dockfee;100
STATION;lease;1
STATION;seed;3-7-1-3-5-2-7-1-3-9-1-1-0-2-0-3-9-90
STATION;interior_seed;5-5-45-0
STATION;refinery_active_time;0
STATION;fabricator_active_time;0
STATION;last_dock_time;35046
// SERVICES;servicename;bool
SERVICES;lounge;False
SERVICES;market;True
SERVICES;refinery;True
SERVICES;garage;False
SERVICES;university;True
SERVICES;hangar;False
SERVICES;storage;False
SERVICES;fabricator;True
SERVICES;contracts;True
SERVICES;admin;False
// ENTERTAINMENT;title;bonus morale, bonus loyalty;price;type;image;description
ENTERTAINMENT;Spa Treatment;0.15,0.0;18500;Rest and Relaxation;entertain_spa.png;Send your crew to the spa, let them rest and relax for awhile. 15% Morale Boost.
ENTERTAINMENT;StarLuck Casino;0.05,0.05;24000;Gambling;entertain_casino.png;A weekend package to the local casino for your entire crew, complete with pocket money. 5% Morale Boost, 5% Loyalty Boost
ENTERTAINMENT;Live Music Concert;0.20,0.07;25000;Musical Entertainment;entertain_show.png;Your crew is treated to an 'all expenses paid' night at a music venue of their choosing. 20% Morale , 7% Loyalty bonus.
// MERC;level;Price_modifier;Ship_filename
<MERC>
MERC;1;1.21;npc_ship_data_(recon_escort_1).txt
MERC;5;0.88;npc_ship_data_(battle_utility_1).txt
MERC;4;0.69;npc_ship_data_(pirate_shuttle_1).txt
</MERC>
// MARKET;Item_id;Qty;Price_modifier
<MARKET>
SELLORDER;Market Inventory: (3) Items ;124x741,110x734,122x580;103736;75859.34
SELLORDER;Market Production: (1) Items ;2000x709;11412;134320.30
BUYORDER;Market Demands: (2) Items ;300x201,300x118;33947;54607.04
SELLORDER;Market Stock: (1) Items ;103x232;364.00;117272.50
BUYORDER;Market Items Req: (4) Items ;301x213,301x286,300x179,301x57;60167.00;66548.70
ITEM;408;15;0.92;12.33
ITEM;100;521;0.65;1.12
ITEM;662;15;0.77;18630.96
ITEM;663;5;0.69;29602.47
ITEM;122;47;0.69;112.89
ITEM;22;171;0.61;43.03
ITEM;1300;19;1.22;18466.88
ITEM;124;60;0.71;55.96
ITEM;754;28;0.88;244765.60
ITEM;734;28;0.52;154765.60
ITEM;744;47;0.66;189765.60
ITEM;202;292;0.99;97.84
ITEM;640;2;1.21;9163.44
ITEM;642;1;1.22;28278.06
ITEM;152;232;0.76;11.43
ITEM;117;50;0.74;40.26
ITEM;323;18;0.92;1824.94
ITEM;159;275;0.64;35.71
ITEM;723;21;1.17;7614.38
ITEM;2448;33;0.83;37162.50
ITEM;703;56;0.67;5383.44
ITEM;693;18;0.66;3795.31
ITEM;722;2;1.00;6594.38
ITEM;721;21;1.13;7374.38
ITEM;119;55;0.77;71.77
ITEM;113;446;0.72;5.28
ITEM;21;112;0.90;35.67
ITEM;114;250;0.25;0.90
ITEM;154;52;0.51;26.75
ITEM;164;123;0.84;15.13
ITEM;207;100;0.70;115.62
ITEM;3;53;0.74;15.99
ITEM;77;135;0.65;711.03
ITEM;2117;101;0.65;4721060.00
ITEM;1165;46;0.70;919256.10
ITEM;1175;50;0.69;991873.30
ITEM;2315;16;0.72;10536240.00
ITEM;52;162;0.89;187.76
ITEM;42;115;0.85;108.11
ITEM;600;15;0.98;7553.44
ITEM;120;51;0.72;97.83
ITEM;213;184;0.73;163.86
ITEM;1593;3;1.04;182250.00
ITEM;1503;25;1.14;208162.50
ITEM;2266;28;0.94;1695750.00
ITEM;1618;8;0.86;145777.50
ITEM;2122;-99;0.72;1229106.00
ITEM;2122;179;0.92;1529231.00
ITEM;1164;52;0.80;296556.20
ITEM;2128;88;0.83;1533592.00
ITEM;1543;14;1.09;218787.50
ITEM;1174;63;0.69;285154.70
ITEM;1633;39;0.74;167812.50
ITEM;1513;7;0.93;181115.00
ITEM;2286;27;1.07;2805750.00
ITEM;1753;23;0.90;319700.00
ITEM;170;193;1.15;84.31
ITEM;118;250;0.25;1.87
ITEM;165;325;0.63;38.75
ITEM;2171;34;0.51;6125211.00
ITEM;103;250;0.25;0.75
ITEM;407;16;0.65;4.12
ITEM;206;358;1.20;170.88
ITEM;107;494;1.15;13.93
ITEM;303;9;1.01;1013.55
ITEM;2342;34;0.86;105.50
ITEM;601;12;1.15;15301.02
ITEM;106;568;0.69;7.33
ITEM;121;45;0.65;29.94
ITEM;321;12;1.17;3244.23
ITEM;212;79;0.74;150.77
ITEM;2397;10;0.88;7184.36
ITEM;210;353;0.55;96.39
ITEM;728;42;0.72;12285.94
ITEM;161;22;0.95;34.62
ITEM;160;175;0.98;32.37
ITEM;23;47;0.78;90.69
ITEM;157;270;1.21;28.07
ITEM;214;206;0.50;130.25
ITEM;711;18;1.15;29977.50
ITEM;670;1;1.24;28120.31
ITEM;678;74;1.04;30754.69
ITEM;756;6;0.55;9735.94
ITEM;732;62;0.59;10335.94
ITEM;674;16;1.12;21943.13
ITEM;745;47;1.07;17535.94
ITEM;680;26;1.16;33994.69
ITEM;320;21;0.70;1134.57
ITEM;203;280;0.76;84.90
ITEM;2359;25;1.21;765.80
ITEM;166;132;0.90;58.41
ITEM;2430;21;0.55;32092.25
ITEM;104;250;0.25;1.30
ITEM;4;224;1.24;42.10
ITEM;158;214;1.25;31.81
ITEM;1460;28;0.83;23226.56
ITEM;2429;1;0.91;45356.35
ITEM;209;138;0.83;125.42
ITEM;758;14;1.06;115906.20
ITEM;211;307;0.79;145.23
ITEM;677;42;0.85;42707.81
ITEM;304;18;0.57;504.87
ITEM;20;221;0.63;15.31
ITEM;105;250;0.25;2.70
ITEM;305;3;1.20;302.94
ITEM;1064;19;1.16;37016.44
ITEM;1551;22;0.51;30453.13
ITEM;1601;37;0.56;23726.25
ITEM;1402;18;1.23;65124.06
ITEM;2120;138;0.87;118710.20
ITEM;751;3;0.62;32357.81
ITEM;2114;191;0.88;143922.20
ITEM;1162;49;0.68;21048.57
ITEM;2126;110;0.77;117106.20
ITEM;1062;25;0.61;19109.23
ITEM;1014;14;0.68;19087.03
ITEM;1172;61;0.64;21600.90
ITEM;1112;5;0.81;24499.23
ITEM;1013;6;1.15;33662.23
ITEM;621;3;0.80;11013.52
ITEM;741;1;0.93;46307.81
ITEM;102;568;0.79;2.76
ITEM;2426;29;0.79;30024.53
ITEM;679;47;0.99;88214.06
ITEM;759;47;0.88;161545.30
ITEM;748;16;1.03;186295.30
ITEM;673;33;1.05;82732.50
ITEM;602;12;0.88;20989.14
ITEM;405;39;1.14;1.36
ITEM;2;74;1.09;13.73
ITEM;313;35;0.92;299.63
ITEM;123;64;0.72;81.68
ITEM;2130;28;1.03;13548.75
ITEM;2118;160;0.84;9390.63
ITEM;1160;56;0.63;1605.60
ITEM;2124;175;0.99;11979.69
ITEM;1170;22;0.60;1677.75
ITEM;324;39;0.95;2619.51
ITEM;151;271;1.23;16.08
