// STATION DATA (Astrox Imperium) 
// STATION;variable;value
STATION;id;0
STATION;name;Valuestar Hub
STATION;type;Market Center
STATION;owner;Bosadjan Wagen
STATION;faction;Trade
STATION;material;station_material_Trade.png
STATION;color;.70 , 1, .23 , 1
STATION;level;8
STATION;icon;valuestar.png
STATION;filename;sector_62_station_0.txt
STATION;max_hp;25000
STATION;dockfee;100
STATION;lease;1
STATION;seed;3-7-0-5-0-3-5-1-6-5-3-9-1-4-7-3-2-90
STATION;interior_seed;5-0-45-3
STATION;refinery_active_time;0
STATION;fabricator_active_time;0
STATION;last_dock_time;20752.36
// SERVICES;servicename;bool
SERVICES;lounge;False
SERVICES;market;True
SERVICES;refinery;False
SERVICES;garage;True
SERVICES;university;True
SERVICES;hangar;True
SERVICES;storage;False
SERVICES;fabricator;False
SERVICES;contracts;True
SERVICES;admin;False
// ENTERTAINMENT;title;bonus morale, bonus loyalty;price;type;image;description
ENTERTAINMENT;Live Music Concert;0.20,0.07;25000;Musical Entertainment;entertain_show.png;Your crew is treated to an 'all expenses paid' night at a music venue of their choosing. 20% Morale , 7% Loyalty bonus.
ENTERTAINMENT;BioSynth Wildlife Park;0.05,0.05;26000;Rest and Relaxation;entertain_park.png;A weekend package to the local wildlife BioSynth park for your entire crew, included petting zoo. 5% Morale Boost, 5% Loyalty Boost
ENTERTAINMENT;Private Party;0.10,0.0;2700;Party;entertain_bar.png;Throw a private party at the local station pub for your entire fleet. 10% Morale Boost.
ENTERTAINMENT;Deathmatch League;0.15,0.08;68500;Sport Fighting Event;entertain_fight.png;Tickets to the Deathmatch League, where your entire fleet will enjoy a evening of bloodsport. 15% Morale , 8% Loyalty bonus.
ENTERTAINMENT;Bottle of Whiskey;0.025,0.0;850;Whiskey;entertain_bar.png;Purchase a bottle of whiskey for each of your fleet members. 2.5% Morale bonus.
// MERC;level;Price_modifier;Ship_filename
<MERC>
MERC;4;1.56;npc_ship_data_(battle_cruiser_1).txt
MERC;3;0.50;npc_ship_data_(excavation_utility_1).txt
</MERC>
// MARKET;Item_id;Qty;Price_modifier
<MARKET>
BUYORDER;Market Demands: (3) Items ;52x385,60x643,50x968;207796;72831.84
SELLORDER;Market Surplus: (1) Items ;407x342;1007;117559.30
BUYORDER;Market Out of Stock: (2) Items ;61x45,75x72;43418.00;40116.78
BUYORDER;Market Demands: (3) Items ;51x338,52x89,50x265;74180.00;48876.64
BUYORDER;Market Needs Goods: (3) Items ;52x46,60x82,60x180;52106.00;42098.75
ITEM;2000;1238;1.08;21.84481
ITEM;1;628;0.68;21.84481
ITEM;41;15;1.05;21.84481
ITEM;2331;19;0.80;21.84481
ITEM;51;0;1.86;21.84481
ITEM;1622;26;1.06;21.84481
ITEM;1761;71;0.89;21.84481
ITEM;1642;25;1.15;21.84481
ITEM;622;16;0.73;21.84481
ITEM;1019;23;0.96;21.84481
ITEM;1113;66;0.68;21.84481
ITEM;1542;19;1.07;21.84481
ITEM;61;0;1.88;21.84481
ITEM;1067;51;0.56;21.84481
ITEM;2127;357;0.53;21.84481
ITEM;2115;152;0.70;21.84481
ITEM;641;25;1.15;21.84481
ITEM;1602;50;0.87;21.84481
ITEM;2024;738;0.87;21.84481
ITEM;1502;74;0.59;21.84481
ITEM;76;1250;1.62;882.8927
ITEM;1069;48;0.66;882.8927
ITEM;2446;68;0.57;882.8927
ITEM;667;14;0.92;882.8927
ITEM;310;32;0.96;882.8927
ITEM;2025;437;0.72;882.8927
ITEM;2001;389;1.14;882.8927
ITEM;111;617;0.55;882.8927
ITEM;2026;114;1.16;882.8927
ITEM;302;0;1.23;882.8927
ITEM;2028;760;0.89;882.8927
ITEM;351;1023;0.65;3901.95
ITEM;153;305;0.88;3901.95
ITEM;167;458;0.81;3901.95
ITEM;40;0;2.05;3901.95
ITEM;50;2;1.05;3901.95
ITEM;1520;44;1.10;23084.13
ITEM;2029;326;1.17;23084.13
ITEM;1770;9;0.60;23084.13
ITEM;1775;57;1.07;23084.13
ITEM;1760;28;1.30;23084.13
ITEM;620;24;1.24;23084.13
ITEM;312;765;0.70;53.26205
ITEM;1171;40;0.83;53.26205
ITEM;2297;8;0.89;53.26205
ITEM;1540;60;0.58;53.26205
ITEM;60;0;1.75;53.26205
ITEM;1732;50;0.51;14105.16
ITEM;2304;3;0.87;14105.16
ITEM;2125;375;0.75;14105.16
