// STATION DATA (Astrox Imperium) 
// STATION;variable;value
STATION;id;0
STATION;name;Daemon Ammunitions
STATION;type;Ordinance Storage Facility
STATION;owner;Bella Mazu
STATION;faction;Labor
STATION;material;station_material_Labor.png
STATION;color;1 , .80 , .7 , 1
STATION;level;3
STATION;icon;daemon_ammunition.png
STATION;filename;sector_3_station_0.txt
STATION;max_hp;25000
STATION;hp;25000
STATION;dockfee;100
STATION;lease;1
STATION;seed;3-7-1-4-2-0-2-0-6-5-2-2-1-2-9-3-6-90
STATION;interior_seed;3-1-30-8
STATION;refinery_active_time;0
STATION;fabricator_active_time;0
STATION;last_dock_time;43618.74
// SERVICES;servicename;bool
SERVICES;lounge;True
SERVICES;market;True
SERVICES;refinery;True
SERVICES;garage;True
SERVICES;university;True
SERVICES;hangar;True
SERVICES;storage;True
SERVICES;fabricator;True
SERVICES;contracts;True
SERVICES;admin;False
// ENTERTAINMENT;title;bonus morale, bonus loyalty;price;type;image;description
ENTERTAINMENT;Evening of Drinks;0.05,0.0;1500;Alcholic Drinks;entertain_bar.png;Pick up the tab for an evening of drinks for your crew, they earned it. 5% Morale Boost.
// MERC;level;Price_modifier;Ship_filename
<MERC>
MERC;5;1.27;npc_ship_data_(recon_shuttle_1).txt
MERC;1;1.69;npc_ship_data_(battle_carrier_1).txt
MERC;2;0.96;npc_ship_data_(transport_utility_1).txt
</MERC>
// MARKET;Item_id;Qty;Price_modifier
<MARKET>
SELLORDER;Sale Request Order: (1) Items ;1002x17;38203;84953.95

ITEM;1;0;0.66;5.27
ITEM;404;12;0.93;1.13
ITEM;403;13;0.73;0.91
ITEM;302;28;1.25;61.15
ITEM;301;25;0.61;17.78
ITEM;300;26;0.81;89.87
ITEM;1110;11;0.70;1744.02
ITEM;405;25;0.60;0.76
ITEM;168;0;1.06;29.90
ITEM;158;275;1.21;30.72
ITEM;157;263;0.55;13.78
ITEM;156;137;1.23;25.78
ITEM;155;16;1.15;22.02
ITEM;153;200;0.78;12.78
ITEM;151;35;0.72;9.83
ITEM;164;19;0.80;14.38
ITEM;150;13;0.82;10.04
ITEM;406;7;0.54;0.70
ITEM;408;0;1.16;15.16
ITEM;1054;0;0.98;2574.56
ITEM;1001;4;1.15;2734.02
ITEM;755;0;1.07;6976.41
ITEM;1520;26;0.66;15054.69
ITEM;725;0;0.80;13391.02
ITEM;722;0;0.95;6256.41
ITEM;407;0;0.69;4.31
ITEM;702;0;0.53;6227.34
ITEM;1570;11;1.22;34131.09
ITEM;1580;19;1.12;33956.56
ITEM;660;4;1.00;7649.14
ITEM;640;0;1.01;7719.14
ITEM;620;13;0.56;4569.14
ITEM;600;8;0.98;7509.14
ITEM;1530;26;1.09;29568.36
ITEM;1640;0;0.95;26068.36
ITEM;1100;10;1.02;2225.47
ITEM;2316;28;1.07;4604889.00
ITEM;103;148;1.00;2.36
ITEM;101;250;0.25;0.62
ITEM;2130;64;1.07;13952.81
ITEM;2345;21;0.86;139.10
ITEM;100;250;0.25;0.51
ITEM;2130;-99;1.15;14912.81
ITEM;2160;15;0.95;20854.69
ITEM;2253;18;1.07;279056.30
ITEM;2112;134;1.04;13592.81
ITEM;20;0;2.50;68.06
ITEM;40;32;0.95;23.46
ITEM;1551;21;0.85;47136.72
ITEM;102;38;0.25;1.07
ITEM;1591;27;0.96;42109.38
ITEM;303;11;0.62;651.35
ITEM;1611;0;0.56;22192.97
ITEM;304;0;0.88;734.03
ITEM;305;0;1.06;268.82
ITEM;601;3;0.90;12161.00
ITEM;661;4;0.50;7261.00
ITEM;1631;8;0.64;36636.72
ITEM;2336;17;0.99;12992.81
ITEM;641;0;0.85;11548.50
ITEM;2131;5;0.97;44634.84
ITEM;104;250;0.25;1.28
ITEM;60;0;0.79;99.31
ITEM;621;5;0.94;12651.00
ITEM;2339;26;0.61;10541.02
ITEM;21;0;2.50;115.70
ITEM;1521;1;1.09;47309.38
ITEM;154;51;1.06;50.63
ITEM;1059;17;0.98;9010.97
ITEM;1055;13;0.82;6389.14
ITEM;1751;9;0.91;80218.75
ITEM;2;0;1.04;13.08
ITEM;1111;19;1.17;9723.06
ITEM;1009;11;1.01;9262.97
ITEM;1641;3;0.54;31636.72
