// STATION DATA (Astrox Imperium) 
// STATION;variable;value
STATION;id;1
STATION;name;Acrondia Hub
STATION;type;Organization Center
STATION;owner;Bidbruei Lowtibem
STATION;faction;Temple
STATION;material;station_material_Temple.png
STATION;color;.60 , .20 , .80 , 1
STATION;level;2
STATION;icon;acrondia.png
STATION;filename;sector_95_station_1.txt
STATION;max_hp;25000
STATION;dockfee;100
STATION;lease;1
STATION;seed;2-0-1-7-4-3-3-0-3-0-2-0-0
STATION;interior_seed;3-1-0-5
// SERVICES;servicename;bool
SERVICES;lounge;True
SERVICES;market;True
SERVICES;refinery;False
SERVICES;garage;False
SERVICES;university;True
SERVICES;hangar;False
SERVICES;storage;True
SERVICES;fabricator;True
SERVICES;contracts;True
SERVICES;admin;False

// ENTERTAINMENT;title;bonus morale, bonus loyalty;price;type;image;description
ENTERTAINMENT;Bottle of Whiskey;0.025,0.0;850;Whiskey;entertain_bar.png;Purchase a bottle of whiskey for each of your fleet members. 2.5% Morale bonus.
ENTERTAINMENT;Pod Racing event;0.25,0.0;40000;Sport Racing Event;entertain_race.png;All expense paid trip to the weekly 'Astrox Pod Racing' (APR) event. 25% Morale Boost.
// MERC;level;Price_modifier;Ship_filename
<MERC>
MERC;4;1.68;npc_ship_data_(excavation_escort_1).txt
MERC;7;0.99;npc_ship_data_(support_carrier_1).txt
</MERC>
// MARKET;Item_id;Qty;Price_modifier
<MARKET>
SELLORDER;Selling Items: (2) Items ;123x30,1101x6;29425;102142.80
BUYORDER;Market Items Req: (3) Items ;120x116,107x137,104x226;18111;87450.03
BUYORDER;Market Low Inventory: (2) Items ;116x147,103x52;17420;31630.70
BUYORDER;Market Shortage: (1) Items ;123x128;23425;60305.70
ITEM;1002;15;0.92;2073.79
ITEM;1003;4;1.15;2073.79
ITEM;1100;11;0.55;2073.79
ITEM;1110;1;0.72;2073.79
ITEM;1150;5;1.20;2073.79
ITEM;1300;2;0.83;13285.85
ITEM;1009;2;1.07;9999.389
ITEM;1120;18;0.98;9999.389
ITEM;1001;1;0.68;9999.389
ITEM;1057;1;1.05;8975.642
ITEM;1111;9;0.83;8975.642
ITEM;1121;15;0.55;8975.642
ITEM;1007;4;0.65;8975.642
ITEM;1450;8;0.86;8975.642
ITEM;1059;17;1.09;8975.642
ITEM;1201;11;0.97;8975.642
ITEM;1151;12;1.16;8975.642
ITEM;1161;11;0.53;8975.642
ITEM;1170;16;0.96;8975.642
ITEM;1460;7;0.99;8975.642
ITEM;1531;19;1.00;8975.642
ITEM;1561;9;0.88;8975.642
ITEM;1620;9;0.61;8975.642
ITEM;1750;11;1.11;49066.24
ITEM;1511;16;0.59;49066.24
ITEM;1510;13;1.02;49066.24
ITEM;1631;9;0.53;49066.24
ITEM;1500;7;0.85;49066.24
ITEM;1621;10;0.56;49066.24
ITEM;1630;8;1.10;49066.24
ITEM;1580;4;0.93;49066.24
ITEM;1616;17;1.22;49066.24
ITEM;1751;10;0.78;49066.24
